Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,CESAR,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,HUILA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,RISARALDA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,PIMENTON,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,PIMENTON,532.0,15714.0,29.54,36.37,25.22
2007,BOYACA,PIMENTON,59.0,790.2,13.39,1.83,2.8
2007,CALDAS,PIMENTON,13.0,148.0,11.38,0.34,0.62
2007,CAUCA,PIMENTON,1.0,5.0,5.0,0.01,0.05
2007,CESAR,PIMENTON,25.5,264.0,10.35,0.61,1.21
2007,CUNDINAMARCA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2007,HUILA,PIMENTON,279.0,2113.0,7.57,4.89,13.23
2007,NARIÑO,PIMENTON,0.0,0.0,0.0,0.0,0.0
2007,NORTE DE SANTANDER,PIMENTON,74.0,1379.0,18.64,3.19,3.51
2007,QUINDIO,PIMENTON,0.1,1.5,15.0,0.0,0.0
2007,RISARALDA,PIMENTON,9.15,73.2,8.0,0.17,0.43
2007,SANTANDER,PIMENTON,368.5,10750.5,29.17,24.88,17.47
2007,TOLIMA,PIMENTON,56.0,1216.0,21.71,2.81,2.66
2007,VALLE DEL CAUCA,PIMENTON,691.95,10746.55,15.53,24.88,32.81
2007,VICHADA,PIMENTON,0.0,0.0,0.0,0.0,0.0
2008,AMAZONAS,PIMENTON,112.0,277.0,2.4699999999999998,0.57,4.46
2008,ANTIOQUIA,PIMENTON,338.5,10472.0,30.94,21.65,13.49
2008,BOYACA,PIMENTON,71.3,908.0,12.73,1.88,2.84
2008,CALDAS,PIMENTON,9.0,70.0,7.78,0.14,0.36
2008,CAUCA,PIMENTON,10.0,195.2,19.52,0.4,0.4
2008,CESAR,PIMENTON,8.0,80.0,10.0,0.17,0.32
2008,CUNDINAMARCA,PIMENTON,58.0,1760.0,30.34,3.64,2.31
2008,HUILA,PIMENTON,426.5,3347.0,7.85,6.92,17.0
2008,NARIÑO,PIMENTON,89.3,731.1,8.19,1.51,3.56
2008,NORTE DE SANTANDER,PIMENTON,77.55,1210.0,15.6,2.5,3.09
2008,QUINDIO,PIMENTON,0.0,0.0,0.0,0.0,0.0
2008,RISARALDA,PIMENTON,9.0,72.0,8.0,0.15,0.36
2008,SANTANDER,PIMENTON,519.0,15730.0,30.31,32.53,20.69
2008,TOLIMA,PIMENTON,160.0,3200.0,20.0,6.62,6.38
2008,VALLE DEL CAUCA,PIMENTON,610.7,10290.23,16.85,21.28,24.34
2008,VICHADA,PIMENTON,10.0,16.7,1.67,0.03,0.4
2009,AMAZONAS,PIMENTON,62.0,153.0,2.4699999999999998,0.31,2.41
2009,ANTIOQUIA,PIMENTON,348.5,10868.0,31.19,21.94,13.54
2009,BOYACA,PIMENTON,54.4,826.4,15.19,1.67,2.11
2009,CALDAS,PIMENTON,22.0,140.0,6.36,0.28,0.85
2009,CAUCA,PIMENTON,5.8,70.6,12.17,0.14,0.23
2009,CESAR,PIMENTON,30.0,240.0,8.0,0.48,1.17
2009,CUNDINAMARCA,PIMENTON,113.0,3885.0,34.38,7.84,4.39
2009,HUILA,PIMENTON,411.0,3179.65,7.74,6.42,15.97
2009,NARIÑO,PIMENTON,70.2,458.0,6.52,0.92,2.73
2009,NORTE DE SANTANDER,PIMENTON,132.8,1992.5,15.0,4.02,5.16
2009,QUINDIO,PIMENTON,1.6,23.4,14.62,0.05,0.06
2009,RISARALDA,PIMENTON,4.0,32.0,8.0,0.06,0.16
2009,SANTANDER,PIMENTON,657.0,16356.2,24.9,33.02,25.53
2009,TOLIMA,PIMENTON,120.0,2200.0,18.33,4.44,4.66
2009,VALLE DEL CAUCA,PIMENTON,532.06,9089.7,17.08,18.35,20.68
2009,VICHADA,PIMENTON,9.0,22.0,2.44,0.04,0.35
2010,AMAZONAS,PIMENTON,25.0,17.9,0.72,0.04,1.18
2010,ANTIOQUIA,PIMENTON,371.3,12372.7,33.32,30.24,17.53
2010,BOYACA,PIMENTON,47.8,729.8,15.27,1.78,2.26
2010,CALDAS,PIMENTON,20.2,193.0,9.55,0.47,0.95
2010,CAUCA,PIMENTON,15.0,437.0,29.13,1.07,0.71
2010,CESAR,PIMENTON,15.0,60.0,4.0,0.15,0.71
2010,CUNDINAMARCA,PIMENTON,225.64,5334.84,23.64,13.04,10.65
2010,HUILA,PIMENTON,331.0,2426.0,7.33,5.93,15.63
2010,NARIÑO,PIMENTON,75.5,540.0,7.15,1.32,3.56
2010,NORTE DE SANTANDER,PIMENTON,169.1,2807.31,16.6,6.86,7.98
2010,QUINDIO,PIMENTON,5.6,78.4,14.0,0.19,0.26
2010,SANTANDER,PIMENTON,211.8,5776.0,27.27,14.12,10.0
2010,TOLIMA,PIMENTON,120.0,2200.0,18.33,5.38,5.67
2010,VALLE DEL CAUCA,PIMENTON,476.02,7929.46,16.66,19.38,22.48
2010,VICHADA,PIMENTON,9.0,14.0,1.56,0.03,0.42
2011,AMAZONAS,PIMENTON,27.0,18.9,0.7,0.04,1.23
2011,ANTIOQUIA,PIMENTON,382.2,13270.4,34.72,31.02,17.34
2011,BOYACA,PIMENTON,48.11,711.32,14.78,1.6600000000000001,2.18
2011,CALDAS,PIMENTON,14.37,87.4,6.08,0.2,0.65
2011,CAUCA,PIMENTON,12.0,63.5,5.29,0.15,0.54
2011,CESAR,PIMENTON,58.0,232.0,4.0,0.54,2.63
2011,CUNDINAMARCA,PIMENTON,343.28,7989.48,23.27,18.68,15.58
2011,HUILA,PIMENTON,151.0,1063.55,7.04,2.49,6.85
2011,NARIÑO,PIMENTON,97.0,743.2,7.66,1.74,4.4
2011,NORTE DE SANTANDER,PIMENTON,267.2,4573.96,17.12,10.69,12.12
2011,QUINDIO,PIMENTON,2.9,37.4,12.9,0.09,0.13
2011,RISARALDA,PIMENTON,7.6,470.0,61.84,1.1,0.34
2011,SANTANDER,PIMENTON,186.62,3532.0,18.93,8.26,8.47
2011,TOLIMA,PIMENTON,80.0,1600.0,20.0,3.74,3.63
2011,VALLE DEL CAUCA,PIMENTON,520.62,8374.5,16.09,19.58,23.62
2011,VICHADA,PIMENTON,6.0,6.0,1.0,0.01,0.27
2012,AMAZONAS,PIMENTON,12.5,8.75,0.7,0.02,0.56
2012,ANTIOQUIA,PIMENTON,421.0,17577.5,41.75,39.35,18.72
2012,BOLIVAR,PIMENTON,4.0,20.0,5.0,0.04,0.18
2012,BOYACA,PIMENTON,89.1,1160.2,13.02,2.6,3.96
2012,CALDAS,PIMENTON,7.86,47.77,6.08,0.11,0.35
2012,CAUCA,PIMENTON,20.0,549.0,27.45,1.23,0.89
2012,CESAR,PIMENTON,101.0,578.0,5.72,1.29,4.49
2012,CUNDINAMARCA,PIMENTON,303.64,5229.84,17.22,11.71,13.5
2012,HUILA,PIMENTON,170.0,1238.6,7.29,2.77,7.5600000000000005
2012,NARIÑO,PIMENTON,93.0,490.0,5.27,1.1,4.14
2012,NORTE DE SANTANDER,PIMENTON,262.0,4989.1,19.04,11.17,11.65
2012,QUINDIO,PIMENTON,28.64,357.0,12.46,0.8,1.27
2012,RISARALDA,PIMENTON,3.2800000000000002,68.4,20.85,0.15,0.15
2012,SANTANDER,PIMENTON,263.5,4643.5,17.62,10.4,11.72
2012,VALLE DEL CAUCA,PIMENTON,469.0,7706.5,16.43,17.25,20.86
2013,AMAZONAS,PIMENTON,9.5,6.65,0.7,0.02,0.44
2013,ANTIOQUIA,PIMENTON,263.8,8167.4,30.96,20.83,12.08
2013,BOLIVAR,PIMENTON,5.0,25.0,5.0,0.06,0.23
2013,BOYACA,PIMENTON,52.8,792.19,15.0,2.02,2.42
2013,CALDAS,PIMENTON,6.3,63.3,10.05,0.16,0.29
2013,CAUCA,PIMENTON,44.8,1541.04,34.4,3.93,2.05
2013,CESAR,PIMENTON,34.0,102.0,3.0,0.26,1.56
2013,CUNDINAMARCA,PIMENTON,283.0,4032.0,14.25,10.28,12.96
2013,HUILA,PIMENTON,149.5,1092.5,7.31,2.79,6.85
2013,NARIÑO,PIMENTON,75.0,148.0,1.97,0.38,3.44
2013,NORTE DE SANTANDER,PIMENTON,337.5,7165.25,21.23,18.27,15.46
2013,QUINDIO,PIMENTON,31.24,374.11,11.98,0.95,1.43
2013,RISARALDA,PIMENTON,3.83,68.45,17.87,0.17,0.18
2013,SANTANDER,PIMENTON,430.5,7428.0,17.25,18.94,19.72
2013,VALLE DEL CAUCA,PIMENTON,456.5,8206.0,17.98,20.93,20.91
2014,ANTIOQUIA,PIMENTON,298.0,13204.0,44.31,30.45,13.43
2014,BOLIVAR,PIMENTON,5.0,25.0,5.0,0.06,0.23
2014,BOYACA,PIMENTON,18.0,336.0,18.67,0.77,0.81
2014,CALDAS,PIMENTON,1.3,15.45,11.88,0.04,0.06
2014,CAUCA,PIMENTON,29.6,883.88,29.86,2.04,1.33
2014,CESAR,PIMENTON,146.0,840.0,5.75,1.94,6.58
2014,CUNDINAMARCA,PIMENTON,197.4,3209.2,16.26,7.4,8.9
2014,HUILA,PIMENTON,179.0,1321.7,7.38,3.05,8.07
2014,NARIÑO,PIMENTON,73.0,96.0,1.32,0.22,3.29
2014,NORTE DE SANTANDER,PIMENTON,399.0,8188.5,20.52,18.89,17.98
2014,QUINDIO,PIMENTON,22.5,245.96,10.93,0.57,1.01
2014,RISARALDA,PIMENTON,2.9,38.4,13.24,0.09,0.13
2014,SANTANDER,PIMENTON,466.5,8452.85,18.12,19.5,21.02
2014,VALLE DEL CAUCA,PIMENTON,380.7,6499.2,17.07,14.99,17.16
2015,ANTIOQUIA,PIMENTON,315.0,14319.0,45.46,32.02,14.35
2015,BOLIVAR,PIMENTON,3.0,12.0,4.0,0.03,0.14
2015,BOYACA,PIMENTON,30.5,508.6,16.68,1.1400000000000001,1.3900000000000001
2015,CALDAS,PIMENTON,5.3,31.8,6.0,0.07,0.24
2015,CAUCA,PIMENTON,27.0,812.8,30.1,1.8199999999999998,1.23
2015,CESAR,PIMENTON,46.0,217.0,4.72,0.49,2.1
2015,CUNDINAMARCA,PIMENTON,213.8,3301.88,15.44,7.38,9.74
2015,HUILA,PIMENTON,173.0,1187.0,6.86,2.65,7.88
2015,NARIÑO,PIMENTON,90.8,118.05,1.3,0.26,4.14
2015,NORTE DE SANTANDER,PIMENTON,356.8,6866.5,19.24,15.36,16.25
2015,QUINDIO,PIMENTON,22.2,226.11,10.19,0.51,1.01
2015,RISARALDA,PIMENTON,1.5,27.0,18.0,0.06,0.07
2015,SANTANDER,PIMENTON,469.5,9190.6,19.58,20.55,21.38
2015,VALLE DEL CAUCA,PIMENTON,441.3,7895.16,17.89,17.66,20.1
2016,AMAZONAS,PIMENTON,2.6,2.4699999999999998,0.95,0.0,0.12
2016,ANTIOQUIA,PIMENTON,379.8,20166.6,53.1,40.14,17.31
2016,BOLIVAR,PIMENTON,3.0,15.0,5.0,0.03,0.14
2016,BOYACA,PIMENTON,57.0,868.8,15.24,1.73,2.6
2016,CALDAS,PIMENTON,11.5,155.0,13.48,0.31,0.52
2016,CAUCA,PIMENTON,27.5,815.2,29.64,1.62,1.25
2016,CESAR,PIMENTON,110.0,440.0,4.0,0.88,5.01
2016,CUNDINAMARCA,PIMENTON,202.19,3974.69,19.66,7.91,9.22
2016,HUILA,PIMENTON,148.0,867.5,5.86,1.73,6.75
2016,NARIÑO,PIMENTON,133.0,905.5,6.8100000000000005,1.8,6.06
2016,NORTE DE SANTANDER,PIMENTON,303.5,5462.5,18.0,10.87,13.83
2016,QUINDIO,PIMENTON,36.0,652.26,18.12,1.3,1.6400000000000001
2016,RISARALDA,PIMENTON,4.2,46.0,10.95,0.09,0.19
2016,SAN ANDRES Y PROVIDENCIA,PIMENTON,0.04,0.23,5.75,0.0,0.0
2016,SANTANDER,PIMENTON,338.9,8233.85,24.3,16.39,15.45
2016,VALLE DEL CAUCA,PIMENTON,436.87,7640.09,17.49,15.21,19.91
2017,AMAZONAS,PIMENTON,2.6,1.95,0.75,0.0,0.1
2017,ANTIOQUIA,PIMENTON,444.0,29398.0,66.21,45.98,16.93
2017,BOLIVAR,PIMENTON,5.0,25.0,5.0,0.04,0.19
2017,BOYACA,PIMENTON,46.4,638.1,13.75,1.0,1.77
2017,CALDAS,PIMENTON,35.0,499.0,14.26,0.78,1.33
2017,CAUCA,PIMENTON,25.0,647.45,25.9,1.01,0.95
2017,CESAR,PIMENTON,260.0,960.0,3.69,1.5,9.91
2017,CUNDINAMARCA,PIMENTON,199.12,5632.8,28.29,8.81,7.59
2017,HUILA,PIMENTON,199.0,1447.25,7.27,2.26,7.59
2017,NARIÑO,PIMENTON,153.0,976.0,6.38,1.53,5.83
2017,NORTE DE SANTANDER,PIMENTON,362.5,6094.0,16.81,9.53,13.82
2017,QUINDIO,PIMENTON,31.07,395.75,12.74,0.62,1.18
2017,RISARALDA,PIMENTON,5.0,50.0,10.0,0.08,0.19
2017,SAN ANDRES Y PROVIDENCIA,PIMENTON,0.05,0.12,2.42,0.0,0.0
2017,SANTANDER,PIMENTON,320.9,7891.65,24.59,12.34,12.23
2017,VALLE DEL CAUCA,PIMENTON,534.28,9285.74,17.38,14.52,20.37
2018,ANTIOQUIA,PIMENTON,247.0,17989.1,72.83,47.24,14.77
2018,BOLIVAR,PIMENTON,6.0,30.15,5.02,0.08,0.36
2018,BOYACA,PIMENTON,32.0,367.6,11.49,0.97,1.9100000000000001
2018,CALDAS,PIMENTON,62.0,423.02,6.82,1.11,3.71
2018,CAUCA,PIMENTON,22.0,512.43,23.29,1.35,1.32
2018,CESAR,PIMENTON,181.46,710.06,3.91,1.8599999999999999,10.85
2018,CUNDINAMARCA,PIMENTON,178.0,5910.0,33.2,15.52,10.65
2018,HUILA,PIMENTON,113.0,789.0,6.98,2.07,6.76
2018,NARIÑO,PIMENTON,131.0,253.94,1.94,0.67,7.83
2018,NORTE DE SANTANDER,PIMENTON,184.0,2935.6,15.95,7.71,11.0
2018,QUINDIO,PIMENTON,18.12,226.29,12.49,0.59,1.08
2018,RISARALDA,PIMENTON,3.0,30.0,10.0,0.08,0.18
2018,SAN ANDRES Y PROVIDENCIA,PIMENTON,0.05,0.13,2.49,0.0,0.0
2018,SANTANDER,PIMENTON,172.37,2632.18,15.27,6.91,10.31
2018,VALLE DEL CAUCA,PIMENTON,322.04,5266.83,16.35,13.83,19.26
