Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,PUTUMAYO,PIMIENTA,90.0,97.0,1.08,100.0,100.0
2008,ANTIOQUIA,PIMIENTA,0.0,0.0,0.0,0.0,0.0
2008,PUTUMAYO,PIMIENTA,78.0,99.0,1.27,100.0,100.0
2009,ANTIOQUIA,PIMIENTA,0.0,0.0,0.0,0.0,0.0
2009,PUTUMAYO,PIMIENTA,82.0,108.75,1.33,100.0,100.0
2010,PUTUMAYO,PIMIENTA,122.0,113.75,0.93,100.0,100.0
2011,PUTUMAYO,PIMIENTA,202.0,239.7,1.19,100.0,100.0
2012,PUTUMAYO,PIMIENTA,220.0,312.5,1.42,100.0,100.0
2013,PUTUMAYO,PIMIENTA,110.4,141.0,1.28,100.0,100.0
2014,PUTUMAYO,PIMIENTA,145.6,186.25,1.28,100.0,100.0
2015,PUTUMAYO,PIMIENTA,163.6,217.92,1.33,100.0,100.0
2016,PUTUMAYO,PIMIENTA,804.2,671.3,0.83,99.93,99.94
2016,SANTANDER,PIMIENTA,0.5,0.5,1.0,0.07,0.06
2017,NARIÑO,PIMIENTA,16.0,64.0,4.0,7.3,1.62
2017,PUTUMAYO,PIMIENTA,968.65,812.28,0.84,92.7,98.38
2018,NARIÑO,PIMIENTA,20.0,80.0,4.0,7.21,1.58
2018,PUTUMAYO,PIMIENTA,1248.65,1030.15,0.83,92.79,98.42
2019,NARIÑO,PIMIENTA,23.0,20.0,0.87,1.03,1.74
2019,PUTUMAYO,PIMIENTA,1300.0,1929.4,1.48,98.97,98.26
2020,NARIÑO,PIMIENTA,23.0,23.0,1.0,1.3599999999999999,2.03
2020,PUTUMAYO,PIMIENTA,1108.0,1672.05,1.51,98.64,97.97
2021,NARIÑO,PIMIENTA,46.0,46.0,1.0,1.38,2.07
2021,PUTUMAYO,PIMIENTA,2174.0,3288.16,1.51,98.62,97.93
2022,NARIÑO,PIMIENTA,24.15,31.39,1.3,1.63,2.14
2022,PUTUMAYO,PIMIENTA,1106.0,1893.9,1.71,98.37,97.86
2023,NARIÑO,PIMIENTA,24.15,31.39,1.3,1.73,2.27
2023,PUTUMAYO,PIMIENTA,1039.5,1786.75,1.72,98.27,97.73
