Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOLIVAR,PITAHAYA,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,PITAHAYA,189.5,1568.0,8.27,35.46,39.52
2007,CUNDINAMARCA,PITAHAYA,40.0,400.0,10.0,9.05,8.34
2007,HUILA,PITAHAYA,25.0,450.0,18.0,10.18,5.21
2007,QUINDIO,PITAHAYA,4.0,16.0,4.0,0.36,0.83
2007,SANTANDER,PITAHAYA,65.5,833.0,12.72,18.84,13.66
2007,TOLIMA,PITAHAYA,2.0,6.0,3.0,0.14,0.42
2007,VALLE DEL CAUCA,PITAHAYA,153.5,1148.5,7.48,25.98,32.01
2008,ANTIOQUIA,PITAHAYA,0.0,0.0,0.0,0.0,0.0
2008,BOLIVAR,PITAHAYA,15.0,8.0,0.53,0.2,3.15
2008,BOYACA,PITAHAYA,220.7,1668.2,7.5600000000000005,42.0,46.32
2008,CUNDINAMARCA,PITAHAYA,8.0,80.0,10.0,2.01,1.6800000000000002
2008,HUILA,PITAHAYA,27.0,448.0,16.59,11.28,5.67
2008,QUINDIO,PITAHAYA,2.8,9.3,3.32,0.23,0.59
2008,SANTANDER,PITAHAYA,61.0,702.0,11.51,17.67,12.8
2008,VALLE DEL CAUCA,PITAHAYA,142.0,1056.51,7.44,26.6,29.8
2009,BOLIVAR,PITAHAYA,75.0,30.0,0.4,0.59,12.21
2009,BOYACA,PITAHAYA,228.4,2090.9,9.15,40.97,37.18
2009,CUNDINAMARCA,PITAHAYA,9.0,90.0,10.0,1.76,1.47
2009,HUILA,PITAHAYA,87.0,1052.4,12.1,20.62,14.16
2009,QUINDIO,PITAHAYA,2.4,7.2,3.0,0.14,0.39
2009,SANTANDER,PITAHAYA,76.0,809.0,10.64,15.85,12.37
2009,TOLIMA,PITAHAYA,14.0,178.5,12.75,3.5,2.2800000000000002
2009,VALLE DEL CAUCA,PITAHAYA,122.46,845.77,6.91,16.57,19.94
2010,BOLIVAR,PITAHAYA,30.0,30.0,1.0,0.5,4.89
2010,BOYACA,PITAHAYA,225.0,2055.0,9.13,34.55,36.7
2010,CUNDINAMARCA,PITAHAYA,40.5,366.0,9.04,6.15,6.61
2010,HUILA,PITAHAYA,88.0,1533.5,17.43,25.78,14.35
2010,QUINDIO,PITAHAYA,2.7,6.79,2.51,0.11,0.44
2010,SANTANDER,PITAHAYA,97.0,1034.0,10.66,17.39,15.82
2010,TOLIMA,PITAHAYA,17.0,130.0,7.65,2.19,2.77
2010,VALLE DEL CAUCA,PITAHAYA,112.96,792.27,7.01,13.32,18.42
2011,BOLIVAR,PITAHAYA,30.0,30.0,1.0,0.45,4.35
2011,BOYACA,PITAHAYA,250.98,2172.0,8.65,32.87,36.4
2011,CUNDINAMARCA,PITAHAYA,42.0,428.0,10.19,6.48,6.09
2011,HUILA,PITAHAYA,113.5,1776.5,15.65,26.89,16.46
2011,QUINDIO,PITAHAYA,4.2,11.84,2.82,0.18,0.61
2011,RISARALDA,PITAHAYA,2.2,17.6,8.0,0.27,0.32
2011,SANTANDER,PITAHAYA,108.0,1111.0,10.29,16.82,15.66
2011,TOLIMA,PITAHAYA,38.0,280.0,7.37,4.24,5.51
2011,VALLE DEL CAUCA,PITAHAYA,100.7,780.1,7.75,11.81,14.6
2012,BOLIVAR,PITAHAYA,25.0,100.0,4.0,1.25,2.83
2012,BOYACA,PITAHAYA,322.0,2887.0,8.97,35.95,36.51
2012,CUNDINAMARCA,PITAHAYA,41.0,444.0,10.83,5.53,4.65
2012,HUILA,PITAHAYA,174.0,2229.5,12.81,27.76,19.73
2012,NARIÑO,PITAHAYA,0.5,4.0,8.0,0.05,0.06
2012,QUINDIO,PITAHAYA,4.3,12.05,2.8,0.15,0.49
2012,RISARALDA,PITAHAYA,12.2,117.6,9.64,1.46,1.38
2012,SANTANDER,PITAHAYA,161.0,1086.0,6.75,13.52,18.25
2012,TOLIMA,PITAHAYA,35.0,280.0,8.0,3.49,3.9699999999999998
2012,VALLE DEL CAUCA,PITAHAYA,107.0,870.25,8.13,10.84,12.13
2013,BOLIVAR,PITAHAYA,25.0,100.0,4.0,1.23,2.67
2013,BOYACA,PITAHAYA,360.0,2373.0,6.59,29.24,38.41
