Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,PIÑA,77.0,1399.6,18.18,0.32,0.71
2007,ARAUCA,PIÑA,74.0,1725.0,23.31,0.4,0.68
2007,BOLIVAR,PIÑA,350.0,6300.0,18.0,1.45,3.22
2007,BOYACA,PIÑA,81.0,881.0,10.88,0.2,0.74
2007,CAQUETA,PIÑA,173.0,1317.0,7.61,0.3,1.5899999999999999
2007,CASANARE,PIÑA,152.0,2859.0,18.81,0.66,1.4
2007,CAUCA,PIÑA,467.0,28270.0,60.54,6.52,4.29
2007,CHOCO,PIÑA,121.5,2737.5,22.53,0.63,1.12
2007,CORDOBA,PIÑA,25.0,335.0,13.4,0.08,0.23
2007,CUNDINAMARCA,PIÑA,126.0,4055.0,32.18,0.94,1.16
2007,GUAVIARE,PIÑA,15.0,300.0,20.0,0.07,0.14
2007,HUILA,PIÑA,292.0,4756.0,16.29,1.1,2.68
2007,META,PIÑA,242.0,9870.0,40.79,2.2800000000000002,2.22
2007,NARIÑO,PIÑA,170.0,4117.0,24.22,0.95,1.56
2007,NORTE DE SANTANDER,PIÑA,270.0,10290.0,38.11,2.37,2.48
2007,PUTUMAYO,PIÑA,622.0,4623.54,7.43,1.07,5.72
2007,QUINDIO,PIÑA,198.9,11284.0,56.73,2.6,1.83
2007,RISARALDA,PIÑA,180.0,14400.0,80.0,3.32,1.65
2007,SANTANDER,PIÑA,5830.0,241095.0,41.35,55.59,53.59
2007,SUCRE,PIÑA,2.0,48.0,24.0,0.01,0.02
2007,TOLIMA,PIÑA,52.0,1120.0,21.54,0.26,0.48
2007,VALLE DEL CAUCA,PIÑA,1134.5,80445.0,70.91,18.55,10.43
2007,VAUPES,PIÑA,143.0,1001.0,7.0,0.23,1.31
2007,VICHADA,PIÑA,80.0,457.0,5.71,0.11,0.74
2008,AMAZONAS,PIÑA,260.0,865.0,3.33,0.22,2.51
2008,ANTIOQUIA,PIÑA,100.7,2239.9,22.24,0.57,0.97
2008,ARAUCA,PIÑA,77.0,1685.0,21.88,0.43,0.74
2008,BOLIVAR,PIÑA,190.0,2850.0,15.0,0.73,1.83
2008,BOYACA,PIÑA,53.0,623.0,11.75,0.16,0.51
2008,CAQUETA,PIÑA,303.2,2146.0,7.08,0.55,2.92
2008,CASANARE,PIÑA,128.75,4650.0,36.12,1.19,1.24
2008,CAUCA,PIÑA,255.5,16968.0,66.41,4.33,2.46
2008,CHOCO,PIÑA,169.0,3883.0,22.98,0.99,1.63
2008,CORDOBA,PIÑA,31.1,675.0,21.7,0.17,0.3
2008,CUNDINAMARCA,PIÑA,274.0,10040.0,36.64,2.56,2.64
2008,HUILA,PIÑA,238.0,3911.5,16.43,1.0,2.29
2008,LA GUAJIRA,PIÑA,0.0,0.0,0.0,0.0,0.0
2008,META,PIÑA,203.0,9780.0,48.18,2.5,1.96
2008,NARIÑO,PIÑA,179.0,4033.0,22.53,1.03,1.72
2008,NORTE DE SANTANDER,PIÑA,326.0,13030.0,39.97,3.33,3.14
2008,PUTUMAYO,PIÑA,763.0,6041.0,7.92,1.54,7.35
2008,QUINDIO,PIÑA,250.6,11900.0,47.49,3.04,2.41
2008,RISARALDA,PIÑA,307.0,24560.0,80.0,6.27,2.96
2008,SANTANDER,PIÑA,5033.0,195437.5,38.83,49.89,48.5
2008,SUCRE,PIÑA,2.0,50.0,25.0,0.01,0.02
2008,TOLIMA,PIÑA,50.0,1500.0,30.0,0.38,0.48
2008,VALLE DEL CAUCA,PIÑA,1104.0,74360.0,67.36,18.98,10.64
2008,VAUPES,PIÑA,47.0,349.0,7.43,0.09,0.45
2008,VICHADA,PIÑA,33.0,186.0,5.64,0.05,0.32
2009,AMAZONAS,PIÑA,0.0,0.0,0.0,0.0,0.0
2009,ANTIOQUIA,PIÑA,124.0,3273.8,26.4,1.0,1.55
2009,ARAUCA,PIÑA,76.0,1270.0,16.71,0.39,0.95
2009,ATLANTICO,PIÑA,0.0,0.0,0.0,0.0,0.0
2009,BOLIVAR,PIÑA,190.0,2280.0,12.0,0.7,2.38
2009,BOYACA,PIÑA,63.0,751.1,11.92,0.23,0.79
2009,CAQUETA,PIÑA,340.2,2386.54,7.02,0.73,4.26
2009,CASANARE,PIÑA,169.25,6350.0,37.52,1.94,2.12
2009,CAUCA,PIÑA,260.0,16878.0,64.92,5.16,3.25
2009,CHOCO,PIÑA,265.0,5777.0,21.8,1.77,3.32
2009,CORDOBA,PIÑA,45.2,915.6,20.26,0.28,0.57
2009,CUNDINAMARCA,PIÑA,292.0,8744.0,29.95,2.67,3.65
2009,HUILA,PIÑA,290.5,4679.75,16.11,1.43,3.63
2009,LA GUAJIRA,PIÑA,20.0,240.0,12.0,0.07,0.25
2009,META,PIÑA,238.5,11525.0,48.32,3.52,2.98
2009,NARIÑO,PIÑA,180.5,4064.5,22.52,1.24,2.26
2009,NORTE DE SANTANDER,PIÑA,204.0,8155.0,39.98,2.49,2.55
2009,PUTUMAYO,PIÑA,719.0,5980.0,8.32,1.83,9.0
2009,QUINDIO,PIÑA,304.0,14560.0,47.89,4.45,3.8
2009,RISARALDA,PIÑA,223.0,17840.0,80.0,5.45,2.79
2009,SANTANDER,PIÑA,2775.0,132452.5,47.73,40.5,34.72
2009,SUCRE,PIÑA,2.0,5.0,2.5,0.0,0.03
2009,TOLIMA,PIÑA,45.0,1665.0,37.0,0.51,0.56
2009,VALLE DEL CAUCA,PIÑA,1155.0,77149.5,66.8,23.59,14.45
2009,VAUPES,PIÑA,5.0,60.0,12.0,0.02,0.06
2009,VICHADA,PIÑA,7.0,52.0,7.43,0.02,0.09
2010,AMAZONAS,PIÑA,50.0,50.0,1.0,0.01,0.44
2010,ANTIOQUIA,PIÑA,115.5,3605.0,31.21,0.81,1.02
2010,ARAUCA,PIÑA,100.0,1680.0,16.8,0.38,0.88
2010,ATLANTICO,PIÑA,4.0,60.0,15.0,0.01,0.04
2010,BOLIVAR,PIÑA,190.0,1520.0,8.0,0.34,1.6800000000000002
2010,BOYACA,PIÑA,65.0,773.4,11.9,0.17,0.57
2010,CAQUETA,PIÑA,463.0,3372.1,7.28,0.76,4.09
2010,CASANARE,PIÑA,91.0,3914.86,43.02,0.88,0.8
2010,CAUCA,PIÑA,372.0,23232.0,62.45,5.22,3.29
2010,CHOCO,PIÑA,206.0,4775.0,23.18,1.07,1.8199999999999998
2010,CORDOBA,PIÑA,23.1,382.0,16.54,0.09,0.2
2010,CUNDINAMARCA,PIÑA,297.0,11466.3,38.61,2.58,2.62
2010,GUAVIARE,PIÑA,10.0,300.0,30.0,0.07,0.09
2010,HUILA,PIÑA,355.5,5695.65,16.02,1.28,3.14
2010,LA GUAJIRA,PIÑA,50.0,300.0,6.0,0.07,0.44
2010,META,PIÑA,319.0,16400.0,51.41,3.69,2.82
2010,NARIÑO,PIÑA,213.0,4678.5,21.96,1.05,1.88
2010,NORTE DE SANTANDER,PIÑA,188.0,7500.0,39.89,1.69,1.6600000000000001
2010,PUTUMAYO,PIÑA,721.0,5805.0,8.05,1.31,6.37
2010,QUINDIO,PIÑA,251.9,11254.5,44.68,2.5300000000000002,2.23
2010,RISARALDA,PIÑA,203.0,16240.0,80.0,3.65,1.79
2010,SANTANDER,PIÑA,5743.8,239129.5,41.63,53.77,50.76
2010,SUCRE,PIÑA,1.0,1.25,1.25,0.0,0.01
2010,TOLIMA,PIÑA,45.0,1665.0,37.0,0.37,0.4
2010,VALLE DEL CAUCA,PIÑA,1224.1,80771.0,65.98,18.16,10.82
2010,VAUPES,PIÑA,7.0,63.0,9.0,0.01,0.06
2010,VICHADA,PIÑA,7.0,52.0,7.43,0.01,0.06
2011,AMAZONAS,PIÑA,46.0,46.0,1.0,0.01,0.35
2011,ANTIOQUIA,PIÑA,168.5,5641.75,33.48,1.11,1.3
2011,ARAUCA,PIÑA,127.0,1940.0,15.28,0.38,0.98
2011,ATLANTICO,PIÑA,5.0,75.0,15.0,0.01,0.04
2011,BOLIVAR,PIÑA,185.0,3330.0,18.0,0.65,1.42
2011,BOYACA,PIÑA,64.27,749.24,11.66,0.15,0.49
2011,CAQUETA,PIÑA,504.0,3458.0,6.86,0.68,3.88
2011,CASANARE,PIÑA,185.25,6688.15,36.1,1.31,1.43
2011,CAUCA,PIÑA,471.04,29332.44,62.27,5.76,3.62
2011,CESAR,PIÑA,0.0,0.0,0.0,0.0,0.0
2011,CHOCO,PIÑA,321.6,7872.0,24.48,1.55,2.4699999999999998
2011,CORDOBA,PIÑA,28.0,420.0,15.0,0.08,0.22
2011,CUNDINAMARCA,PIÑA,529.0,17731.0,33.52,3.48,4.07
2011,GUAVIARE,PIÑA,12.0,180.0,15.0,0.04,0.09
2011,HUILA,PIÑA,334.0,5360.0,16.05,1.05,2.57
2011,LA GUAJIRA,PIÑA,50.0,300.0,6.0,0.06,0.38
2011,META,PIÑA,346.0,18404.0,53.19,3.61,2.66
2011,NARIÑO,PIÑA,221.1,4704.9,21.28,0.92,1.7
2011,NORTE DE SANTANDER,PIÑA,251.0,9905.0,39.46,1.94,1.9300000000000002
2011,PUTUMAYO,PIÑA,759.5,5860.0,7.72,1.15,5.84
2011,QUINDIO,PIÑA,721.7,32414.5,44.91,6.36,5.55
2011,RISARALDA,PIÑA,161.0,12880.0,80.0,2.5300000000000002,1.24
2011,SANTANDER,PIÑA,6104.8,252911.0,41.43,49.65,46.98
2011,SUCRE,PIÑA,5.0,161.25,32.25,0.03,0.04
2011,TOLIMA,PIÑA,30.0,1000.0,33.33,0.2,0.23
2011,VALLE DEL CAUCA,PIÑA,1339.2,87754.9,65.53,17.23,10.31
2011,VAUPES,PIÑA,12.0,120.0,10.0,0.02,0.09
2011,VICHADA,PIÑA,13.0,180.0,13.85,0.04,0.1
2012,AMAZONAS,PIÑA,10.0,10.0,1.0,0.0,0.08
2012,ANTIOQUIA,PIÑA,219.7,9750.3,44.38,2.0,1.71
2012,ARAUCA,PIÑA,126.0,1890.0,15.0,0.39,0.98
2012,ATLANTICO,PIÑA,27.7,835.5,30.16,0.17,0.22
2012,BOLIVAR,PIÑA,200.0,3600.0,18.0,0.74,1.55
2012,BOYACA,PIÑA,66.27,751.24,11.34,0.15,0.52
2012,CALDAS,PIÑA,10.0,90.0,9.0,0.02,0.08
