Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2020,ANTIOQUIA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",12.8,230.4,18.0,0.04,0.12
2020,CASANARE,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",114.5,5681.0,49.62,1.05,1.06
2020,CAUCA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",376.66,15647.87,41.54,2.9,3.5
2020,CESAR,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",208.0,5760.0,27.69,1.07,1.9300000000000002
2020,CORDOBA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",220.0,18480.0,84.0,3.42,2.04
2020,META,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",387.0,26960.0,69.66,4.99,3.6
2020,NARIÑO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",0.0,0.0,0.0,0.0,0.0
2020,NORTE DE SANTANDER,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",0.0,0.0,0.0,0.0,0.0
2020,QUINDIO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",706.6,34134.0,48.31,6.32,6.57
2020,RISARALDA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",9.9,316.8,32.0,0.06,0.09
2020,SANTANDER,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",7681.3,370065.0,48.18,68.53,71.38
2020,VALLE DEL CAUCA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",1043.96,62712.1,60.07,11.61,9.7
2021,ANTIOQUIA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",65.6,1377.6,21.0,0.12,0.28
2021,CASANARE,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",545.2,26088.0,47.85,2.22,2.32
2021,CAUCA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",1405.64,62596.8,44.53,5.32,5.97
2021,CESAR,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",386.0,11975.0,31.02,1.02,1.6400000000000001
2021,CHOCO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",70.0,420.0,6.0,0.04,0.3
2021,CORDOBA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",660.0,48600.0,73.64,4.13,2.8
2021,META,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",1094.0,72796.48,66.54,6.19,4.65
2021,NARIÑO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",4.0,124.8,31.2,0.01,0.02
2021,NORTE DE SANTANDER,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",4.4,132.0,30.0,0.01,0.02
2021,QUINDIO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",1337.2,64468.0,48.21,5.48,5.68
2021,RISARALDA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",264.6,8467.2,32.0,0.72,1.12
2021,SANTANDER,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",15570.6,749550.0,48.14,63.76,66.17
2021,VALLE DEL CAUCA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",2125.72,129073.52,60.72,10.98,9.03
2022,ANTIOQUIA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",42.8,813.8,19.01,0.14,0.36
2022,CASANARE,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",297.6,15447.5,51.91,2.65,2.52
2022,CAUCA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",392.66,16111.18,41.03,2.76,3.32
2022,CESAR,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",203.0,6010.0,29.61,1.03,1.72
2022,CHOCO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",35.0,210.0,6.0,0.04,0.3
2022,CORDOBA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",270.0,18270.0,67.67,3.13,2.2800000000000002
2022,META,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",619.0,33345.5,53.87,5.71,5.23
2022,NORTE DE SANTANDER,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",1.7,51.0,30.0,0.01,0.01
2022,QUINDIO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",679.1,35619.0,52.45,6.1,5.74
2022,RISARALDA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",137.2,4390.4,32.0,0.75,1.16
2022,SANTANDER,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",8065.3,388725.0,48.2,66.57,68.16
2022,VALLE DEL CAUCA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",1089.04,64912.9,59.61,11.12,9.2
2023,ANTIOQUIA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",45.1,835.0,18.51,0.16,0.39
2023,CASANARE,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",395.6,15814.5,39.98,2.9699999999999998,3.41
2023,CAUCA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",559.66,24708.86,44.15,4.64,4.82
2023,CESAR,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",203.0,3662.0,18.04,0.69,1.75
2023,CHOCO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",45.0,270.0,6.0,0.05,0.39
2023,CORDOBA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",130.25,8252.0,63.36,1.55,1.12
2023,META,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",628.0,31556.0,50.25,5.93,5.41
2023,QUINDIO,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",541.2,28037.5,51.81,5.27,4.66
2023,RISARALDA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",110.6,3539.2,32.0,0.67,0.95
2023,SANTANDER,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",8051.8,362243.5,44.99,68.09,69.38
2023,VALLE DEL CAUCA,"PIÑA CAYENA, GOLD, MANZANA Y/O PEROLERA",894.54,53076.76,59.33,9.98,7.71
