Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,QUINDIO,PLANTAS AROMATICAS,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,PLANTAS AROMATICAS,20.0,10.0,0.5,0.49,6.12
2007,CAUCA,PLANTAS AROMATICAS,40.0,60.0,1.5,2.91,12.24
2007,CUNDINAMARCA,PLANTAS AROMATICAS,116.0,946.0,8.16,45.89,35.5
2007,NORTE DE SANTANDER,PLANTAS AROMATICAS,0.0,0.0,0.0,0.0,0.0
2007,PUTUMAYO,PLANTAS AROMATICAS,19.0,120.0,6.32,5.82,5.8100000000000005
2007,QUINDIO,PLANTAS AROMATICAS,12.3,97.17,7.9,4.71,3.76
2007,RISARALDA,PLANTAS AROMATICAS,24.0,215.0,8.96,10.43,7.34
2007,VALLE DEL CAUCA,PLANTAS AROMATICAS,95.5,613.1,6.42,29.74,29.22
2008,CAUCA,PLANTAS AROMATICAS,9.0,14.0,1.56,0.65,3.27
2008,CUNDINAMARCA,PLANTAS AROMATICAS,130.22,1018.91,7.82,46.98,47.25
2008,NORTE DE SANTANDER,PLANTAS AROMATICAS,16.0,211.2,13.2,9.74,5.8100000000000005
2008,QUINDIO,PLANTAS AROMATICAS,18.9,145.25,7.6899999999999995,6.7,6.86
2008,RISARALDA,PLANTAS AROMATICAS,16.0,252.0,15.75,11.62,5.8100000000000005
2008,VALLE DEL CAUCA,PLANTAS AROMATICAS,85.5,527.44,6.17,24.32,31.02
2009,CAUCA,PLANTAS AROMATICAS,11.0,17.0,1.55,0.9,4.71
2009,CUNDINAMARCA,PLANTAS AROMATICAS,79.74,672.0,8.43,35.64,34.14
2009,NORTE DE SANTANDER,PLANTAS AROMATICAS,16.0,211.2,13.2,11.2,6.85
2009,PUTUMAYO,PLANTAS AROMATICAS,20.0,20.0,1.0,1.06,8.56
2009,QUINDIO,PLANTAS AROMATICAS,13.2,100.28,7.6,5.32,5.65
2009,RISARALDA,PLANTAS AROMATICAS,17.0,360.4,21.2,19.11,7.28
2009,VALLE DEL CAUCA,PLANTAS AROMATICAS,76.6,504.56,6.59,26.76,32.8
2010,BOYACA,PLANTAS AROMATICAS,0.2,0.2,1.0,0.01,0.07
2010,CALDAS,PLANTAS AROMATICAS,2.0,3.0,1.5,0.19,0.74
2010,CAUCA,PLANTAS AROMATICAS,40.0,60.0,1.5,3.73,14.89
2010,CUNDINAMARCA,PLANTAS AROMATICAS,67.06,410.3,6.12,25.53,24.96
2010,NORTE DE SANTANDER,PLANTAS AROMATICAS,20.85,205.03,9.83,12.76,7.76
2010,PUTUMAYO,PLANTAS AROMATICAS,18.0,18.0,1.0,1.12,6.7
2010,QUINDIO,PLANTAS AROMATICAS,9.7,77.3,7.97,4.8100000000000005,3.61
2010,RISARALDA,PLANTAS AROMATICAS,24.0,330.0,13.75,20.53,8.93
2010,SANTANDER,PLANTAS AROMATICAS,0.25,0.23,0.9,0.01,0.09
2010,TOLIMA,PLANTAS AROMATICAS,8.0,16.0,2.0,1.0,2.98
2010,VALLE DEL CAUCA,PLANTAS AROMATICAS,78.6,487.24,6.2,30.31,29.26
2011,ANTIOQUIA,PLANTAS AROMATICAS,23.0,230.0,10.0,17.21,12.72
