Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,AMAZONAS,PLATANO,895.0,2956.0,3.3,0.1,0.25
2007,ANTIOQUIA,PLATANO,41037.72,248220.4,6.05,8.69,11.37
2007,ARAUCA,PLATANO,11444.0,94270.0,8.24,3.3,3.17
2007,ATLANTICO,PLATANO,37.0,134.5,3.64,0.0,0.01
2007,BOLIVAR,PLATANO,3100.0,21122.0,6.8100000000000005,0.74,0.86
2007,BOYACA,PLATANO,4631.0,33098.0,7.15,1.16,1.28
2007,CALDAS,PLATANO,15757.0,167359.0,10.62,5.86,4.37
2007,CAQUETA,PLATANO,12447.0,80132.0,6.44,2.81,3.45
2007,CASANARE,PLATANO,2336.0,25470.0,10.9,0.89,0.65
2007,CAUCA,PLATANO,10693.52,96044.75,8.98,3.36,2.96
2007,CESAR,PLATANO,2971.0,17051.0,5.74,0.6,0.82
2007,CHOCO,PLATANO,16753.0,101524.3,6.06,3.55,4.64
2007,CORDOBA,PLATANO,25231.0,239883.0,9.51,8.4,6.99
2007,CUNDINAMARCA,PLATANO,10167.83,76050.57,7.48,2.66,2.82
2007,GUAINIA,PLATANO,130.0,975.0,7.5,0.03,0.04
2007,GUAVIARE,PLATANO,2594.0,18726.5,7.22,0.66,0.72
2007,HUILA,PLATANO,26117.5,86522.29,3.31,3.03,7.24
2007,LA GUAJIRA,PLATANO,2024.0,10050.0,4.97,0.35,0.56
2007,MAGDALENA,PLATANO,1850.0,12391.0,6.7,0.43,0.51
2007,META,PLATANO,16828.0,251619.0,14.95,8.81,4.66
2007,NARIÑO,PLATANO,22306.0,142930.7,6.41,5.0,6.18
2007,NORTE DE SANTANDER,PLATANO,13646.5,84474.6,6.19,2.96,3.7800000000000002
2007,PUTUMAYO,PLATANO,5727.0,38067.0,6.65,1.33,1.5899999999999999
2007,QUINDIO,PLATANO,34622.4,334217.4,9.65,11.7,9.59
2007,RISARALDA,PLATANO,21043.0,167452.8,7.96,5.86,5.83
2007,SANTANDER,PLATANO,11215.0,107415.4,9.58,3.76,3.11
2007,SUCRE,PLATANO,1370.7,8022.35,5.85,0.28,0.38
2007,TOLIMA,PLATANO,27921.0,235151.0,8.42,8.23,7.74
2007,VALLE DEL CAUCA,PLATANO,15621.65,152991.4,9.79,5.36,4.33
2007,VAUPES,PLATANO,113.0,676.0,5.98,0.02,0.03
2007,VICHADA,PLATANO,265.0,1090.0,4.11,0.04,0.07
2008,AMAZONAS,PLATANO,1203.0,4017.0,3.34,0.15,0.35
2008,ANTIOQUIA,PLATANO,39944.59,247931.6,6.21,9.54,11.75
2008,ARAUCA,PLATANO,15007.0,137622.0,9.17,5.3,4.41
2008,ATLANTICO,PLATANO,52.5,324.0,6.17,0.01,0.02
2008,BOLIVAR,PLATANO,3223.0,22084.0,6.85,0.85,0.95
2008,BOYACA,PLATANO,4098.4,30380.34,7.41,1.17,1.21
2008,CALDAS,PLATANO,15705.0,170035.6,10.83,6.55,4.62
2008,CAQUETA,PLATANO,12957.0,84493.0,6.52,3.25,3.81
2008,CASANARE,PLATANO,1567.0,17605.6,11.24,0.68,0.46
2008,CAUCA,PLATANO,9255.46,71280.7,7.7,2.74,2.7199999999999998
2008,CESAR,PLATANO,3145.0,17814.0,5.66,0.69,0.93
2008,CHOCO,PLATANO,13497.0,78407.5,5.8100000000000005,3.02,3.9699999999999998
2008,CORDOBA,PLATANO,17416.0,127729.0,7.33,4.92,5.12
2008,CUNDINAMARCA,PLATANO,7463.0,60570.5,8.12,2.33,2.2
2008,GUAINIA,PLATANO,150.0,1125.0,7.5,0.04,0.04
2008,GUAVIARE,PLATANO,2220.0,22150.0,9.98,0.85,0.65
2008,HUILA,PLATANO,25685.5,82614.85,3.22,3.18,7.55
2008,LA GUAJIRA,PLATANO,1566.0,7504.18,4.79,0.29,0.46
2008,MAGDALENA,PLATANO,2063.0,14262.0,6.91,0.55,0.61
2008,META,PLATANO,17644.0,273737.0,15.51,10.54,5.19
2008,NARIÑO,PLATANO,22466.8,134369.0,5.98,5.17,6.61
2008,NORTE DE SANTANDER,PLATANO,13473.0,85154.0,6.32,3.2800000000000002,3.96
2008,PUTUMAYO,PLATANO,5878.0,40887.0,6.96,1.5699999999999998,1.73
2008,QUINDIO,PLATANO,34272.3,316021.4,9.22,12.17,10.08
2008,RISARALDA,PLATANO,18678.2,144026.3,7.71,5.54,5.49
2008,SANTANDER,PLATANO,10714.25,100211.1,9.35,3.86,3.15
2008,SUCRE,PLATANO,1090.0,5873.0,5.39,0.23,0.32
2008,TOLIMA,PLATANO,23035.0,162388.0,7.05,6.25,6.78
2008,VALLE DEL CAUCA,PLATANO,15959.0,134041.96,8.4,5.16,4.6899999999999995
2008,VAUPES,PLATANO,100.0,602.0,6.02,0.02,0.03
2008,VICHADA,PLATANO,463.0,2267.0,4.9,0.09,0.14
2009,AMAZONAS,PLATANO,0.0,0.0,0.0,0.0,0.0
2009,ANTIOQUIA,PLATANO,40621.8,247125.4,6.08,9.49,12.22
2009,ARAUCA,PLATANO,17830.0,217241.0,12.18,8.34,5.36
2009,ATLANTICO,PLATANO,55.67,314.67,5.65,0.01,0.02
2009,BOLIVAR,PLATANO,3954.0,27355.0,6.92,1.05,1.19
2009,BOYACA,PLATANO,4000.2,31155.55,7.79,1.2,1.2
2009,CALDAS,PLATANO,16275.0,189350.4,11.63,7.27,4.9
2009,CAQUETA,PLATANO,12915.0,80266.0,6.21,3.08,3.89
2009,CASANARE,PLATANO,2017.0,22307.9,11.06,0.86,0.61
2009,CAUCA,PLATANO,8669.8,55306.85,6.38,2.12,2.61
2009,CESAR,PLATANO,2512.0,14005.0,5.58,0.54,0.76
