Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2009,ATLANTICO,POMELO,5.0,175.0,35.0,100.0,100.0
2010,ATLANTICO,POMELO,5.02,175.12,34.88,100.0,100.0
2011,ATLANTICO,POMELO,5.5,176.5,32.09,100.0,100.0
2012,ATLANTICO,POMELO,7.0,245.0,35.0,100.0,100.0
2013,ATLANTICO,POMELO,7.5,108.5,14.47,100.0,100.0
2014,ATLANTICO,POMELO,0.5,5.0,10.0,100.0,100.0
2015,ATLANTICO,POMELO,8.0,80.0,10.0,100.0,100.0
2016,ATLANTICO,POMELO,9.0,100.0,11.11,100.0,100.0
2017,ATLANTICO,POMELO,9.0,145.0,16.11,100.0,100.0
2018,ATLANTICO,POMELO,11.0,175.0,15.91,100.0,100.0
2019,ATLANTICO,POMELO,12.0,288.0,24.0,78.05,64.86
2019,BOLIVAR,POMELO,1.0,10.0,10.0,2.71,5.41
2019,CESAR,POMELO,2.0,50.0,25.0,13.55,10.81
2019,MAGDALENA,POMELO,3.5,21.0,6.0,5.6899999999999995,18.92
2020,ATLANTICO,POMELO,14.0,357.0,25.5,81.32,68.29
2020,BOLIVAR,POMELO,1.0,4.0,4.0,0.91,4.88
2020,CESAR,POMELO,2.0,50.0,25.0,11.39,9.76
2020,MAGDALENA,POMELO,3.5,28.0,8.0,6.38,17.07
2021,ATLANTICO,POMELO,32.0,612.0,19.13,14.91,14.82
2021,BOLIVAR,POMELO,9.56,116.42,12.18,2.84,4.43
2021,CESAR,POMELO,129.07,3048.67,23.62,74.26,59.78
2021,MAGDALENA,POMELO,45.28,328.14,7.25,7.99,20.97
2022,ATLANTICO,POMELO,17.0,312.0,18.35,15.41,14.39
2022,BOLIVAR,POMELO,6.78,80.82,11.92,3.99,5.74
2022,CESAR,POMELO,63.75,1387.52,21.77,68.54,53.95
2022,MAGDALENA,POMELO,30.63,243.99,7.97,12.05,25.92
2023,ATLANTICO,POMELO,17.0,286.0,16.82,17.87,13.75
2023,BOLIVAR,POMELO,16.28,323.32,19.86,20.21,13.17
2023,CESAR,POMELO,58.75,739.75,12.59,46.23,47.51
2023,MAGDALENA,POMELO,31.63,250.99,7.9399999999999995,15.69,25.58
