Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,CAUCA,QUINUA,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,QUINUA,5.0,6.0,1.2,4.29,4.46
2007,CAUCA,QUINUA,45.0,27.8,0.62,19.9,40.18
2007,NARIÑO,QUINUA,62.0,105.9,1.71,75.81,55.36
2008,BOYACA,QUINUA,26.0,31.5,1.21,36.63,36.11
2008,CAUCA,QUINUA,26.0,19.5,0.75,22.67,36.11
2008,NARIÑO,QUINUA,20.0,35.0,1.75,40.7,27.78
2009,BOYACA,QUINUA,8.8,14.1,1.6,12.57,7.06
2009,CAUCA,QUINUA,38.85,21.1,0.54,18.81,31.17
2009,NARIÑO,QUINUA,77.0,77.0,1.0,68.63,61.77
2010,BOYACA,QUINUA,1.5,2.25,1.5,0.89,1.03
2010,CAUCA,QUINUA,48.85,21.59,0.44,8.51,33.61
2010,NARIÑO,QUINUA,95.0,230.0,2.42,90.61,65.36
2011,BOYACA,QUINUA,2.0,3.0,1.5,2.87,2.5
2011,CAUCA,QUINUA,34.85,15.21,0.44,14.56,43.64
2011,NARIÑO,QUINUA,43.0,86.2,2.0,82.56,53.85
2012,BOYACA,QUINUA,4.0,4.8,1.2,3.34,3.81
2012,CAUCA,QUINUA,69.85,71.68,1.03,49.93,66.62
2012,CUNDINAMARCA,QUINUA,0.0,0.0,0.0,0.0,0.0
2012,NARIÑO,QUINUA,31.0,67.1,2.16,46.73,29.57
2013,BOYACA,QUINUA,17.99,28.39,1.58,3.21,4.03
2013,CAUCA,QUINUA,119.0,213.5,1.79,24.17,26.66
2013,CUNDINAMARCA,QUINUA,5.4,16.65,3.08,1.88,1.21
2013,NARIÑO,QUINUA,304.0,624.8,2.06,70.73,68.1
2014,BOYACA,QUINUA,16.0,26.4,1.65,1.19,1.65
2014,CAUCA,QUINUA,157.0,196.0,1.25,8.84,16.2
2014,CUNDINAMARCA,QUINUA,9.9,36.9,3.73,1.6600000000000001,1.02
2014,NARIÑO,QUINUA,786.0,1957.6,2.49,88.3,81.12
2015,BOYACA,QUINUA,5.0,7.5,1.5,0.62,0.72
2015,CAUCA,QUINUA,478.5,656.0,1.37,54.62,68.65
2015,CUNDINAMARCA,QUINUA,29.0,78.0,2.69,6.49,4.16
2015,NARIÑO,QUINUA,184.5,459.45,2.49,38.26,26.47
2016,BOYACA,QUINUA,15.7,36.75,2.34,2.2,1.51
2016,CAUCA,QUINUA,678.0,902.0,1.33,53.93,65.02
2016,CUNDINAMARCA,QUINUA,29.0,165.95,5.72,9.92,2.7800000000000002
2016,NARIÑO,QUINUA,320.0,567.7,1.77,33.95,30.69
2017,BOYACA,QUINUA,53.3,88.18,1.65,6.39,6.25
2017,CAUCA,QUINUA,518.0,719.4,1.3900000000000001,52.15,60.78
2017,CUNDINAMARCA,QUINUA,43.0,202.0,4.7,14.64,5.05
2017,NARIÑO,QUINUA,238.0,370.0,1.55,26.82,27.92
2018,BOYACA,QUINUA,72.0,102.98,1.43,7.35,8.64
2018,CAUCA,QUINUA,560.0,721.63,1.29,51.49,67.23
2018,CUNDINAMARCA,QUINUA,28.0,201.01,7.18,14.34,3.36
2018,NARIÑO,QUINUA,173.0,376.0,2.17,26.83,20.77
2019,BOYACA,QUINUA,181.7,341.8,1.88,22.79,25.42
2019,CAUCA,QUINUA,238.0,325.96,1.37,21.73,33.3
2019,CUNDINAMARCA,QUINUA,32.0,94.0,2.94,6.27,4.48
2019,NARIÑO,QUINUA,263.0,738.3,2.81,49.22,36.8
2020,BOYACA,QUINUA,191.2,362.4,1.9,27.04,28.34
2020,CAUCA,QUINUA,227.5,249.45,1.1,18.61,33.72
2020,CUNDINAMARCA,QUINUA,30.0,90.0,3.0,6.72,4.45
2020,NARIÑO,QUINUA,226.0,638.4,2.82,47.63,33.5
2021,BOYACA,QUINUA,353.2,734.2,2.08,40.43,34.93
2021,CAUCA,QUINUA,412.0,454.8,1.1,25.05,40.74
2021,CUNDINAMARCA,QUINUA,24.0,58.0,2.42,3.19,2.37
2021,NARIÑO,QUINUA,222.0,568.8,2.56,31.33,21.95
2022,BOYACA,QUINUA,145.1,308.75,2.13,38.2,31.97
2022,CAUCA,QUINUA,205.8,227.64,1.11,28.16,45.34
2022,CUNDINAMARCA,QUINUA,8.0,22.5,2.81,2.7800000000000002,1.76
2022,NARIÑO,QUINUA,95.0,249.45,2.63,30.86,20.93
2023,BOYACA,QUINUA,141.6,304.45,2.15,40.57,33.55
2023,CAUCA,QUINUA,203.0,258.29,1.27,34.42,48.09
2023,CUNDINAMARCA,QUINUA,6.0,6.0,1.0,0.8,1.42
2023,NARIÑO,QUINUA,71.5,181.65,2.54,24.21,16.94
