Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,CUNDINAMARCA,RABANO,0.0,0.0,0.0,0.0,0.0
2007,CUNDINAMARCA,RABANO,5.0,75.0,15.0,93.05,83.33
2007,VALLE DEL CAUCA,RABANO,1.0,5.6,5.6,6.95,16.67
2008,CUNDINAMARCA,RABANO,7.5,112.5,15.0,94.46,75.0
2008,VALLE DEL CAUCA,RABANO,2.5,6.6,2.64,5.54,25.0
2009,CUNDINAMARCA,RABANO,9.97,83.88,8.41,39.44,16.19
2009,VALLE DEL CAUCA,RABANO,51.6,128.8,2.5,60.56,83.81
2010,CUNDINAMARCA,RABANO,9.97,131.88,13.23,93.51,81.59
2010,NARIÑO,RABANO,0.25,0.15,0.6,0.11,2.05
2010,VALLE DEL CAUCA,RABANO,2.0,9.0,4.5,6.38,16.37
2011,CUNDINAMARCA,RABANO,8.0,132.0,16.5,90.18,58.18
2011,NARIÑO,RABANO,0.95,0.57,0.6,0.39,6.91
2011,VALLE DEL CAUCA,RABANO,4.8,13.8,2.88,9.43,34.91
2012,CUNDINAMARCA,RABANO,8.09,181.62,22.45,95.28,77.12
2012,VALLE DEL CAUCA,RABANO,2.4,9.0,3.75,4.72,22.88
2013,CUNDINAMARCA,RABANO,10.3,268.4,26.06,93.88,65.19
2013,VALLE DEL CAUCA,RABANO,5.5,17.5,3.18,6.12,34.81
2014,CUNDINAMARCA,RABANO,11.2,348.0,31.07,98.31,84.85
2014,VALLE DEL CAUCA,RABANO,2.0,6.0,3.0,1.69,15.15
2015,CUNDINAMARCA,RABANO,13.1,368.6,28.14,100.0,100.0
2016,CUNDINAMARCA,RABANO,14.8,368.3,24.89,100.0,100.0
2017,CUNDINAMARCA,RABANO,11.7,247.4,21.15,100.0,100.0
2018,CUNDINAMARCA,RABANO,5.0,110.0,22.0,100.0,100.0
2019,CUNDINAMARCA,RABANO,14.9,345.2,23.17,100.0,100.0
2020,CUNDINAMARCA,RABANO,13.62,304.6,22.36,100.0,100.0
2021,CUNDINAMARCA,RABANO,17.4,348.0,20.0,98.42,95.6
2021,VALLE DEL CAUCA,RABANO,0.8,5.6,7.0,1.58,4.4
2022,ANTIOQUIA,RABANO,0.8,13.4,16.75,5.21,5.19
2022,CUNDINAMARCA,RABANO,8.6,172.0,20.0,66.82,55.84
2022,NARIÑO,RABANO,6.0,72.0,12.0,27.97,38.96
2023,ANTIOQUIA,RABANO,0.6,9.6,16.0,5.29,5.17
2023,CUNDINAMARCA,RABANO,5.0,100.0,20.0,55.07,43.1
2023,NARIÑO,RABANO,6.0,72.0,12.0,39.65,51.72
