Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,REMOLACHA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,REMOLACHA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,REMOLACHA,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,REMOLACHA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,REMOLACHA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,REMOLACHA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,REMOLACHA,250.0,4958.0,19.83,44.77,43.25
2007,BOYACA,REMOLACHA,148.5,2808.5,18.91,25.36,25.69
2007,CUNDINAMARCA,REMOLACHA,70.0,1370.0,19.57,12.37,12.11
2007,NARIÑO,REMOLACHA,45.0,810.0,18.0,7.31,7.79
2007,NORTE DE SANTANDER,REMOLACHA,57.0,1055.0,18.51,9.53,9.86
2007,VALLE DEL CAUCA,REMOLACHA,7.5,72.5,9.67,0.65,1.3
2008,ANTIOQUIA,REMOLACHA,250.0,4958.0,19.83,19.53,19.12
2008,BOYACA,REMOLACHA,863.8,17069.4,19.76,67.23,66.05
2008,CUNDINAMARCA,REMOLACHA,96.5,1714.5,17.77,6.75,7.38
2008,NARIÑO,REMOLACHA,40.0,720.0,18.0,2.84,3.06
2008,NORTE DE SANTANDER,REMOLACHA,52.0,875.0,16.83,3.45,3.98
2008,VALLE DEL CAUCA,REMOLACHA,5.5,52.5,9.55,0.21,0.42
2009,ANTIOQUIA,REMOLACHA,263.0,5057.6,19.23,27.08,27.44
2009,BOYACA,REMOLACHA,466.18,9218.9,19.78,49.35,48.63
2009,CUNDINAMARCA,REMOLACHA,117.4,2362.5,20.12,12.65,12.25
2009,NARIÑO,REMOLACHA,60.0,1080.0,18.0,5.78,6.26
2009,NORTE DE SANTANDER,REMOLACHA,47.0,835.0,17.77,4.47,4.9
2009,VALLE DEL CAUCA,REMOLACHA,5.0,125.0,25.0,0.67,0.52
2010,ANTIOQUIA,REMOLACHA,212.3,4088.5,19.26,27.04,27.52
2010,BOYACA,REMOLACHA,372.9,7503.7,20.12,49.63,48.33
2010,CALDAS,REMOLACHA,1.0,26.8,26.8,0.18,0.13
2010,CUNDINAMARCA,REMOLACHA,80.0,1566.0,19.57,10.36,10.37
2010,NARIÑO,REMOLACHA,25.0,400.0,16.0,2.65,3.24
2010,NORTE DE SANTANDER,REMOLACHA,51.8,795.0,15.35,5.26,6.71
2010,TOLIMA,REMOLACHA,20.0,415.0,20.75,2.74,2.59
2010,VALLE DEL CAUCA,REMOLACHA,8.5,325.0,38.24,2.15,1.1
2011,ANTIOQUIA,REMOLACHA,547.4,15730.0,28.74,73.62,66.19
2011,BOYACA,REMOLACHA,155.18,3401.36,21.92,15.92,18.76
2011,CALDAS,REMOLACHA,1.55,37.7,24.32,0.18,0.19
2011,CUNDINAMARCA,REMOLACHA,51.9,865.9,16.68,4.05,6.28
2011,NARIÑO,REMOLACHA,0.0,0.0,0.0,0.0,0.0
2011,NORTE DE SANTANDER,REMOLACHA,48.0,837.5,17.45,3.92,5.8
2011,TOLIMA,REMOLACHA,20.0,420.0,21.0,1.97,2.42
2011,VALLE DEL CAUCA,REMOLACHA,3.0,75.0,25.0,0.35,0.36
2012,ANTIOQUIA,REMOLACHA,920.0,27223.0,29.59,80.16,74.47
2012,BOYACA,REMOLACHA,111.0,3119.0,28.1,9.18,8.98
2012,CALDAS,REMOLACHA,1.52,26.8,17.63,0.08,0.12
2012,CUNDINAMARCA,REMOLACHA,114.9,2105.9,18.33,6.2,9.3
2012,NARIÑO,REMOLACHA,40.0,670.0,16.75,1.97,3.24
2012,NORTE DE SANTANDER,REMOLACHA,48.0,817.5,17.03,2.41,3.89
2013,ANTIOQUIA,REMOLACHA,852.0,25129.0,29.49,83.91,81.28
2013,BOYACA,REMOLACHA,60.4,2589.0,42.86,8.64,5.76
2013,CALDAS,REMOLACHA,1.3,21.8,16.77,0.07,0.12
2013,CAUCA,REMOLACHA,1.0,10.0,10.0,0.03,0.1
2013,CUNDINAMARCA,REMOLACHA,65.0,1045.0,16.08,3.49,6.2
2013,NARIÑO,REMOLACHA,26.0,416.0,16.0,1.3900000000000001,2.48
2013,NORTE DE SANTANDER,REMOLACHA,42.5,737.5,17.35,2.46,4.05
2014,ANTIOQUIA,REMOLACHA,803.0,23643.0,29.44,88.62,83.13
2014,BOYACA,REMOLACHA,43.5,1104.0,25.38,4.14,4.5
2014,CALDAS,REMOLACHA,0.5,7.0,14.0,0.03,0.05
2014,CAUCA,REMOLACHA,1.0,10.0,10.0,0.04,0.1
2014,CUNDINAMARCA,REMOLACHA,48.0,750.0,15.63,2.81,4.97
2014,NARIÑO,REMOLACHA,28.0,435.0,15.54,1.63,2.9
2014,NORTE DE SANTANDER,REMOLACHA,42.0,730.0,17.38,2.74,4.35
2015,ANTIOQUIA,REMOLACHA,799.5,23578.0,29.49,93.23,89.49
2015,BOYACA,REMOLACHA,23.0,510.0,22.17,2.02,2.57
2015,CALDAS,REMOLACHA,1.5,13.0,8.67,0.05,0.17
2015,CAUCA,REMOLACHA,0.8,8.0,10.0,0.03,0.09
2015,CUNDINAMARCA,REMOLACHA,26.8,466.4,17.4,1.8399999999999999,3.0
2015,NORTE DE SANTANDER,REMOLACHA,41.8,714.6,17.1,2.83,4.68
2016,ANTIOQUIA,REMOLACHA,739.4,21740.0,29.4,88.8,81.49
2016,BOYACA,REMOLACHA,47.0,914.0,19.45,3.73,5.18
2016,CALDAS,REMOLACHA,2.0,33.0,16.5,0.13,0.22
2016,CAUCA,REMOLACHA,61.0,610.0,10.0,2.49,6.72
2016,CUNDINAMARCA,REMOLACHA,22.9,617.0,26.94,2.52,2.52
2016,NORTE DE SANTANDER,REMOLACHA,35.0,567.0,16.2,2.32,3.86
2017,ANTIOQUIA,REMOLACHA,373.0,10735.0,28.78,66.88,58.94
2017,BOYACA,REMOLACHA,109.0,2913.5,26.73,18.15,17.23
2017,CALDAS,REMOLACHA,1.0,10.0,10.0,0.06,0.16
2017,CAUCA,REMOLACHA,63.0,256.2,4.07,1.6,9.96
2017,CUNDINAMARCA,REMOLACHA,48.3,1463.0,30.29,9.11,7.63
2017,NORTE DE SANTANDER,REMOLACHA,38.5,674.5,17.52,4.2,6.08
2018,ANTIOQUIA,REMOLACHA,26.0,538.75,20.72,7.17,9.11
2018,BOYACA,REMOLACHA,193.0,5511.03,28.55,73.32,67.6
2018,CALDAS,REMOLACHA,4.5,45.0,10.0,0.6,1.58
2018,CUNDINAMARCA,REMOLACHA,28.0,880.0,31.43,11.71,9.81
2018,NORTE DE SANTANDER,REMOLACHA,34.0,542.0,15.94,7.21,11.91
2019,ANTIOQUIA,REMOLACHA,594.0,17476.5,29.42,73.46,69.83
2019,BOYACA,REMOLACHA,138.0,2452.0,17.77,10.31,16.22
2019,CALDAS,REMOLACHA,1.0,2.0,2.0,0.01,0.12
2019,CUNDINAMARCA,REMOLACHA,64.61,3031.6,46.92,12.74,7.6
2019,NORTE DE SANTANDER,REMOLACHA,53.0,827.0,15.6,3.48,6.23
2020,ANTIOQUIA,REMOLACHA,591.5,17444.25,29.49,79.21,71.94
2020,BOYACA,REMOLACHA,83.0,1172.0,14.12,5.32,10.09
2020,CALDAS,REMOLACHA,0.5,1.0,2.0,0.0,0.06
2020,CUNDINAMARCA,REMOLACHA,97.76,2548.0,26.06,11.57,11.89
2020,NORTE DE SANTANDER,REMOLACHA,48.0,823.0,17.15,3.74,5.84
2020,VALLE DEL CAUCA,REMOLACHA,1.5,35.0,23.33,0.16,0.18
2021,ANTIOQUIA,REMOLACHA,1202.0,35455.0,29.5,73.52,68.36
2021,BOYACA,REMOLACHA,202.0,4520.5,22.38,9.37,11.49
2021,CALDAS,REMOLACHA,0.9,10.0,11.11,0.02,0.05
2021,CUNDINAMARCA,REMOLACHA,249.6,6460.0,25.88,13.4,14.19
2021,HUILA,REMOLACHA,5.1,47.4,9.29,0.1,0.29
2021,NORTE DE SANTANDER,REMOLACHA,98.0,1700.0,17.35,3.5300000000000002,5.57
2021,VALLE DEL CAUCA,REMOLACHA,0.8,33.0,41.25,0.07,0.05
2022,ANTIOQUIA,REMOLACHA,586.1,17428.2,29.74,70.23,67.87
2022,BOYACA,REMOLACHA,83.8,1811.0,21.61,7.3,9.7
2022,CALDAS,REMOLACHA,0.4,1.6,4.0,0.01,0.05
2022,CUNDINAMARCA,REMOLACHA,131.0,4600.0,35.11,18.54,15.17
2022,HUILA,REMOLACHA,2.0,18.0,9.0,0.07,0.23
2022,NARIÑO,REMOLACHA,9.0,58.0,6.44,0.23,1.04
2022,NORTE DE SANTANDER,REMOLACHA,51.0,889.2,17.44,3.58,5.91
2022,VALLE DEL CAUCA,REMOLACHA,0.2,9.0,45.0,0.04,0.02
2023,ANTIOQUIA,REMOLACHA,520.3,15346.8,29.5,82.31,72.79
2023,BOYACA,REMOLACHA,91.0,1903.0,20.91,10.21,12.73
2023,CALDAS,REMOLACHA,0.4,1.6,4.0,0.01,0.06
2023,CUNDINAMARCA,REMOLACHA,33.1,411.0,12.42,2.2,4.63
2023,HUILA,REMOLACHA,2.0,18.0,9.0,0.1,0.28
2023,NARIÑO,REMOLACHA,11.0,56.0,5.09,0.3,1.54
2023,NORTE DE SANTANDER,REMOLACHA,57.0,908.8,15.94,4.87,7.97
2023,VALLE DEL CAUCA,REMOLACHA,0.02,0.9,45.0,0.0,0.0
