Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,REPOLLO,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,REPOLLO,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,REPOLLO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,REPOLLO,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,REPOLLO,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,REPOLLO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,REPOLLO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,REPOLLO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,REPOLLO,1670.0,89100.0,53.35,72.19,54.28
2007,BOYACA,REPOLLO,69.0,1112.0,16.12,0.9,2.24
2007,CALDAS,REPOLLO,13.0,350.0,26.92,0.28,0.42
2007,CAUCA,REPOLLO,0.0,0.0,0.0,0.0,0.0
2007,CUNDINAMARCA,REPOLLO,500.0,13247.0,26.49,10.73,16.25
2007,NARIÑO,REPOLLO,394.0,10707.0,27.18,8.67,12.81
2007,NORTE DE SANTANDER,REPOLLO,56.0,1080.0,19.29,0.88,1.8199999999999998
2007,SANTANDER,REPOLLO,2.0,50.0,25.0,0.04,0.07
2007,VALLE DEL CAUCA,REPOLLO,372.6,7781.95,20.89,6.3,12.11
2008,ANTIOQUIA,REPOLLO,1308.0,61642.0,47.13,55.35,40.21
2008,BOYACA,REPOLLO,47.99,811.32,16.91,0.73,1.48
2008,CAUCA,REPOLLO,5.5,8.3,1.51,0.01,0.17
2008,CUNDINAMARCA,REPOLLO,1010.0,28699.0,28.41,25.77,31.05
2008,NARIÑO,REPOLLO,402.43,10625.5,26.4,9.54,12.37
2008,NORTE DE SANTANDER,REPOLLO,78.0,1513.0,19.4,1.3599999999999999,2.4
2008,QUINDIO,REPOLLO,0.0,0.0,0.0,0.0,0.0
2008,SANTANDER,REPOLLO,7.03,275.7,39.23,0.25,0.22
2008,VALLE DEL CAUCA,REPOLLO,394.0,7802.8,19.8,7.01,12.11
2009,ANTIOQUIA,REPOLLO,1257.5,61044.0,48.54,54.93,40.32
2009,BOYACA,REPOLLO,46.0,740.0,16.09,0.67,1.47
2009,CAUCA,REPOLLO,3.5,4.0,1.1400000000000001,0.0,0.11
