Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,QUINDIO,SABILA,0.0,0.0,0.0,0.0,0.0
2008,ATLANTICO,SABILA,60.0,3600.0,60.0,97.27,50.21
2008,CASANARE,SABILA,2.0,2.4,1.2,0.06,1.67
2008,QUINDIO,SABILA,0.5,15.0,30.0,0.41,0.42
2008,RISARALDA,SABILA,7.0,8.75,1.25,0.24,5.86
2008,SANTANDER,SABILA,50.0,75.0,1.5,2.03,41.84
2009,ATLANTICO,SABILA,77.0,4620.0,60.0,83.47,44.2
2009,CASANARE,SABILA,3.0,10.0,3.33,0.18,1.72
2009,CUNDINAMARCA,SABILA,12.0,120.0,10.0,2.17,6.89
2009,MAGDALENA,SABILA,23.0,575.0,25.0,10.39,13.2
2009,QUINDIO,SABILA,1.2,36.0,30.0,0.65,0.69
2009,RISARALDA,SABILA,8.0,99.0,12.38,1.79,4.59
2009,SANTANDER,SABILA,50.0,75.0,1.5,1.3599999999999999,28.7
2010,ATLANTICO,SABILA,80.0,4800.0,60.0,81.68,67.68
2010,CUNDINAMARCA,SABILA,0.0,0.0,0.0,0.0,0.0
2010,MAGDALENA,SABILA,30.0,750.0,25.0,12.76,25.38
2010,QUINDIO,SABILA,1.2,33.0,27.5,0.56,1.02
2010,RISARALDA,SABILA,6.0,273.75,45.63,4.66,5.08
2010,VALLE DEL CAUCA,SABILA,1.0,20.0,20.0,0.34,0.85
2011,ATLANTICO,SABILA,15.0,750.0,50.0,49.93,15.48
2011,CUNDINAMARCA,SABILA,0.0,0.0,0.0,0.0,0.0
2011,MAGDALENA,SABILA,26.0,650.0,25.0,43.27,26.83
2011,QUINDIO,SABILA,0.9,25.22,28.02,1.6800000000000002,0.93
2011,SANTANDER,SABILA,55.0,77.0,1.4,5.13,56.76
2012,ATLANTICO,SABILA,15.0,600.0,40.0,25.2,13.25
2012,CUNDINAMARCA,SABILA,63.0,906.0,14.38,38.05,55.65
2012,MAGDALENA,SABILA,33.0,825.0,25.0,34.65,29.15
2012,QUINDIO,SABILA,0.7,20.02,28.6,0.84,0.62
2012,VALLE DEL CAUCA,SABILA,1.5,30.0,20.0,1.26,1.33
2013,ATLANTICO,SABILA,9.3,169.7,18.25,5.1,7.78
2013,CASANARE,SABILA,0.0,0.0,0.0,0.0,0.0
2013,CUNDINAMARCA,SABILA,63.0,2070.0,32.86,62.17,52.71
2013,MAGDALENA,SABILA,33.0,825.0,25.0,24.78,27.61
2013,QUINDIO,SABILA,3.62,53.12,14.68,1.6,3.03
2013,RISARALDA,SABILA,0.0,0.0,0.0,0.0,0.0
2013,VALLE DEL CAUCA,SABILA,10.6,212.0,20.0,6.37,8.87
2014,ARAUCA,SABILA,4.0,48.0,12.0,0.61,0.99
2014,ATLANTICO,SABILA,7.3,65.7,9.0,0.83,1.8
2014,BOYACA,SABILA,1.2,3.6,3.0,0.05,0.3
2014,CALDAS,SABILA,0.0,0.0,0.0,0.0,0.0
2014,CASANARE,SABILA,1.0,15.0,15.0,0.19,0.25
2014,CAUCA,SABILA,0.0,0.0,0.0,0.0,0.0
2014,CUNDINAMARCA,SABILA,68.0,2154.8,31.69,27.21,16.79
