Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,AMAZONAS,SACHA INCHI,1.0,0.6,0.6,100.0,100.0
2008,AMAZONAS,SACHA INCHI,1.0,0.6,0.6,100.0,100.0
2009,AMAZONAS,SACHA INCHI,1.0,0.6,0.6,2.91,4.76
2009,PUTUMAYO,SACHA INCHI,20.0,20.0,1.0,97.09,95.24
2010,PUTUMAYO,SACHA INCHI,6.0,46.0,7.67,100.0,100.0
2011,PUTUMAYO,SACHA INCHI,10.0,50.0,5.0,100.0,100.0
2012,PUTUMAYO,SACHA INCHI,10.0,8.0,0.8,100.0,100.0
2013,CHOCO,SACHA INCHI,1.0,0.5,0.5,2.7800000000000002,2.94
2013,PUTUMAYO,SACHA INCHI,33.0,17.5,0.53,97.22,97.06
2014,AMAZONAS,SACHA INCHI,2.0,4.0,2.0,3.31,2.73
2014,CAUCA,SACHA INCHI,5.0,17.5,3.5,14.46,6.83
2014,PUTUMAYO,SACHA INCHI,61.0,89.1,1.46,73.64,83.33
2014,VALLE DEL CAUCA,SACHA INCHI,5.2,10.4,2.0,8.6,7.1
2015,AMAZONAS,SACHA INCHI,20.0,10.0,0.5,6.65,18.07
2015,PUTUMAYO,SACHA INCHI,62.0,89.66,1.45,59.65,56.01
2015,QUINDIO,SACHA INCHI,1.0,4.8,4.8,3.19,0.9
2015,VALLE DEL CAUCA,SACHA INCHI,25.7,42.65,1.6600000000000001,28.37,23.22
2015,VICHADA,SACHA INCHI,2.0,3.2,1.6,2.13,1.81
2016,AMAZONAS,SACHA INCHI,30.0,30.0,1.0,9.08,13.19
2016,ANTIOQUIA,SACHA INCHI,29.0,54.7,1.8900000000000001,16.55,12.75
2016,CAQUETA,SACHA INCHI,20.0,8.0,0.4,2.42,8.79
2016,CASANARE,SACHA INCHI,0.0,0.0,0.0,0.0,0.0
2016,CAUCA,SACHA INCHI,4.0,4.5,1.13,1.3599999999999999,1.76
2016,META,SACHA INCHI,0.0,0.0,0.0,0.0,0.0
2016,PUTUMAYO,SACHA INCHI,92.0,137.0,1.49,41.46,40.44
2016,VALLE DEL CAUCA,SACHA INCHI,43.5,79.75,1.83,24.13,19.12
2016,VICHADA,SACHA INCHI,9.0,16.5,1.83,4.99,3.96
2017,AMAZONAS,SACHA INCHI,60.0,30.0,0.5,1.8,9.26
2017,ANTIOQUIA,SACHA INCHI,110.0,250.1,2.27,14.97,16.98
2017,BOYACA,SACHA INCHI,15.0,52.5,3.5,3.14,2.32
2017,CAQUETA,SACHA INCHI,100.0,600.0,6.0,35.92,15.44
2017,CASANARE,SACHA INCHI,0.0,0.0,0.0,0.0,0.0
2017,CAUCA,SACHA INCHI,32.0,55.5,1.73,3.32,4.9399999999999995
2017,META,SACHA INCHI,0.0,0.0,0.0,0.0,0.0
2017,PUTUMAYO,SACHA INCHI,167.0,303.3,1.8199999999999998,18.16,25.78
2017,VALLE DEL CAUCA,SACHA INCHI,153.2,364.15,2.38,21.8,23.65
