Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ARAUCA,SORGO,0.0,0.0,0.0,0.0,0.0
2006,ATLANTICO,SORGO,0.0,0.0,0.0,0.0,0.0
2006,BOLIVAR,SORGO,0.0,0.0,0.0,0.0,0.0
2006,CASANARE,SORGO,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,SORGO,0.0,0.0,0.0,0.0,0.0
2006,CESAR,SORGO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,SORGO,0.0,0.0,0.0,0.0,0.0
2006,HUILA,SORGO,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,SORGO,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,SORGO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,SORGO,0.0,0.0,0.0,0.0,0.0
2006,SUCRE,SORGO,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,SORGO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,SORGO,0.0,0.0,0.0,0.0,0.0
2007,ARAUCA,SORGO,411.0,1021.0,2.48,0.8,0.99
2007,ATLANTICO,SORGO,3090.0,3264.9,1.06,2.55,7.42
2007,BOLIVAR,SORGO,4190.0,8420.0,2.01,6.58,10.06
2007,CASANARE,SORGO,60.0,227.0,3.7800000000000002,0.18,0.14
2007,CAUCA,SORGO,65.5,249.5,3.81,0.2,0.16
2007,CESAR,SORGO,1120.0,3535.0,3.16,2.76,2.69
2007,CUNDINAMARCA,SORGO,3280.0,7430.5,2.27,5.8100000000000005,7.87
2007,HUILA,SORGO,2682.0,10194.5,3.8,7.97,6.44
2007,LA GUAJIRA,SORGO,3606.0,5966.0,1.65,4.66,8.66
2007,MAGDALENA,SORGO,100.0,300.0,3.0,0.23,0.24
2007,SANTANDER,SORGO,434.0,973.0,2.24,0.76,1.04
2007,SUCRE,SORGO,1125.0,2648.0,2.35,2.07,2.7
2007,TOLIMA,SORGO,16053.3,58789.34,3.66,45.96,38.54
2007,VALLE DEL CAUCA,SORGO,5440.0,24901.3,4.58,19.47,13.06
2008,ATLANTICO,SORGO,2044.52,2587.85,1.27,4.36,10.01
2008,BOLIVAR,SORGO,1690.0,3805.0,2.25,6.4,8.28
2008,CASANARE,SORGO,79.0,354.0,4.48,0.6,0.39
2008,CAUCA,SORGO,159.0,612.5,3.85,1.03,0.78
2008,CESAR,SORGO,600.0,1802.0,3.0,3.03,2.94
2008,CORDOBA,SORGO,9.0,40.0,4.44,0.07,0.04
2008,CUNDINAMARCA,SORGO,3764.0,9319.0,2.48,15.68,18.43
2008,HUILA,SORGO,2249.0,8671.4,3.86,14.59,11.01
2008,LA GUAJIRA,SORGO,1677.0,2689.5,1.6,4.53,8.21
2008,SANTANDER,SORGO,250.0,341.0,1.3599999999999999,0.57,1.22
2008,TOLIMA,SORGO,4328.0,12626.88,2.92,21.25,21.2
