Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,CALDAS,SOYA,0.0,0.0,0.0,0.0,0.0
2006,CASANARE,SOYA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,SOYA,0.0,0.0,0.0,0.0,0.0
2006,META,SOYA,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,SOYA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,SOYA,0.0,0.0,0.0,0.0,0.0
2007,ATLANTICO,SOYA,0.0,0.0,0.0,0.0,0.0
2007,CALDAS,SOYA,18.0,39.0,2.17,0.07,0.06
2007,CASANARE,SOYA,480.0,720.0,1.5,1.29,1.65
2007,CAUCA,SOYA,35.9,103.25,2.88,0.19,0.12
2007,META,SOYA,23049.0,42005.0,1.8199999999999998,75.49,79.39
2007,QUINDIO,SOYA,19.6,49.0,2.5,0.09,0.07
2007,VALLE DEL CAUCA,SOYA,5431.7,12725.53,2.34,22.87,18.71
2008,ATLANTICO,SOYA,49.75,119.5,2.4,0.21,0.19
2008,CALDAS,SOYA,19.0,46.0,2.42,0.08,0.07
2008,CASANARE,SOYA,480.0,920.0,1.92,1.65,1.8199999999999998
2008,CAUCA,SOYA,79.1,214.45,2.71,0.39,0.3
2008,META,SOYA,20707.25,42345.0,2.04,76.17,78.68
2008,QUINDIO,SOYA,0.6,1.2,2.0,0.0,0.0
2008,VALLE DEL CAUCA,SOYA,4983.0,11943.7,2.4,21.49,18.93
2009,ATLANTICO,SOYA,45.0,126.0,2.8,0.2,0.14
2009,CALDAS,SOYA,19.0,76.0,4.0,0.12,0.06
2009,CASANARE,SOYA,480.0,920.0,1.92,1.44,1.52
2009,CAUCA,SOYA,38.0,98.5,2.59,0.15,0.12
2009,META,SOYA,26771.0,53078.2,1.98,83.2,84.79
2009,QUINDIO,SOYA,10.0,20.0,2.0,0.03,0.03
2009,VALLE DEL CAUCA,SOYA,4212.02,9475.55,2.25,14.85,13.34
2010,ATLANTICO,SOYA,27.75,50.1,1.81,0.09,0.1
2010,CALDAS,SOYA,134.0,444.0,3.31,0.76,0.49
2010,CASANARE,SOYA,47.0,94.0,2.0,0.16,0.17
2010,CAUCA,SOYA,74.0,222.0,3.0,0.38,0.27
2010,CUNDINAMARCA,SOYA,90.0,252.0,2.8,0.43,0.33
2010,META,SOYA,23362.0,49649.4,2.13,85.09,86.03
2010,QUINDIO,SOYA,10.0,20.0,2.0,0.03,0.04
2010,VALLE DEL CAUCA,SOYA,3410.91,7616.5,2.23,13.05,12.56
2011,CALDAS,SOYA,195.0,624.0,3.2,1.41,0.93
2011,CASANARE,SOYA,458.0,824.4,1.8,1.87,2.17
2011,CAUCA,SOYA,8.5,26.6,3.13,0.06,0.04
2011,CUNDINAMARCA,SOYA,40.0,80.0,2.0,0.18,0.19
2011,HUILA,SOYA,0.0,0.0,0.0,0.0,0.0
2011,META,SOYA,16384.0,32851.0,2.01,74.35,77.73
2011,VALLE DEL CAUCA,SOYA,3992.0,9779.75,2.45,22.13,18.94
2011,VICHADA,SOYA,0.0,0.0,0.0,0.0,0.0
2012,CALDAS,SOYA,45.0,144.0,3.2,0.14,0.09
2012,CASANARE,SOYA,430.0,774.0,1.8,0.74,0.88
2012,CAUCA,SOYA,5.0,15.0,3.0,0.01,0.01
2012,CUNDINAMARCA,SOYA,300.0,600.0,2.0,0.57,0.62
2012,HUILA,SOYA,21.0,52.5,2.5,0.05,0.04
2012,META,SOYA,40403.95,86768.28,2.15,83.03,83.03
2012,VALLE DEL CAUCA,SOYA,1958.31,3411.98,1.74,3.26,4.02
2012,VICHADA,SOYA,5500.0,12740.0,2.32,12.19,11.3
2013,CASANARE,SOYA,400.0,800.0,2.0,0.93,1.27
2013,CAUCA,SOYA,9.0,17.3,1.92,0.02,0.03
2013,HUILA,SOYA,8.5,21.8,2.56,0.03,0.03
2013,META,SOYA,19710.0,53484.6,2.71,62.23,62.5
2013,RISARALDA,SOYA,63.8,140.36,2.2,0.16,0.2
2013,VALLE DEL CAUCA,SOYA,3556.59,10261.19,2.89,11.94,11.28
2013,VICHADA,SOYA,7790.0,21217.0,2.7199999999999998,24.69,24.7
2014,CASANARE,SOYA,800.0,1540.0,1.9300000000000002,1.71,2.23
2014,CAUCA,SOYA,0.0,0.0,0.0,0.0,0.0
2014,HUILA,SOYA,0.0,0.0,0.0,0.0,0.0
2014,META,SOYA,22778.57,56335.25,2.4699999999999998,62.51,63.43
2014,RISARALDA,SOYA,8.0,17.6,2.2,0.02,0.02
2014,VALLE DEL CAUCA,SOYA,2626.53,7102.29,2.7,7.88,7.31
2014,VICHADA,SOYA,9701.0,25131.0,2.59,27.88,27.01
2015,CASANARE,SOYA,0.0,0.0,0.0,0.0,0.0
2015,CAUCA,SOYA,4.0,8.0,2.0,0.01,0.01
2015,HUILA,SOYA,2.0,5.0,2.5,0.0,0.01
2015,META,SOYA,22528.0,58213.6,2.58,56.76,58.72
2015,QUINDIO,SOYA,1.0,2.2,2.2,0.0,0.0
2015,RISARALDA,SOYA,2.2,1.0,0.45,0.0,0.01
2015,VALLE DEL CAUCA,SOYA,4556.8,11441.28,2.51,11.16,11.88
2015,VICHADA,SOYA,11268.0,32884.4,2.92,32.06,29.37
2016,CASANARE,SOYA,200.0,400.0,2.0,0.38,0.49
2016,CAUCA,SOYA,2.0,4.0,2.0,0.0,0.0
2016,META,SOYA,21630.0,54895.0,2.54,51.8,52.86
2016,QUINDIO,SOYA,1.0,3.0,3.0,0.0,0.0
2016,RISARALDA,SOYA,44.5,111.25,2.5,0.1,0.11
2016,TOLIMA,SOYA,45.0,67.5,1.5,0.06,0.11
2016,VALLE DEL CAUCA,SOYA,2897.1,7502.45,2.59,7.08,7.08
2016,VICHADA,SOYA,16100.0,42990.0,2.67,40.57,39.35
2017,CASANARE,SOYA,120.0,240.0,2.0,0.15,0.21
2017,META,SOYA,50811.0,145577.5,2.87,88.18,87.44
2017,RISARALDA,SOYA,53.5,131.05,2.45,0.08,0.09
2017,VALLE DEL CAUCA,SOYA,1524.0,4498.7,2.95,2.73,2.62
2017,VICHADA,SOYA,5600.0,14640.0,2.61,8.87,9.64
2018,META,SOYA,37339.77,112039.64,3.0,98.62,98.7
2018,RISARALDA,SOYA,20.0,44.0,2.2,0.04,0.05
2018,VALLE DEL CAUCA,SOYA,473.31,1524.28,3.22,1.34,1.25
2019,CASANARE,SOYA,150.0,300.0,2.0,0.15,0.23
2019,CAUCA,SOYA,3.0,5.4,1.8,0.0,0.0
2019,CORDOBA,SOYA,300.0,750.0,2.5,0.39,0.45
2019,META,SOYA,64982.3,191358.34,2.94,98.37,98.24
2019,RISARALDA,SOYA,50.0,110.0,2.2,0.06,0.08
2019,VALLE DEL CAUCA,SOYA,663.74,2002.32,3.02,1.03,1.0
2020,CASANARE,SOYA,150.0,300.0,2.0,0.16,0.23
2020,CAUCA,SOYA,6.0,11.4,1.9,0.01,0.01
2020,CORDOBA,SOYA,300.0,750.0,2.5,0.41,0.45
2020,META,SOYA,64769.0,178502.2,2.76,97.91,98.02
2020,RISARALDA,SOYA,94.09,207.0,2.2,0.11,0.14
2020,TOLIMA,SOYA,55.0,165.0,3.0,0.09,0.08
2020,VALLE DEL CAUCA,SOYA,700.26,2381.77,3.4,1.31,1.06
2021,CASANARE,SOYA,1244.0,2488.0,2.0,0.69,0.86
2021,CAUCA,SOYA,6.0,12.0,2.0,0.0,0.0
2021,CORDOBA,SOYA,600.0,1200.0,2.0,0.33,0.42
2021,META,SOYA,138782.0,346440.4,2.5,96.07,96.42
2021,QUINDIO,SOYA,162.0,453.6,2.8,0.13,0.11
2021,RISARALDA,SOYA,333.3,733.26,2.2,0.2,0.23
2021,TOLIMA,SOYA,204.0,624.0,3.06,0.17,0.14
2021,VALLE DEL CAUCA,SOYA,2600.94,8657.58,3.33,2.4,1.81
2022,CASANARE,SOYA,622.0,1244.0,2.0,0.72,0.88
2022,CORDOBA,SOYA,300.0,600.0,2.0,0.35,0.43
2022,META,SOYA,68307.0,168179.0,2.46,96.79,96.85
2022,RISARALDA,SOYA,166.0,365.2,2.2,0.21,0.24
2022,TOLIMA,SOYA,64.8,204.0,3.15,0.12,0.09
2022,VALLE DEL CAUCA,SOYA,1070.33,3168.12,2.96,1.8199999999999998,1.52
2023,CASANARE,SOYA,500.0,1000.0,2.0,0.5,0.58
2023,CAUCA,SOYA,5.0,12.5,2.5,0.01,0.01
2023,CORDOBA,SOYA,0.0,0.0,0.0,0.0,0.0
2023,META,SOYA,84500.0,192009.25,2.27,96.82,97.38
2023,RISARALDA,SOYA,197.0,433.4,2.2,0.22,0.23
2023,TOLIMA,SOYA,155.0,492.5,3.18,0.25,0.18
2023,VALLE DEL CAUCA,SOYA,1414.48,4361.92,3.08,2.2,1.63
