Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOLIVAR,TABACO NEGRO,830.0,1606.0,1.9300000000000002,15.32,14.18
2007,BOYACA,TABACO NEGRO,372.0,537.5,1.44,5.13,6.35
2007,MAGDALENA,TABACO NEGRO,218.0,373.0,1.71,3.56,3.7199999999999998
2007,SANTANDER,TABACO NEGRO,3588.0,6368.0,1.77,60.75,61.29
2007,SUCRE,TABACO NEGRO,846.0,1597.5,1.8900000000000001,15.24,14.45
2008,BOLIVAR,TABACO NEGRO,267.0,605.6,2.27,9.09,7.28
2008,BOYACA,TABACO NEGRO,554.0,862.5,1.56,12.95,15.1
2008,MAGDALENA,TABACO NEGRO,148.0,240.0,1.62,3.6,4.03
2008,SANTANDER,TABACO NEGRO,2195.0,3880.6,1.77,58.28,59.84
2008,SUCRE,TABACO NEGRO,504.0,1070.0,2.12,16.07,13.74
2009,BOLIVAR,TABACO NEGRO,368.0,672.0,1.83,10.75,10.65
2009,BOYACA,TABACO NEGRO,418.0,612.0,1.46,9.79,12.09
2009,HUILA,TABACO NEGRO,20.2,44.44,2.2,0.71,0.58
2009,MAGDALENA,TABACO NEGRO,45.0,73.5,1.63,1.18,1.3
2009,SANTANDER,TABACO NEGRO,2127.5,3879.0,1.8199999999999998,62.02,61.55
2009,SUCRE,TABACO NEGRO,478.0,973.1,2.04,15.56,13.83
2010,BOLIVAR,TABACO NEGRO,615.0,875.0,1.42,11.91,14.35
2010,BOYACA,TABACO NEGRO,490.0,724.0,1.48,9.86,11.44
2010,CALDAS,TABACO NEGRO,41.7,77.98,1.87,1.06,0.97
2010,SANTANDER,TABACO NEGRO,2231.0,3943.98,1.77,53.7,52.07
2010,SUCRE,TABACO NEGRO,807.1,1503.93,1.8599999999999999,20.48,18.84
2010,TOLIMA,TABACO NEGRO,100.0,220.0,2.2,3.0,2.33
2011,BOLIVAR,TABACO NEGRO,717.0,1078.0,1.5,16.19,17.46
2011,BOYACA,TABACO NEGRO,497.83,722.45,1.45,10.85,12.12
2011,SANTANDER,TABACO NEGRO,2233.0,3926.8,1.76,58.96,54.38
2011,SUCRE,TABACO NEGRO,658.5,933.0,1.42,14.01,16.04
2012,BOLIVAR,TABACO NEGRO,1163.0,2255.0,1.94,26.72,25.39
2012,BOYACA,TABACO NEGRO,419.0,623.2,1.49,7.38,9.15
2012,SANTANDER,TABACO NEGRO,2163.0,4286.1,1.98,50.78,47.21
2012,SUCRE,TABACO NEGRO,751.25,1020.7,1.3599999999999999,12.09,16.4
2012,TOLIMA,TABACO NEGRO,85.0,255.0,3.0,3.02,1.8599999999999999
2013,BOLIVAR,TABACO NEGRO,1344.0,2654.1,1.97,30.68,29.6
2013,BOYACA,TABACO NEGRO,465.0,545.0,1.17,6.3,10.24
2013,CALDAS,TABACO NEGRO,85.0,122.0,1.44,1.41,1.87
2013,SANTANDER,TABACO NEGRO,1601.0,2926.9,1.83,33.83,35.26
2013,SUCRE,TABACO NEGRO,965.0,2163.65,2.24,25.01,21.26
2013,TOLIMA,TABACO NEGRO,80.0,240.0,3.0,2.77,1.76
2014,BOLIVAR,TABACO NEGRO,1347.0,2652.6,1.97,30.32,27.8
2014,BOYACA,TABACO NEGRO,330.0,388.0,1.18,4.44,6.8100000000000005
2014,CALDAS,TABACO NEGRO,82.0,133.4,1.63,1.52,1.69
2014,SANTANDER,TABACO NEGRO,2249.5,3643.06,1.62,41.64,46.43
2014,SUCRE,TABACO NEGRO,732.5,1619.45,2.21,18.51,15.12
2014,TOLIMA,TABACO NEGRO,104.0,312.0,3.0,3.57,2.15
2015,BOLIVAR,TABACO NEGRO,1139.0,2235.5,1.96,31.24,28.57
2015,BOYACA,TABACO NEGRO,270.0,252.0,0.93,3.52,6.77
2015,CALDAS,TABACO NEGRO,90.0,126.0,1.4,1.76,2.26
2015,SANTANDER,TABACO NEGRO,1724.0,2865.85,1.6600000000000001,40.04,43.24
2015,SUCRE,TABACO NEGRO,723.75,1577.5,2.18,22.04,18.15
2015,TOLIMA,TABACO NEGRO,40.0,100.0,2.5,1.4,1.0
2016,BOLIVAR,TABACO NEGRO,311.0,583.7,1.88,17.9,16.85
2016,BOYACA,TABACO NEGRO,170.0,205.0,1.21,6.29,9.21
2016,CAUCA,TABACO NEGRO,10.0,8.0,0.8,0.25,0.54
2016,SANTANDER,TABACO NEGRO,965.0,1492.7,1.55,45.78,52.3
2016,SUCRE,TABACO NEGRO,389.2,971.4,2.5,29.79,21.09
2017,BOLIVAR,TABACO NEGRO,272.0,499.2,1.8399999999999999,15.02,15.16
2017,BOYACA,TABACO NEGRO,175.0,187.0,1.07,5.63,9.75
2017,CAUCA,TABACO NEGRO,7.0,5.6,0.8,0.17,0.39
2017,SANTANDER,TABACO NEGRO,808.5,1257.3,1.56,37.82,45.05
2017,SUCRE,TABACO NEGRO,532.05,1375.11,2.58,41.37,29.65
2018,BOLIVAR,TABACO NEGRO,349.0,614.7,1.76,13.99,15.6
2018,BOYACA,TABACO NEGRO,198.0,216.24,1.09,4.92,8.85
2018,CAUCA,TABACO NEGRO,3.0,2.4,0.8,0.05,0.13
2018,SANTANDER,TABACO NEGRO,883.0,1414.14,1.6,32.19,39.47
2018,SUCRE,TABACO NEGRO,804.0,2146.0,2.67,48.84,35.94
