Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,CESAR,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,HUILA,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,TABACO RUBIO,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,TABACO RUBIO,583.0,907.9,1.56,5.31,6.43
2007,CALDAS,TABACO RUBIO,143.0,250.8,1.75,1.47,1.58
2007,CAUCA,TABACO RUBIO,6.02,13.0,2.16,0.08,0.07
2007,CESAR,TABACO RUBIO,90.0,171.0,1.9,1.0,0.99
2007,HUILA,TABACO RUBIO,2209.2,5326.93,2.41,31.14,24.35
2007,LA GUAJIRA,TABACO RUBIO,108.0,162.0,1.5,0.95,1.19
2007,NARIÑO,TABACO RUBIO,10.0,18.0,1.8,0.11,0.11
2007,NORTE DE SANTANDER,TABACO RUBIO,1339.0,2410.0,1.8,14.09,14.76
2007,QUINDIO,TABACO RUBIO,57.1,120.2,2.11,0.7,0.63
2007,SANTANDER,TABACO RUBIO,4318.0,7309.0,1.69,42.73,47.59
2007,TOLIMA,TABACO RUBIO,100.0,150.0,1.5,0.88,1.1
2007,VALLE DEL CAUCA,TABACO RUBIO,109.5,266.2,2.43,1.56,1.21
2008,BOYACA,TABACO RUBIO,639.0,1018.32,1.5899999999999999,7.03,8.05
2008,CALDAS,TABACO RUBIO,45.2,53.2,1.18,0.37,0.57
2008,CAUCA,TABACO RUBIO,8.0,10.0,1.25,0.07,0.1
2008,CESAR,TABACO RUBIO,85.0,170.0,2.0,1.17,1.07
2008,HUILA,TABACO RUBIO,1921.4,4506.11,2.35,31.11,24.19
2008,NORTE DE SANTANDER,TABACO RUBIO,550.0,990.0,1.8,6.83,6.93
2008,QUINDIO,TABACO RUBIO,23.4,54.85,2.34,0.38,0.29
2008,SANTANDER,TABACO RUBIO,4476.0,7300.8,1.63,50.4,56.36
2008,TOLIMA,TABACO RUBIO,110.0,165.0,1.5,1.1400000000000001,1.3900000000000001
2008,VALLE DEL CAUCA,TABACO RUBIO,84.0,216.3,2.58,1.49,1.06
2009,BOYACA,TABACO RUBIO,702.0,1164.99,1.6600000000000001,11.65,13.39
2009,CALDAS,TABACO RUBIO,72.3,97.2,1.34,0.97,1.38
2009,CAUCA,TABACO RUBIO,21.0,29.0,1.38,0.29,0.4
2009,CESAR,TABACO RUBIO,40.0,80.0,2.0,0.8,0.76
2009,HUILA,TABACO RUBIO,1525.1,3445.7,2.26,34.45,29.1
2009,NORTE DE SANTANDER,TABACO RUBIO,415.0,740.0,1.78,7.4,7.92
2009,QUINDIO,TABACO RUBIO,40.5,80.0,1.98,0.8,0.77
2009,SANTANDER,TABACO RUBIO,2275.0,4026.1,1.77,40.25,43.41
2009,SUCRE,TABACO RUBIO,25.0,50.0,2.0,0.5,0.48
2009,TOLIMA,TABACO RUBIO,15.0,13.5,0.9,0.13,0.29
2009,VALLE DEL CAUCA,TABACO RUBIO,110.3,276.82,2.51,2.77,2.1
2010,BOLIVAR,TABACO RUBIO,66.1,74.5,1.13,0.66,1.06
2010,BOYACA,TABACO RUBIO,742.0,1269.93,1.71,11.24,11.91
2010,CALDAS,TABACO RUBIO,36.0,44.6,1.24,0.39,0.58
