Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2013,NORTE DE SANTANDER,TANGELO,3.0,30.0,10.0,100.0,100.0
2014,NORTE DE SANTANDER,TANGELO,5.0,50.0,10.0,100.0,100.0
2015,NORTE DE SANTANDER,TANGELO,5.0,50.0,10.0,100.0,100.0
2016,NORTE DE SANTANDER,TANGELO,20.6,279.0,13.54,100.0,100.0
2017,NORTE DE SANTANDER,TANGELO,26.6,497.0,18.68,100.0,100.0
2018,NORTE DE SANTANDER,TANGELO,27.6,506.0,18.33,100.0,100.0
2021,ANTIOQUIA,TANGELO,306.15,4451.06,14.54,33.19,32.25
2021,ARAUCA,TANGELO,60.0,720.0,12.0,5.37,6.32
2021,CAUCA,TANGELO,210.81,4151.6,19.69,30.96,22.21
2021,CESAR,TANGELO,34.0,452.0,13.29,3.37,3.58
2021,CUNDINAMARCA,TANGELO,128.57,1131.08,8.8,8.43,13.55
2021,HUILA,TANGELO,30.0,300.0,10.0,2.24,3.16
2021,NORTE DE SANTANDER,TANGELO,52.0,796.0,15.31,5.9399999999999995,5.48
2021,SANTANDER,TANGELO,102.65,1029.63,10.03,7.68,10.81
2021,TOLIMA,TANGELO,24.99,378.51,15.15,2.82,2.63
2022,ANTIOQUIA,TANGELO,153.08,2171.48,14.19,30.78,31.19
2022,ARAUCA,TANGELO,30.0,360.0,12.0,5.1,6.11
2022,CASANARE,TANGELO,0.0,0.0,0.0,0.0,0.0
2022,CAUCA,TANGELO,98.4,1655.94,16.83,23.47,20.05
2022,CESAR,TANGELO,17.0,220.0,12.94,3.12,3.46
2022,CUNDINAMARCA,TANGELO,42.25,307.79,7.28,4.36,8.61
2022,HUILA,TANGELO,15.0,150.0,10.0,2.13,3.06
2022,NORTE DE SANTANDER,TANGELO,26.0,398.0,15.31,5.64,5.3
2022,SANTANDER,TANGELO,50.62,552.07,10.91,7.83,10.31
2022,TOLIMA,TANGELO,58.5,1239.38,21.19,17.57,11.92
2023,ANTIOQUIA,TANGELO,192.08,3041.2,15.83,37.33,35.09
2023,ARAUCA,TANGELO,30.0,360.0,12.0,4.42,5.48
2023,CASANARE,TANGELO,0.5,4.5,9.0,0.06,0.09
2023,CAUCA,TANGELO,96.4,1647.94,17.09,20.23,17.61
2023,CESAR,TANGELO,17.0,264.5,15.56,3.25,3.11
2023,CUNDINAMARCA,TANGELO,52.38,426.13,8.14,5.23,9.57
2023,HUILA,TANGELO,15.0,135.0,9.0,1.6600000000000001,2.74
2023,NORTE DE SANTANDER,TANGELO,25.5,388.0,15.22,4.76,4.66
2023,SANTANDER,TANGELO,59.62,656.45,11.01,8.06,10.89
2023,TOLIMA,TANGELO,58.97,1223.16,20.74,15.01,10.77
