Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,TANGELO MINEOLA,62.7,1413.5,22.54,100.0,100.0
2008,ANTIOQUIA,TANGELO MINEOLA,64.4,1078.1,16.74,100.0,100.0
2009,ANTIOQUIA,TANGELO MINEOLA,86.4,1296.0,15.0,100.0,100.0
2010,ANTIOQUIA,TANGELO MINEOLA,70.5,430.0,6.1,74.14,82.46
2010,CAUCA,TANGELO MINEOLA,15.0,150.0,10.0,25.86,17.54
2011,ANTIOQUIA,TANGELO MINEOLA,55.8,418.68,7.5,73.62,78.81
2011,CASANARE,TANGELO MINEOLA,0.0,0.0,0.0,0.0,0.0
2011,CAUCA,TANGELO MINEOLA,15.0,150.0,10.0,26.38,21.19
2012,ANTIOQUIA,TANGELO MINEOLA,66.8,473.7,7.09,27.64,38.66
2012,CASANARE,TANGELO MINEOLA,6.0,240.0,40.0,14.0,3.4699999999999998
2012,CAUCA,TANGELO MINEOLA,100.0,1000.0,10.0,58.35,57.87
2012,SANTANDER,TANGELO MINEOLA,0.0,0.0,0.0,0.0,0.0
2013,ANTIOQUIA,TANGELO MINEOLA,65.0,438.4,6.74,21.12,33.85
2013,CASANARE,TANGELO MINEOLA,12.0,480.0,40.0,23.12,6.25
2013,CAUCA,TANGELO MINEOLA,100.0,1000.0,10.0,48.17,52.08
2013,SANTANDER,TANGELO MINEOLA,15.0,157.5,10.5,7.59,7.8100000000000005
2014,ANTIOQUIA,TANGELO MINEOLA,65.0,438.4,6.74,19.46,32.02
2014,CASANARE,TANGELO MINEOLA,14.0,560.0,40.0,24.86,6.9
2014,CAUCA,TANGELO MINEOLA,110.0,1100.0,10.0,48.84,54.19
2014,SANTANDER,TANGELO MINEOLA,14.0,154.0,11.0,6.84,6.9
2015,ANTIOQUIA,TANGELO MINEOLA,65.0,438.4,6.74,17.55,30.52
2015,CASANARE,TANGELO MINEOLA,19.0,750.0,39.47,30.03,8.92
2015,CAUCA,TANGELO MINEOLA,110.0,1100.0,10.0,44.05,51.64
2015,SANTANDER,TANGELO MINEOLA,19.0,209.0,11.0,8.37,8.92
2016,ANTIOQUIA,TANGELO MINEOLA,65.0,438.4,6.74,32.27,31.25
2016,CASANARE,TANGELO MINEOLA,13.0,520.0,40.0,38.28,6.25
2016,CAUCA,TANGELO MINEOLA,110.0,220.0,2.0,16.2,52.88
2016,SANTANDER,TANGELO MINEOLA,20.0,180.0,9.0,13.25,9.62
2017,ANTIOQUIA,TANGELO MINEOLA,68.0,498.4,7.33,10.65,25.37
2017,CALDAS,TANGELO MINEOLA,90.0,1980.0,22.0,42.32,33.58
2017,CAUCA,TANGELO MINEOLA,110.0,2200.0,20.0,47.02,41.04
2018,ANTIOQUIA,TANGELO MINEOLA,70.52,518.79,7.36,11.31,26.56
2018,CALDAS,TANGELO MINEOLA,85.0,1870.0,22.0,40.75,32.01
2018,CAUCA,TANGELO MINEOLA,110.0,2200.0,20.0,47.94,41.43
