Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,TANGELO ORLANDO,17.7,419.5,23.7,100,100
2008,ANTIOQUIA,TANGELO ORLANDO,33.2,656.5,19.77,100,100
2009,ANTIOQUIA,TANGELO ORLANDO,23.2,464.0,20.0,100,100
2010,ANTIOQUIA,TANGELO ORLANDO,67.9,420.8,6.2,100,100
2011,ANTIOQUIA,TANGELO ORLANDO,17.9,111.87,6.25,100,100
2012,ANTIOQUIA,TANGELO ORLANDO,67.4,293.1,4.35,100,100
2013,ANTIOQUIA,TANGELO ORLANDO,69.4,303.9,4.38,100,100
2014,ANTIOQUIA,TANGELO ORLANDO,69.4,303.92,4.38,100,100
2015,ANTIOQUIA,TANGELO ORLANDO,69.4,303.92,4.38,100,100
2016,ANTIOQUIA,TANGELO ORLANDO,67.3,293.42,4.36,100,100
2017,ANTIOQUIA,TANGELO ORLANDO,67.3,293.42,4.36,100,100
2018,ANTIOQUIA,TANGELO ORLANDO,69.9,310.81,4.45,100,100
