Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,ATLANTICO,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,CALDAS,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,CESAR,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,CHOCO,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,CORDOBA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,GUAVIARE,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,HUILA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,LA GUAJIRA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,MAGDALENA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,RISARALDA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,TOMATE,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,TOMATE,0.0,0.0,0.0,0.0,0.0
2007,AMAZONAS,TOMATE,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,TOMATE,1117.2,34694.8,31.06,8.75,7.49
2007,ATLANTICO,TOMATE,36.5,303.0,8.3,0.08,0.24
2007,BOYACA,TOMATE,666.44,18255.64,27.39,4.6,4.47
2007,CALDAS,TOMATE,1032.0,41481.0,40.19,10.46,6.92
2007,CAUCA,TOMATE,136.65,2099.8,15.37,0.53,0.92
2007,CESAR,TOMATE,479.0,8834.0,18.44,2.23,3.21
2007,CHOCO,TOMATE,22.0,440.0,20.0,0.11,0.15
2007,CORDOBA,TOMATE,52.5,1143.0,21.77,0.29,0.35
2007,CUNDINAMARCA,TOMATE,2029.22,40480.1,19.95,10.21,13.6
2007,GUAVIARE,TOMATE,4.0,56.0,14.0,0.01,0.03
2007,HUILA,TOMATE,1637.0,32359.0,19.77,8.16,10.97
2007,LA GUAJIRA,TOMATE,239.0,3854.0,16.13,0.97,1.6
2007,MAGDALENA,TOMATE,623.0,10569.0,16.96,2.67,4.17
2007,NARIÑO,TOMATE,262.5,7358.0,28.03,1.8599999999999999,1.76
2007,NORTE DE SANTANDER,TOMATE,1946.0,76878.5,39.51,19.39,13.04
2007,QUINDIO,TOMATE,172.3,3650.05,21.18,0.92,1.15
2007,RISARALDA,TOMATE,295.6,15269.0,51.65,3.85,1.98
2007,SANTANDER,TOMATE,1138.7,36689.2,32.22,9.25,7.63
2007,TOLIMA,TOMATE,1107.8,18764.0,16.94,4.73,7.42
2007,VALLE DEL CAUCA,TOMATE,1926.3,43359.0,22.51,10.93,12.91
2007,VICHADA,TOMATE,0.0,0.0,0.0,0.0,0.0
2008,AMAZONAS,TOMATE,99.0,249.0,2.52,0.06,0.69
2008,ANTIOQUIA,TOMATE,634.7,19762.1,31.14,5.13,4.41
2008,ATLANTICO,TOMATE,234.0,1399.0,5.98,0.36,1.63
2008,BOYACA,TOMATE,557.59,19825.6,35.56,5.15,3.88
2008,CALDAS,TOMATE,941.8,49984.5,53.07,12.98,6.55
