Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,TOMATE DE ARBOL,2007.0,62031.3,30.91,49.39,26.88
2007,BOYACA,TOMATE DE ARBOL,725.3,12354.3,17.03,9.84,9.71
2007,CALDAS,TOMATE DE ARBOL,73.5,963.0,13.1,0.77,0.98
2007,CAUCA,TOMATE DE ARBOL,67.0,556.0,8.3,0.44,0.9
2007,CESAR,TOMATE DE ARBOL,241.0,1566.0,6.5,1.25,3.23
2007,CUNDINAMARCA,TOMATE DE ARBOL,1135.0,16105.2,14.19,12.82,15.2
2007,HUILA,TOMATE DE ARBOL,711.5,5826.7,8.19,4.64,9.53
2007,LA GUAJIRA,TOMATE DE ARBOL,129.0,1003.0,7.78,0.8,1.73
2007,MAGDALENA,TOMATE DE ARBOL,144.0,1299.0,9.02,1.03,1.9300000000000002
2007,META,TOMATE DE ARBOL,2.0,14.0,7.0,0.01,0.03
2007,NARIÑO,TOMATE DE ARBOL,659.2,7925.27,12.02,6.31,8.83
2007,NORTE DE SANTANDER,TOMATE DE ARBOL,222.5,2038.0,9.16,1.62,2.98
2007,PUTUMAYO,TOMATE DE ARBOL,19.0,175.0,9.21,0.14,0.25
2007,QUINDIO,TOMATE DE ARBOL,18.3,203.0,11.09,0.16,0.25
2007,RISARALDA,TOMATE DE ARBOL,58.0,627.0,10.81,0.5,0.78
2007,SANTANDER,TOMATE DE ARBOL,69.0,762.0,11.04,0.61,0.92
2007,TOLIMA,TOMATE DE ARBOL,902.0,9077.0,10.06,7.23,12.08
2007,VALLE DEL CAUCA,TOMATE DE ARBOL,282.6,3068.4,10.86,2.44,3.79
2008,ANTIOQUIA,TOMATE DE ARBOL,1907.6,55393.1,29.04,52.2,29.28
2008,BOYACA,TOMATE DE ARBOL,438.0,5579.3,12.74,5.26,6.72
2008,CALDAS,TOMATE DE ARBOL,22.0,172.0,7.82,0.16,0.34
2008,CAUCA,TOMATE DE ARBOL,88.45,744.8,8.42,0.7,1.3599999999999999
2008,CESAR,TOMATE DE ARBOL,276.0,1846.0,6.6899999999999995,1.74,4.24
2008,CUNDINAMARCA,TOMATE DE ARBOL,1237.61,16775.49,13.55,15.81,19.0
2008,HUILA,TOMATE DE ARBOL,630.95,4772.2,7.5600000000000005,4.5,9.69
2008,LA GUAJIRA,TOMATE DE ARBOL,74.0,482.0,6.51,0.45,1.1400000000000001
2008,MAGDALENA,TOMATE DE ARBOL,193.0,1817.0,9.41,1.71,2.96
2008,META,TOMATE DE ARBOL,2.0,14.0,7.0,0.01,0.03
2008,NARIÑO,TOMATE DE ARBOL,601.24,5735.8,9.54,5.4,9.23
2008,NORTE DE SANTANDER,TOMATE DE ARBOL,141.0,1389.5,9.85,1.31,2.16
2008,PUTUMAYO,TOMATE DE ARBOL,30.0,260.0,8.67,0.24,0.46
2008,QUINDIO,TOMATE DE ARBOL,6.3,64.0,10.16,0.06,0.1
