Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,TOMATE INVERNADERO,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,TOMATE INVERNADERO,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,TOMATE INVERNADERO,0.0,0.0,0.0,0.0,0.0
2006,QUINDIO,TOMATE INVERNADERO,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,TOMATE INVERNADERO,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,TOMATE INVERNADERO,270.22,36028.96,133.33,62.9,47.09
2007,CAUCA,TOMATE INVERNADERO,105.06,8300.4,79.01,14.49,18.31
2007,NARIÑO,TOMATE INVERNADERO,168.85,10055.0,59.55,17.56,29.43
2007,QUINDIO,TOMATE INVERNADERO,29.7,2892.6,97.39,5.05,5.18
2008,ANTIOQUIA,TOMATE INVERNADERO,57.52,6742.2,117.21,7.36,7.07
2008,BOYACA,TOMATE INVERNADERO,427.35,57992.5,135.7,63.32,52.51
2008,CAUCA,TOMATE INVERNADERO,105.4,9303.0,88.26,10.16,12.95
2008,NARIÑO,TOMATE INVERNADERO,180.68,13255.08,73.36,14.47,22.2
2008,QUINDIO,TOMATE INVERNADERO,42.9,4295.0,100.12,4.6899999999999995,5.27
2008,RISARALDA,TOMATE INVERNADERO,0.0,0.0,0.0,0.0,0.0
2009,ANTIOQUIA,TOMATE INVERNADERO,93.0,10906.5,117.27,8.12,8.18
2009,BOYACA,TOMATE INVERNADERO,594.36,83888.78,141.14,62.44,52.3
2009,CALDAS,TOMATE INVERNADERO,5.0,275.0,55.0,0.2,0.44
2009,CAUCA,TOMATE INVERNADERO,95.92,8041.6,83.84,5.99,8.44
2009,CUNDINAMARCA,TOMATE INVERNADERO,5.53,1094.45,197.91,0.81,0.49
2009,NARIÑO,TOMATE INVERNADERO,110.9,13121.0,118.31,9.77,9.76
2009,QUINDIO,TOMATE INVERNADERO,70.5,6948.4,98.56,5.17,6.2
2009,RISARALDA,TOMATE INVERNADERO,153.0,9776.0,63.9,7.28,13.46
2009,VALLE DEL CAUCA,TOMATE INVERNADERO,8.14,304.1,37.36,0.23,0.72
2010,ANTIOQUIA,TOMATE INVERNADERO,178.1,20949.7,117.63,13.97,12.3
2010,BOYACA,TOMATE INVERNADERO,497.99,65909.34,132.35,43.96,34.4
2010,CALDAS,TOMATE INVERNADERO,38.8,2737.0,70.54,1.83,2.68
2010,CAUCA,TOMATE INVERNADERO,91.78,6982.32,76.08,4.66,6.34
2010,CUNDINAMARCA,TOMATE INVERNADERO,228.53,16145.9,70.65,10.77,15.79
2010,NARIÑO,TOMATE INVERNADERO,154.6,18617.5,120.42,12.42,10.68
2010,QUINDIO,TOMATE INVERNADERO,115.8,11547.2,99.72,7.7,8.0
2010,RISARALDA,TOMATE INVERNADERO,121.5,6351.0,52.27,4.24,8.39
2010,SANTANDER,TOMATE INVERNADERO,0.0,0.0,0.0,0.0,0.0
2010,VALLE DEL CAUCA,TOMATE INVERNADERO,20.5,700.3,34.16,0.47,1.42
2011,ANTIOQUIA,TOMATE INVERNADERO,236.79,28638.3,120.94,17.98,15.74
2011,BOYACA,TOMATE INVERNADERO,510.49,62351.8,122.14,39.15,33.93
2011,CALDAS,TOMATE INVERNADERO,57.0,3464.0,60.77,2.18,3.79
