Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,CUNDINAMARCA,TOMILLO,0.0,0.0,0.0,0.0,0.0
2008,ANTIOQUIA,TOMILLO,2.0,36.0,18.0,11.21,4.44
2008,CAUCA,TOMILLO,3.0,5.0,1.67,1.56,6.67
2008,CUNDINAMARCA,TOMILLO,40.0,280.0,7.0,87.23,88.89
2009,ANTIOQUIA,TOMILLO,4.0,72.0,18.0,24.64,11.48
2009,CUNDINAMARCA,TOMILLO,30.85,220.2,7.14,75.36,88.52
2010,ANTIOQUIA,TOMILLO,4.0,80.0,20.0,90.65,37.21
2010,CAUCA,TOMILLO,6.0,6.0,1.0,6.8,55.81
2010,CUNDINAMARCA,TOMILLO,0.75,2.25,3.0,2.55,6.98
2011,ANTIOQUIA,TOMILLO,4.0,80.0,20.0,26.87,9.83
2011,CAUCA,TOMILLO,6.0,6.0,1.0,2.02,14.74
2011,CUNDINAMARCA,TOMILLO,30.71,211.68,6.89,71.11,75.44
2012,CUNDINAMARCA,TOMILLO,31.19,212.63,6.82,100.0,100.0
2013,CUNDINAMARCA,TOMILLO,20.8,122.4,5.88,100.0,100.0
2014,CUNDINAMARCA,TOMILLO,49.3,291.9,5.92,100.0,100.0
2015,CUNDINAMARCA,TOMILLO,49.7,298.2,6.0,100.0,100.0
2016,CUNDINAMARCA,TOMILLO,59.6,357.6,6.0,100.0,100.0
2017,CUNDINAMARCA,TOMILLO,66.0,396.0,6.0,100.0,100.0
2018,CUNDINAMARCA,TOMILLO,76.0,456.0,6.0,100.0,100.0
2019,ANTIOQUIA,TOMILLO,0.5,9.0,18.0,15.25,0.99
2019,CUNDINAMARCA,TOMILLO,50.0,50.0,1.0,84.75,99.01
2020,CUNDINAMARCA,TOMILLO,80.0,200.0,2.5,82.64,94.67
2020,HUILA,TOMILLO,4.5,42.0,9.33,17.36,5.33
2021,CUNDINAMARCA,TOMILLO,160.0,480.0,3.0,96.77,98.77
2021,HUILA,TOMILLO,2.0,16.0,8.0,3.23,1.23
2022,CUNDINAMARCA,TOMILLO,160.0,800.0,5.0,99.01,99.38
2022,HUILA,TOMILLO,1.0,8.0,8.0,0.99,0.62
2023,CUNDINAMARCA,TOMILLO,93.0,465.0,5.0,100.0,100.0
