Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,TRIGO,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,TRIGO,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,TRIGO,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,TRIGO,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,TRIGO,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,TRIGO,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,TRIGO,5222.0,8427.0,1.6099999999999999,19.17,28.46
2007,CAUCA,TRIGO,171.0,235.33,1.38,0.54,0.93
2007,CUNDINAMARCA,TRIGO,253.2,451.5,1.78,1.03,1.38
2007,NARIÑO,TRIGO,12390.0,34438.05,2.7800000000000002,78.36,67.51
2007,NORTE DE SANTANDER,TRIGO,30.5,61.0,2.0,0.14,0.17
2007,SANTANDER,TRIGO,285.0,337.5,1.18,0.77,1.55
2008,BOYACA,TRIGO,4175.73,6794.4,1.63,25.87,29.37
2008,CAUCA,TRIGO,336.25,495.8,1.47,1.8900000000000001,2.36
2008,CUNDINAMARCA,TRIGO,104.0,242.5,2.33,0.92,0.73
2008,NARIÑO,TRIGO,9244.0,18281.79,1.98,69.61,65.01
2008,NORTE DE SANTANDER,TRIGO,30.5,61.0,2.0,0.23,0.21
2008,SANTANDER,TRIGO,328.0,388.4,1.18,1.48,2.31
2009,BOYACA,TRIGO,3771.0,5342.93,1.42,26.59,31.7
2009,CAUCA,TRIGO,377.25,591.88,1.5699999999999998,2.95,3.17
2009,CUNDINAMARCA,TRIGO,75.0,154.5,2.06,0.77,0.63
2009,NARIÑO,TRIGO,7267.0,13464.2,1.85,67.02,61.1
2009,NORTE DE SANTANDER,TRIGO,78.2,149.4,1.9100000000000001,0.74,0.66
2009,SANTANDER,TRIGO,326.0,387.8,1.19,1.9300000000000002,2.74
2010,BOYACA,TRIGO,3412.38,4818.1,1.41,33.2,39.25
2010,CAUCA,TRIGO,148.0,255.66,1.73,1.76,1.7
