Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,UCHUVA,73.5,1190.6,16.2,7.61,8.04
2007,BOYACA,UCHUVA,293.2,3991.0,13.61,25.5,32.09
2007,CAUCA,UCHUVA,32.0,366.8,11.46,2.34,3.5
2007,CUNDINAMARCA,UCHUVA,441.0,9114.0,20.67,58.23,48.27
2007,META,UCHUVA,9.0,35.0,3.89,0.22,0.99
2007,NARIÑO,UCHUVA,35.0,460.0,13.14,2.94,3.83
2007,NORTE DE SANTANDER,UCHUVA,4.0,40.0,10.0,0.26,0.44
2007,TOLIMA,UCHUVA,26.0,455.0,17.5,2.91,2.85
2008,ANTIOQUIA,UCHUVA,182.5,2814.0,15.42,18.6,18.98
2008,BOYACA,UCHUVA,464.7,7134.0,15.35,47.16,48.34
2008,CAUCA,UCHUVA,14.5,163.0,11.24,1.08,1.51
2008,CUNDINAMARCA,UCHUVA,249.39,4415.75,17.71,29.19,25.94
2008,NARIÑO,UCHUVA,42.0,535.0,12.74,3.54,4.37
2008,NORTE DE SANTANDER,UCHUVA,6.5,65.0,10.0,0.43,0.68
2008,SANTANDER,UCHUVA,1.75,1.15,0.66,0.01,0.18
2009,ANTIOQUIA,UCHUVA,183.0,2738.6,14.97,14.17,16.84
2009,BOYACA,UCHUVA,472.0,8414.0,17.83,43.52,43.42
2009,CAUCA,UCHUVA,7.0,74.0,10.57,0.38,0.64
2009,CUNDINAMARCA,UCHUVA,392.5,7888.0,20.1,40.8,36.11
2009,NARIÑO,UCHUVA,25.0,143.0,5.72,0.74,2.3
2009,NORTE DE SANTANDER,UCHUVA,7.5,75.0,10.0,0.39,0.69
2010,ANTIOQUIA,UCHUVA,154.4,2421.3,15.68,20.14,20.73
2010,BOYACA,UCHUVA,422.0,7313.0,17.33,60.82,56.65
2010,CAUCA,UCHUVA,12.0,140.0,11.67,1.16,1.6099999999999999
2010,CUNDINAMARCA,UCHUVA,101.0,1515.0,15.0,12.6,13.56
2010,NARIÑO,UCHUVA,34.0,390.0,11.47,3.24,4.5600000000000005
2010,NORTE DE SANTANDER,UCHUVA,21.5,245.0,11.4,2.04,2.89
2011,ANTIOQUIA,UCHUVA,153.5,2110.02,13.75,19.92,20.65
2011,BOYACA,UCHUVA,388.38,6353.99,16.36,60.0,52.24
2011,CAUCA,UCHUVA,20.5,56.5,2.76,0.53,2.76
2011,CUNDINAMARCA,UCHUVA,74.5,914.5,12.28,8.64,10.02
2011,NARIÑO,UCHUVA,52.85,577.75,10.93,5.46,7.11
2011,NORTE DE SANTANDER,UCHUVA,30.5,350.5,11.49,3.31,4.1
2011,QUINDIO,UCHUVA,0.2,1.8,9.0,0.02,0.03
2011,TOLIMA,UCHUVA,23.0,225.0,9.78,2.12,3.09
2012,ANTIOQUIA,UCHUVA,194.0,2427.6,12.51,21.8,25.6
2012,BOYACA,UCHUVA,295.82,5564.99,18.81,49.98,39.04
2012,CAUCA,UCHUVA,19.5,54.0,2.77,0.49,2.57
2012,CUNDINAMARCA,UCHUVA,129.0,1770.0,13.72,15.9,17.02
2012,NARIÑO,UCHUVA,78.0,922.9,11.83,8.29,10.29
2012,NORTE DE SANTANDER,UCHUVA,30.5,305.0,10.0,2.74,4.02
2012,QUINDIO,UCHUVA,1.0,9.0,9.0,0.08,0.13
2012,TOLIMA,UCHUVA,10.0,80.0,8.0,0.72,1.32
