Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,NARIÑO,ULLUCO,0.0,0.0,0.0,0.0,0.0
2007,CAUCA,ULLUCO,98.5,600.0,6.09,47.06,49.37
2007,NARIÑO,ULLUCO,101.0,675.0,6.68,52.94,50.63
2008,CAUCA,ULLUCO,152.0,871.0,5.73,56.0,59.3
2008,NARIÑO,ULLUCO,104.32,684.32,6.5600000000000005,44.0,40.7
2009,CAUCA,ULLUCO,177.0,967.0,5.46,56.75,63.1
2009,NARIÑO,ULLUCO,103.5,737.1,7.12,43.25,36.9
2010,CAUCA,ULLUCO,158.0,762.0,4.82,41.31,32.05
2010,NARIÑO,ULLUCO,335.0,1082.6,3.23,58.69,67.95
2011,CAUCA,ULLUCO,126.0,282.0,2.24,13.34,17.33
2011,NARIÑO,ULLUCO,601.24,1832.2,3.05,86.66,82.67
2012,CAUCA,ULLUCO,185.0,985.0,5.32,42.66,29.37
2012,NARIÑO,ULLUCO,445.0,1323.9,2.98,57.34,70.63
2013,CAUCA,ULLUCO,259.0,3657.6,14.12,55.66,35.37
2013,NARIÑO,ULLUCO,473.3,2914.2,6.16,44.34,64.63
2014,CAUCA,ULLUCO,293.2,5281.5,18.01,74.48,51.08
2014,NARIÑO,ULLUCO,280.8,1810.1,6.45,25.52,48.92
2015,CAUCA,ULLUCO,239.4,4401.0,18.38,68.96,44.82
2015,NARIÑO,ULLUCO,294.7,1981.08,6.72,31.04,55.18
2016,CAUCA,ULLUCO,271.2,5201.5,19.18,85.66,59.91
2016,NARIÑO,ULLUCO,181.5,870.8,4.8,14.34,40.09
2017,CAUCA,ULLUCO,228.0,4224.0,18.53,87.07,55.88
2017,NARIÑO,ULLUCO,180.0,627.3,3.49,12.93,44.12
2018,CAUCA,ULLUCO,234.0,4324.0,18.48,88.67,56.8
2018,NARIÑO,ULLUCO,178.0,552.74,3.11,11.33,43.2
2019,CAUCA,ULLUCO,194.5,2875.0,14.78,81.9,51.94
2019,NARIÑO,ULLUCO,180.0,635.3,3.5300000000000002,18.1,48.06
2020,CAUCA,ULLUCO,117.0,1822.0,15.57,62.35,34.36
2020,NARIÑO,ULLUCO,223.5,1100.15,4.92,37.65,65.64
2021,CAUCA,ULLUCO,336.0,6058.0,18.03,59.08,39.86
2021,NARIÑO,ULLUCO,507.0,4196.5,8.28,40.92,60.14
2022,CAUCA,ULLUCO,201.0,3220.0,16.02,69.16,46.19
2022,NARIÑO,ULLUCO,234.2,1435.6,6.13,30.84,53.81
2023,CAUCA,ULLUCO,212.0,3408.6,16.08,64.28,44.43
2023,NARIÑO,ULLUCO,265.2,1894.15,7.14,35.72,55.57
