Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,BOYACA,UVA,10.4,47.5,4.57,0.13,0.44
2007,HUILA,UVA,304.5,3034.3,9.96,8.45,12.8
2007,NORTE DE SANTANDER,UVA,9.0,84.8,9.42,0.24,0.38
2007,QUINDIO,UVA,0.5,5.0,10.0,0.01,0.02
2007,SANTANDER,UVA,10.0,150.0,15.0,0.42,0.42
2007,VALLE DEL CAUCA,UVA,2045.0,32582.0,15.93,90.75,85.95
2008,ANTIOQUIA,UVA,0.5,0.5,1.0,0.0,0.02
2008,BOYACA,UVA,10.0,48.3,4.83,0.12,0.39
2008,HUILA,UVA,320.5,3202.4,9.99,8.11,12.45
2008,NORTE DE SANTANDER,UVA,9.0,90.0,10.0,0.23,0.35
2008,QUINDIO,UVA,0.5,4.8,9.6,0.01,0.02
2008,SANTANDER,UVA,8.0,121.6,15.2,0.31,0.31
2008,VALLE DEL CAUCA,UVA,2225.0,36042.5,16.2,91.22,86.46
2009,ANTIOQUIA,UVA,0.5,1.0,2.0,0.0,0.02
2009,BOYACA,UVA,10.0,48.3,4.83,0.13,0.39
2009,HUILA,UVA,299.5,2857.55,9.54,7.5,11.64
2009,NORTE DE SANTANDER,UVA,8.0,92.0,11.5,0.24,0.31
2009,QUINDIO,UVA,0.5,5.0,10.0,0.01,0.02
2009,VALLE DEL CAUCA,UVA,2253.95,35111.45,15.58,92.12,87.62
2010,ANTIOQUIA,UVA,1.0,1.8,1.8,0.0,0.04
2010,BOYACA,UVA,10.9,45.09,4.14,0.12,0.42
2010,HUILA,UVA,329.2,3230.45,9.81,8.64,12.79
2010,NORTE DE SANTANDER,UVA,8.0,102.0,12.75,0.27,0.31
2010,QUINDIO,UVA,0.5,4.8,9.6,0.01,0.02
2010,SANTANDER,UVA,4.0,21.0,5.25,0.06,0.16
2010,VALLE DEL CAUCA,UVA,2219.95,33970.67,15.3,90.89,86.26
2011,ANTIOQUIA,UVA,1.0,1.8,1.8,0.01,0.04
2011,BOYACA,UVA,11.31,46.78,4.14,0.19,0.5
