Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2012,CUNDINAMARCA,YACON,5.8,116.0,20.0,100.0,100.0
2013,CUNDINAMARCA,YACON,20.8,481.0,23.13,54.29,49.76
2013,QUINDIO,YACON,1.0,5.0,5.0,0.56,2.39
2013,TOLIMA,YACON,20.0,400.0,20.0,45.15,47.85
2014,BOYACA,YACON,8.0,440.0,55.0,24.75,10.15
2014,CUNDINAMARCA,YACON,39.8,725.9,18.24,40.83,50.51
2014,QUINDIO,YACON,1.0,12.0,12.0,0.67,1.27
2014,TOLIMA,YACON,30.0,600.0,20.0,33.75,38.07
2015,BOYACA,YACON,6.0,84.0,14.0,6.22,7.79
2015,CUNDINAMARCA,YACON,17.0,246.0,14.47,18.22,22.08
2015,PUTUMAYO,YACON,16.5,330.0,20.0,24.44,21.43
2015,QUINDIO,YACON,7.5,90.0,12.0,6.67,9.74
2015,TOLIMA,YACON,30.0,600.0,20.0,44.44,38.96
2016,CUNDINAMARCA,YACON,2.0,40.0,20.0,100.0,100.0
