Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,AMAZONAS,YUCA,1526.0,4431.0,2.9,0.22,0.81
2007,ANTIOQUIA,YUCA,10087.5,150991.4,14.97,7.52,5.36
2007,ARAUCA,YUCA,8182.0,100388.0,12.27,5.0,4.34
2007,ATLANTICO,YUCA,6779.0,69906.6,10.31,3.48,3.6
2007,BOLIVAR,YUCA,29915.0,295277.0,9.87,14.7,15.88
2007,BOYACA,YUCA,2513.0,20187.73,8.03,1.01,1.33
2007,CALDAS,YUCA,1776.0,18496.0,10.41,0.92,0.94
2007,CAQUETA,YUCA,5836.0,39928.0,6.84,1.99,3.1
2007,CASANARE,YUCA,1756.0,21517.5,12.25,1.07,0.93
2007,CAUCA,YUCA,3164.53,31460.13,9.94,1.5699999999999998,1.6800000000000002
2007,CESAR,YUCA,7890.0,75336.0,9.55,3.75,4.19
2007,CHOCO,YUCA,2341.0,18404.0,7.86,0.92,1.24
2007,CORDOBA,YUCA,16679.0,238193.0,14.28,11.86,8.86
2007,CUNDINAMARCA,YUCA,2890.0,22052.0,7.63,1.1,1.53
2007,GUAINIA,YUCA,1004.0,6458.0,6.43,0.32,0.53
2007,GUAVIARE,YUCA,1527.0,15270.0,10.0,0.76,0.81
2007,HUILA,YUCA,4540.0,31351.5,6.91,1.56,2.41
2007,LA GUAJIRA,YUCA,2900.0,45565.0,15.71,2.27,1.54
2007,MAGDALENA,YUCA,21495.0,163136.0,7.59,8.12,11.41
2007,META,YUCA,5672.0,68064.0,12.0,3.39,3.01
2007,NARIÑO,YUCA,671.0,3607.75,5.38,0.18,0.36
2007,NORTE DE SANTANDER,YUCA,10135.25,150945.5,14.89,7.52,5.38
2007,PUTUMAYO,YUCA,3627.0,36973.0,10.19,1.8399999999999999,1.9300000000000002
2007,QUINDIO,YUCA,940.4,12708.2,13.51,0.63,0.5
2007,RISARALDA,YUCA,223.5,4187.0,18.73,0.21,0.12
2007,SANTANDER,YUCA,11976.0,121930.0,10.18,6.07,6.36
2007,SUCRE,YUCA,19715.0,210615.0,10.68,10.49,10.47
2007,TOLIMA,YUCA,1536.0,17508.0,11.4,0.87,0.82
2007,VALLE DEL CAUCA,YUCA,631.83,9604.39,15.2,0.48,0.34
2007,VAUPES,YUCA,281.0,2748.0,9.78,0.14,0.15
2007,VICHADA,YUCA,127.0,1279.0,10.07,0.06,0.07
2008,AMAZONAS,YUCA,2179.0,8141.0,3.74,0.41,1.19
2008,ANTIOQUIA,YUCA,8622.8,125953.8,14.61,6.4,4.71
