Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2010,SUCRE,YUCA INDUSTRIAL,3724.9,59278.7,15.91,100.0,100.0
2011,SUCRE,YUCA INDUSTRIAL,2210.9,38851.5,17.57,100.0,100.0
2012,SUCRE,YUCA INDUSTRIAL,1224.0,19488.0,15.92,100.0,100.0
2013,SUCRE,YUCA INDUSTRIAL,2758.63,53928.34,19.55,100.0,100.0
2014,CAUCA,YUCA INDUSTRIAL,213.0,3122.2,14.66,5.63,6.85
2014,CORDOBA,YUCA INDUSTRIAL,299.0,5285.0,17.68,9.53,9.61
2014,SUCRE,YUCA INDUSTRIAL,2179.5,39466.5,18.11,71.2,70.05
2014,VICHADA,YUCA INDUSTRIAL,420.0,7560.0,18.0,13.64,13.5
2015,CAUCA,YUCA INDUSTRIAL,330.5,3101.0,9.38,5.26,9.84
2015,CORDOBA,YUCA INDUSTRIAL,385.0,7600.0,19.74,12.9,11.46
2015,SUCRE,YUCA INDUSTRIAL,2224.5,40652.75,18.28,69.0,66.21
2015,VICHADA,YUCA INDUSTRIAL,420.0,7560.0,18.0,12.83,12.5
2016,ANTIOQUIA,YUCA INDUSTRIAL,7.0,105.0,15.0,0.09,0.1
2016,CAUCA,YUCA INDUSTRIAL,536.0,5722.0,10.68,4.79,7.28
2016,CHOCO,YUCA INDUSTRIAL,270.0,6750.0,25.0,5.65,3.67
2016,CORDOBA,YUCA INDUSTRIAL,2362.0,40859.0,17.3,34.23,32.09
2016,GUAINIA,YUCA INDUSTRIAL,985.0,10232.0,10.39,8.57,13.38
2016,SUCRE,YUCA INDUSTRIAL,2731.23,47098.44,17.24,39.46,37.1
2016,VAUPES,YUCA INDUSTRIAL,101.0,3030.0,30.0,2.54,1.37
2016,VICHADA,YUCA INDUSTRIAL,369.0,5569.0,15.09,4.67,5.01
2017,ATLANTICO,YUCA INDUSTRIAL,38.0,660.0,17.37,0.46,0.44
2017,CAUCA,YUCA INDUSTRIAL,3024.0,44795.5,14.81,31.37,34.73
2017,CORDOBA,YUCA INDUSTRIAL,2415.0,38925.0,16.12,27.26,27.73
2017,GUAINIA,YUCA INDUSTRIAL,120.0,1200.0,10.0,0.84,1.38
2017,SUCRE,YUCA INDUSTRIAL,3110.65,57203.2,18.39,40.06,35.72
2018,ATLANTICO,YUCA INDUSTRIAL,154.0,2568.0,16.68,1.45,1.41
2018,CAUCA,YUCA INDUSTRIAL,3470.0,50157.0,14.45,28.4,31.78
2018,CORDOBA,YUCA INDUSTRIAL,3050.05,48568.34,15.92,27.5,27.93
2018,GUAINIA,YUCA INDUSTRIAL,100.0,1000.0,10.0,0.57,0.92
2018,SUCRE,YUCA INDUSTRIAL,4145.0,74295.0,17.92,42.07,37.96
2019,ATLANTICO,YUCA INDUSTRIAL,195.0,3130.0,16.05,1.49,1.62
2019,BOYACA,YUCA INDUSTRIAL,1.0,12.0,12.0,0.01,0.01
2019,CAUCA,YUCA INDUSTRIAL,5196.0,74914.4,14.42,35.58,43.06
2019,CESAR,YUCA INDUSTRIAL,50.0,1250.0,25.0,0.59,0.41
2019,CORDOBA,YUCA INDUSTRIAL,2805.0,52680.0,18.78,25.02,23.24
2019,MAGDALENA,YUCA INDUSTRIAL,15.0,75.0,5.0,0.04,0.12
2019,NARIÑO,YUCA INDUSTRIAL,5.0,15.0,3.0,0.01,0.04
2019,SUCRE,YUCA INDUSTRIAL,3800.5,78489.5,20.65,37.28,31.49
2020,ATLANTICO,YUCA INDUSTRIAL,390.0,5778.0,14.82,2.64,2.96
2020,CAUCA,YUCA INDUSTRIAL,5032.0,71430.0,14.2,32.59,38.25
2020,CORDOBA,YUCA INDUSTRIAL,3398.0,67919.6,19.99,30.99,25.83
2020,SUCRE,YUCA INDUSTRIAL,4334.0,74037.0,17.08,33.78,32.95
2021,ATLANTICO,YUCA INDUSTRIAL,320.0,4746.0,14.83,1.08,1.31
2021,CAUCA,YUCA INDUSTRIAL,7244.0,122556.0,16.92,27.93,29.65
2021,CORDOBA,YUCA INDUSTRIAL,6232.0,131985.2,21.18,30.07,25.51
2021,MAGDALENA,YUCA INDUSTRIAL,18.0,360.0,20.0,0.08,0.07
2021,SUCRE,YUCA INDUSTRIAL,10618.0,179218.8,16.88,40.84,43.46
2022,AMAZONAS,YUCA INDUSTRIAL,490.0,4900.0,10.0,2.02,3.54
2022,ATLANTICO,YUCA INDUSTRIAL,92.5,1365.0,14.76,0.56,0.67
2022,BOLIVAR,YUCA INDUSTRIAL,27.0,486.0,18.0,0.2,0.19
2022,CAQUETA,YUCA INDUSTRIAL,140.0,2100.0,15.0,0.87,1.01
2022,CAUCA,YUCA INDUSTRIAL,3148.0,52562.0,16.7,21.68,22.73
2022,CORDOBA,YUCA INDUSTRIAL,4008.0,80612.0,20.11,33.25,28.95
2022,MAGDALENA,YUCA INDUSTRIAL,10.0,200.0,20.0,0.08,0.07
2022,SUCRE,YUCA INDUSTRIAL,5905.0,99737.0,16.89,41.14,42.65
2022,VALLE DEL CAUCA,YUCA INDUSTRIAL,26.0,468.0,18.0,0.19,0.19
2023,AMAZONAS,YUCA INDUSTRIAL,490.0,4900.0,10.0,2.26,3.8
2023,ANTIOQUIA,YUCA INDUSTRIAL,0.0,0.0,0.0,0.0,0.0
2023,ATLANTICO,YUCA INDUSTRIAL,15.0,225.0,15.0,0.1,0.12
2023,BOLIVAR,YUCA INDUSTRIAL,109.0,1066.0,9.78,0.49,0.85
2023,CAQUETA,YUCA INDUSTRIAL,140.0,2100.0,15.0,0.97,1.09
2023,CAUCA,YUCA INDUSTRIAL,2580.0,42946.0,16.65,19.82,20.0
2023,CORDOBA,YUCA INDUSTRIAL,3143.0,59911.0,19.06,27.65,24.37
2023,SUCRE,YUCA INDUSTRIAL,6376.0,104669.0,16.42,48.31,49.43
2023,VALLE DEL CAUCA,YUCA INDUSTRIAL,46.0,828.0,18.0,0.38,0.36
