Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,ANTIOQUIA,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2006,BOYACA,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2006,CAUCA,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2006,NARIÑO,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2006,TOLIMA,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2006,VALLE DEL CAUCA,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2007,ANTIOQUIA,ZANAHORIA,1657.0,57279.0,34.57,24.22,18.22
2007,BOYACA,ZANAHORIA,1545.5,28101.5,18.18,11.88,17.0
2007,CAUCA,ZANAHORIA,3.4,37.3,10.97,0.02,0.04
2007,CUNDINAMARCA,ZANAHORIA,3865.5,109434.0,28.31,46.27,42.51
2007,NARIÑO,ZANAHORIA,1495.0,32670.0,21.85,13.81,16.44
2007,NORTE DE SANTANDER,ZANAHORIA,175.0,3780.0,21.6,1.6,1.92
2007,SANTANDER,ZANAHORIA,0.0,0.0,0.0,0.0,0.0
2007,TOLIMA,ZANAHORIA,155.0,1622.0,10.46,0.69,1.7
2007,VALLE DEL CAUCA,ZANAHORIA,196.0,3570.0,18.21,1.51,2.16
2008,ANTIOQUIA,ZANAHORIA,1368.0,49257.0,36.01,17.75,13.83
2008,BOYACA,ZANAHORIA,2226.0,49970.8,22.45,18.01,22.5
2008,CAUCA,ZANAHORIA,7.5,48.5,6.47,0.02,0.08
2008,CUNDINAMARCA,ZANAHORIA,4310.2,127361.3,29.55,45.9,43.56
2008,NARIÑO,ZANAHORIA,1425.0,37180.0,26.09,13.4,14.4
2008,NORTE DE SANTANDER,ZANAHORIA,205.0,4325.0,21.1,1.56,2.07
2008,SANTANDER,ZANAHORIA,11.03,275.37,24.97,0.1,0.11
2008,TOLIMA,ZANAHORIA,160.0,7200.0,45.0,2.59,1.62
2008,VALLE DEL CAUCA,ZANAHORIA,182.0,1842.0,10.12,0.66,1.8399999999999999
2009,ANTIOQUIA,ZANAHORIA,1335.0,48543.0,36.36,16.82,12.32
2009,BOYACA,ZANAHORIA,2893.0,62371.1,21.56,21.62,26.7
2009,CAUCA,ZANAHORIA,5.5,47.5,8.64,0.02,0.05
2009,CUNDINAMARCA,ZANAHORIA,4701.44,130003.0,27.65,45.06,43.4
2009,NARIÑO,ZANAHORIA,1364.0,35958.8,26.36,12.46,12.59
2009,NORTE DE SANTANDER,ZANAHORIA,243.0,5169.0,21.27,1.79,2.24
2009,SANTANDER,ZANAHORIA,16.01,400.25,24.99,0.14,0.15
2009,TOLIMA,ZANAHORIA,110.0,4230.0,38.45,1.47,1.02
2009,VALLE DEL CAUCA,ZANAHORIA,165.6,1798.1,10.86,0.62,1.53
