Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,ZAPOTE,54.0,1120.0,20.74,27.44,19.22
2007,BOYACA,ZAPOTE,15.0,197.0,13.13,4.83,5.34
2007,CALDAS,ZAPOTE,5.0,50.0,10.0,1.23,1.78
2007,NARIÑO,ZAPOTE,92.0,697.5,7.58,17.09,32.74
2007,NORTE DE SANTANDER,ZAPOTE,51.0,558.0,10.94,13.67,18.15
2007,VALLE DEL CAUCA,ZAPOTE,64.0,1458.6,22.79,35.74,22.78
2008,AMAZONAS,ZAPOTE,1.0,18.75,18.75,0.43,0.25
2008,ANTIOQUIA,ZAPOTE,65.0,919.0,14.14,21.01,16.54
2008,BOYACA,ZAPOTE,17.0,177.0,10.41,4.05,4.33
2008,CALDAS,ZAPOTE,10.0,100.0,10.0,2.29,2.54
2008,CAQUETA,ZAPOTE,34.0,68.0,2.0,1.55,8.65
2008,CORDOBA,ZAPOTE,2.0,104.4,52.2,2.39,0.51
2008,CUNDINAMARCA,ZAPOTE,8.0,50.0,6.25,1.1400000000000001,2.04
2008,NARIÑO,ZAPOTE,101.0,758.0,7.5,17.33,25.7
2008,NORTE DE SANTANDER,ZAPOTE,35.0,398.0,11.37,9.1,8.91
2008,SUCRE,ZAPOTE,62.0,372.0,6.0,8.5,15.78
2008,VALLE DEL CAUCA,ZAPOTE,58.0,1409.0,24.29,32.21,14.76
2009,ANTIOQUIA,ZAPOTE,63.0,959.0,15.22,29.77,19.59
2009,BOYACA,ZAPOTE,28.0,346.0,12.36,10.74,8.71
2009,CALDAS,ZAPOTE,5.0,50.0,10.0,1.55,1.55
2009,CAQUETA,ZAPOTE,34.0,68.0,2.0,2.11,10.57
2009,CHOCO,ZAPOTE,0.0,0.0,0.0,0.0,0.0
2009,CORDOBA,ZAPOTE,1.6,86.4,54.0,2.68,0.5
2009,CUNDINAMARCA,ZAPOTE,3.0,18.0,6.0,0.56,0.93
2009,NARIÑO,ZAPOTE,18.5,141.5,7.65,4.39,5.75
2009,NORTE DE SANTANDER,ZAPOTE,35.0,398.0,11.37,12.35,10.88
2009,SANTANDER,ZAPOTE,1.5,7.5,5.0,0.23,0.47
2009,SUCRE,ZAPOTE,77.0,462.0,6.0,14.34,23.94
2009,VALLE DEL CAUCA,ZAPOTE,55.0,685.0,12.45,21.26,17.1
2010,ANTIOQUIA,ZAPOTE,76.0,604.0,7.95,14.47,21.97
2010,BOYACA,ZAPOTE,27.0,202.0,7.48,4.84,7.8
2010,CASANARE,ZAPOTE,1.0,8.0,8.0,0.19,0.29
2010,CHOCO,ZAPOTE,0.0,0.0,0.0,0.0,0.0
2010,CUNDINAMARCA,ZAPOTE,7.0,35.0,5.0,0.84,2.02
2010,NARIÑO,ZAPOTE,71.0,444.1,6.25,10.64,20.52
2010,NORTE DE SANTANDER,ZAPOTE,40.0,400.0,10.0,9.59,11.56
2010,SANTANDER,ZAPOTE,2.0,8.0,4.0,0.19,0.58
2010,SUCRE,ZAPOTE,79.0,1975.0,25.0,47.33,22.83
2010,VALLE DEL CAUCA,ZAPOTE,43.0,497.0,11.56,11.91,12.43
2011,ANTIOQUIA,ZAPOTE,73.0,528.0,7.23,13.81,19.96
2011,BOYACA,ZAPOTE,14.22,100.47,7.06,2.63,3.89
2011,CASANARE,ZAPOTE,1.5,7.5,5.0,0.2,0.41
2011,CHOCO,ZAPOTE,20.0,150.0,7.5,3.92,5.47
2011,CUNDINAMARCA,ZAPOTE,7.0,35.0,5.0,0.92,1.9100000000000001
2011,NARIÑO,ZAPOTE,101.0,703.0,6.96,18.39,27.62
2011,NORTE DE SANTANDER,ZAPOTE,41.0,410.0,10.0,10.72,11.21
2011,SUCRE,ZAPOTE,75.0,1500.0,20.0,39.24,20.51
2011,VALLE DEL CAUCA,ZAPOTE,33.0,389.0,11.79,10.18,9.02
2012,ANTIOQUIA,ZAPOTE,76.0,566.0,7.45,13.17,18.23
2012,BOYACA,ZAPOTE,16.0,106.0,6.63,2.4699999999999998,3.84
2012,CAQUETA,ZAPOTE,8.0,137.6,17.2,3.2,1.92
2012,CASANARE,ZAPOTE,2.0,10.0,5.0,0.23,0.48
2012,CHOCO,ZAPOTE,20.0,150.0,7.5,3.49,4.8
2012,CUNDINAMARCA,ZAPOTE,19.0,95.0,5.0,2.21,4.5600000000000005
2012,META,ZAPOTE,10.0,180.0,18.0,4.19,2.4
2012,NARIÑO,ZAPOTE,101.0,683.0,6.76,15.9,24.22
2012,NORTE DE SANTANDER,ZAPOTE,31.0,294.0,9.48,6.84,7.43
2012,SUCRE,ZAPOTE,75.0,1500.0,20.0,34.91,17.99
2012,VALLE DEL CAUCA,ZAPOTE,58.0,574.0,9.9,13.36,13.91
2012,VAUPES,ZAPOTE,1.0,1.0,1.0,0.02,0.24
2013,ANTIOQUIA,ZAPOTE,58.0,657.0,11.33,14.74,15.8
2013,BOYACA,ZAPOTE,21.0,146.0,6.95,3.27,5.72
2013,CAQUETA,ZAPOTE,8.0,140.0,17.5,3.14,2.18
2013,CUNDINAMARCA,ZAPOTE,14.0,70.0,5.0,1.5699999999999998,3.81
2013,META,ZAPOTE,10.0,180.0,18.0,4.04,2.7199999999999998
2013,NARIÑO,ZAPOTE,113.0,753.0,6.66,16.89,30.79
2013,NORTE DE SANTANDER,ZAPOTE,29.0,282.0,9.72,6.32,7.9
2013,SUCRE,ZAPOTE,76.0,1900.0,25.0,42.62,20.71
2013,VALLE DEL CAUCA,ZAPOTE,38.0,330.5,8.7,7.41,10.35
2014,ANTIOQUIA,ZAPOTE,57.0,626.0,10.98,14.63,15.97
2014,BOYACA,ZAPOTE,21.0,146.0,6.95,3.41,5.88
