Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,AMAZONAS,ÑAME,3.0,5.0,1.67,0.0,0.01
2007,ANTIOQUIA,ÑAME,1789.0,25560.0,14.29,9.49,6.99
2007,ATLANTICO,ÑAME,144.0,1507.0,10.47,0.56,0.56
2007,BOLIVAR,ÑAME,11033.0,111064.0,10.07,41.23,43.12
2007,CESAR,ÑAME,135.0,2025.0,15.0,0.75,0.53
2007,CHOCO,ÑAME,392.0,2218.0,5.66,0.82,1.53
2007,CORDOBA,ÑAME,8041.0,85288.0,10.61,31.66,31.43
2007,LA GUAJIRA,ÑAME,189.0,2849.0,15.07,1.06,0.74
2007,MAGDALENA,ÑAME,225.0,1585.0,7.04,0.59,0.88
2007,SUCRE,ÑAME,3633.0,37269.0,10.26,13.84,14.2
2007,VAUPES,ÑAME,2.0,11.0,5.5,0.0,0.01
2008,AMAZONAS,ÑAME,4.0,6.0,1.5,0.0,0.01
2008,ANTIOQUIA,ÑAME,1476.0,22215.0,15.05,7.14,5.17
2008,ATLANTICO,ÑAME,241.0,2316.0,9.61,0.74,0.84
2008,BOLIVAR,ÑAME,15089.5,167961.0,11.13,53.97,52.81
2008,CESAR,ÑAME,203.0,3045.0,15.0,0.98,0.71
2008,CHOCO,ÑAME,390.0,2166.0,5.55,0.7,1.3599999999999999
2008,CORDOBA,ÑAME,7260.6,75787.0,10.44,24.35,25.41
2008,LA GUAJIRA,ÑAME,164.0,1585.0,9.66,0.51,0.57
2008,MAGDALENA,ÑAME,330.0,2408.0,7.3,0.77,1.15
2008,SUCRE,ÑAME,3414.0,33694.0,9.87,10.83,11.95
2008,VAUPES,ÑAME,2.0,4.0,2.0,0.0,0.01
2009,ANTIOQUIA,ÑAME,1908.5,25016.5,13.11,6.6,5.34
2009,ATLANTICO,ÑAME,154.0,1065.2,6.92,0.28,0.43
2009,BOLIVAR,ÑAME,18924.5,208004.5,10.99,54.84,52.92
