Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2007,ANTIOQUIA,ÑAME DIAMANTE,50.0,500.0,10.0,100.0,100.0
2008,ANTIOQUIA,ÑAME DIAMANTE,160.0,1600.0,10.0,100.0,100.0
2009,ANTIOQUIA,ÑAME DIAMANTE,160.0,1600.0,10.0,100.0,100.0
2010,ANTIOQUIA,ÑAME DIAMANTE,150.0,1500.0,10.0,100.0,100.0
2011,CORDOBA,ÑAME DIAMANTE,160.0,2190.0,13.69,100.0,100.0
2013,SUCRE,ÑAME DIAMANTE,2.0,16.0,8.0,100.0,100.0
2014,CORDOBA,ÑAME DIAMANTE,138.0,1104.0,8.0,100.0,100.0
2015,BOLIVAR,ÑAME DIAMANTE,2600.0,26000.0,10.0,78.32,81.76
2015,CHOCO,ÑAME DIAMANTE,10.0,54.0,5.4,0.16,0.31
2015,CORDOBA,ÑAME DIAMANTE,100.0,800.0,8.0,2.41,3.14
2015,SUCRE,ÑAME DIAMANTE,470.0,6345.0,13.5,19.11,14.78
2016,ANTIOQUIA,ÑAME DIAMANTE,215.0,3547.5,16.5,5.36,3.87
2016,BOLIVAR,ÑAME DIAMANTE,4000.0,48000.0,12.0,72.53,72.02
2016,CHOCO,ÑAME DIAMANTE,120.0,648.0,5.4,0.98,2.16
2016,CORDOBA,ÑAME DIAMANTE,683.0,6704.0,9.82,10.13,12.3
2016,SUCRE,ÑAME DIAMANTE,536.0,7279.0,13.58,11.0,9.65
2017,BOLIVAR,ÑAME DIAMANTE,2200.0,26400.0,12.0,47.6,48.89
2017,CHOCO,ÑAME DIAMANTE,120.0,648.0,5.4,1.17,2.67
2017,CORDOBA,ÑAME DIAMANTE,980.0,12105.0,12.35,21.83,21.78
2017,SUCRE,ÑAME DIAMANTE,1200.0,16310.0,13.59,29.41,26.67
2018,BOLIVAR,ÑAME DIAMANTE,2400.0,28800.0,12.0,45.06,47.62
2018,CHOCO,ÑAME DIAMANTE,130.0,780.0,6.0,1.22,2.58
2018,CORDOBA,ÑAME DIAMANTE,810.0,11280.0,13.93,17.65,16.07
2018,SUCRE,ÑAME DIAMANTE,1700.0,23050.0,13.56,36.07,33.73
2019,ANTIOQUIA,ÑAME DIAMANTE,45.0,1012.5,22.5,2.52,1.56
2019,BOLIVAR,ÑAME DIAMANTE,1440.0,17280.0,12.0,43.08,49.78
2019,CHOCO,ÑAME DIAMANTE,280.0,7840.0,28.0,19.55,9.68
2019,CORDOBA,ÑAME DIAMANTE,1064.0,13045.0,12.26,32.52,36.78
2019,MAGDALENA,ÑAME DIAMANTE,2.5,16.0,6.4,0.04,0.09
2019,SUCRE,ÑAME DIAMANTE,61.2,918.0,15.0,2.29,2.12
2020,ANTIOQUIA,ÑAME DIAMANTE,85.0,1870.0,22.0,4.28,2.71
2020,BOLIVAR,ÑAME DIAMANTE,2000.0,24000.0,12.0,54.96,63.82
2020,CHOCO,ÑAME DIAMANTE,280.0,5040.0,18.0,11.54,8.93
2020,CORDOBA,ÑAME DIAMANTE,737.0,12471.0,16.92,28.56,23.52
2020,SUCRE,ÑAME DIAMANTE,32.0,288.0,9.0,0.66,1.02
2021,ANTIOQUIA,ÑAME DIAMANTE,170.0,3400.0,20.0,3.49,1.9300000000000002
2021,BOLIVAR,ÑAME DIAMANTE,5930.0,55080.0,9.29,56.55,67.2
2021,CHOCO,ÑAME DIAMANTE,470.0,8220.0,17.49,8.44,5.33
2021,CORDOBA,ÑAME DIAMANTE,2164.0,29974.0,13.85,30.78,24.52
2021,SUCRE,ÑAME DIAMANTE,90.0,720.0,8.0,0.74,1.02
2022,ANTIOQUIA,ÑAME DIAMANTE,55.0,1070.0,19.45,2.13,1.24
2022,BOLIVAR,ÑAME DIAMANTE,3200.0,31500.0,9.84,62.71,72.24
2022,CHOCO,ÑAME DIAMANTE,116.4,2095.2,18.0,4.17,2.63
2022,CORDOBA,ÑAME DIAMANTE,1013.0,15209.5,15.01,30.28,22.87
2022,SUCRE,ÑAME DIAMANTE,45.0,360.0,8.0,0.72,1.02
2023,ANTIOQUIA,ÑAME DIAMANTE,40.0,800.0,20.0,1.3900000000000001,0.8
2023,BOLIVAR,ÑAME DIAMANTE,3710.0,38670.0,10.42,67.2,74.38
2023,CHOCO,ÑAME DIAMANTE,74.8,1240.8,16.59,2.16,1.5
2023,CORDOBA,ÑAME DIAMANTE,1063.0,16035.0,15.08,27.86,21.31
2023,SUCRE,ÑAME DIAMANTE,100.0,800.0,8.0,1.3900000000000001,2.0
