Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2010,SUCRE,ÑAME ESPINO,1155.5,13019.5,11.27,100.0,100.0
2011,SUCRE,ÑAME ESPINO,1488.2,17730.67,11.91,100.0,100.0
2012,SUCRE,ÑAME ESPINO,35.0,350.0,10.0,100.0,100.0
2013,SUCRE,ÑAME ESPINO,1800.5,23514.3,13.06,100.0,100.0
2014,CORDOBA,ÑAME ESPINO,50.0,400.0,8.0,2.69,3.7
2014,SUCRE,ÑAME ESPINO,1302.3,14468.6,11.11,97.31,96.3
2015,BOLIVAR,ÑAME ESPINO,250.0,3000.0,12.0,16.74,15.79
2015,CHOCO,ÑAME ESPINO,15.0,81.0,5.4,0.45,0.95
2015,CORDOBA,ÑAME ESPINO,40.0,320.0,8.0,1.79,2.5300000000000002
2015,SUCRE,ÑAME ESPINO,1277.8,14524.33,11.37,81.03,80.73
2016,BOLIVAR,ÑAME ESPINO,700.0,8400.0,12.0,42.27,36.13
2016,CHOCO,ÑAME ESPINO,30.0,162.0,5.4,0.82,1.55
2016,CORDOBA,ÑAME ESPINO,312.0,2496.0,8.0,12.56,16.1
2016,SUCRE,ÑAME ESPINO,895.45,8812.95,9.84,44.35,46.22
2017,ATLANTICO,ÑAME ESPINO,104.0,1248.0,12.0,2.17,2.05
2017,BOLIVAR,ÑAME ESPINO,2000.0,25200.0,12.6,43.85,39.49
2017,CORDOBA,ÑAME ESPINO,1148.0,14842.0,12.93,25.83,22.67
2017,SUCRE,ÑAME ESPINO,1812.02,16179.47,8.93,28.15,35.78
2017,VAUPES,ÑAME ESPINO,0.1,1.9300000000000002,19.3,0.0,0.0
2018,ATLANTICO,ÑAME ESPINO,250.0,3000.0,12.0,4.06,3.67
2018,BOLIVAR,ÑAME ESPINO,3060.0,38120.0,12.46,51.54,44.95
2018,CORDOBA,ÑAME ESPINO,930.0,11100.0,11.94,15.01,13.66
2018,SUCRE,ÑAME ESPINO,2565.0,21696.5,8.46,29.34,37.68
2018,VAUPES,ÑAME ESPINO,2.0,38.6,19.3,0.05,0.03
2019,ATLANTICO,ÑAME ESPINO,154.0,1872.0,12.16,3.26,3.17
2019,BOLIVAR,ÑAME ESPINO,2045.0,23740.0,11.61,41.3,42.12
2019,CHOCO,ÑAME ESPINO,190.0,4940.0,26.0,8.59,3.91
2019,CORDOBA,ÑAME ESPINO,1180.3,13843.0,11.73,24.08,24.31
2019,MAGDALENA,ÑAME ESPINO,10.0,75.0,7.5,0.13,0.21
2019,SUCRE,ÑAME ESPINO,1276.3,13011.7,10.19,22.64,26.29
2020,ATLANTICO,ÑAME ESPINO,84.0,976.0,11.62,2.24,2.25
2020,BOLIVAR,ÑAME ESPINO,900.0,9000.0,10.0,20.67,24.15
2020,CESAR,ÑAME ESPINO,22.0,220.0,10.0,0.51,0.59
2020,CHOCO,ÑAME ESPINO,190.0,3420.0,18.0,7.85,5.1
2020,CORDOBA,ÑAME ESPINO,1553.0,22474.0,14.47,51.61,41.67
2020,SUCRE,ÑAME ESPINO,978.0,7459.6,7.63,17.13,26.24
2021,ATLANTICO,ÑAME ESPINO,210.0,2200.0,10.48,1.22,1.45
2021,BOLIVAR,ÑAME ESPINO,7112.0,94460.0,13.28,52.39,49.27
2021,CESAR,ÑAME ESPINO,54.0,546.0,10.11,0.3,0.37
2021,CHOCO,ÑAME ESPINO,346.0,6300.0,18.21,3.49,2.4
2021,CORDOBA,ÑAME ESPINO,4450.0,59492.5,13.37,33.0,30.83
2021,MAGDALENA,ÑAME ESPINO,6.0,60.0,10.0,0.03,0.04
2021,SUCRE,ÑAME ESPINO,2257.2,17234.4,7.64,9.56,15.64
2022,ANTIOQUIA,ÑAME ESPINO,40.0,640.0,16.0,0.64,0.51
2022,ATLANTICO,ÑAME ESPINO,100.0,1120.0,11.2,1.13,1.28
2022,BOLIVAR,ÑAME ESPINO,3796.0,51122.0,13.47,51.43,48.77
2022,CESAR,ÑAME ESPINO,26.9,274.3,10.2,0.28,0.35
2022,CHOCO,ÑAME ESPINO,76.2,1371.6,18.0,1.38,0.98
2022,CORDOBA,ÑAME ESPINO,2509.0,34966.7,13.94,35.18,32.24
2022,MAGDALENA,ÑAME ESPINO,5.0,50.0,10.0,0.05,0.06
2022,SUCRE,ÑAME ESPINO,1230.0,9860.0,8.02,9.92,15.8
2023,ANTIOQUIA,ÑAME ESPINO,0.0,0.0,0.0,0.0,0.0
2023,ATLANTICO,ÑAME ESPINO,9.0,36.0,4.0,0.03,0.11
2023,BOLIVAR,ÑAME ESPINO,4685.0,63110.0,13.47,59.79,57.94
2023,CESAR,ÑAME ESPINO,25.0,250.0,10.0,0.24,0.31
2023,CHOCO,ÑAME ESPINO,37.0,666.0,18.0,0.63,0.46
2023,CORDOBA,ÑAME ESPINO,2178.0,31451.0,14.44,29.8,26.94
2023,MAGDALENA,ÑAME ESPINO,5.0,50.0,10.0,0.05,0.06
2023,SUCRE,ÑAME ESPINO,1146.5,9988.25,8.71,9.46,14.18
