Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2006,BOYACA,ACELGA,0.0,0.0,0.0,0.0,0.0
2006,CUNDINAMARCA,ACELGA,0.0,0.0,0.0,0.0,0.0
2006,NORTE DE SANTANDER,ACELGA,0.0,0.0,0.0,0.0,0.0
2006,SANTANDER,ACELGA,0.0,0.0,0.0,0.0,0.0
2007,BOYACA,ACELGA,1.0,1.0,1.0,0.04,0.62
2007,CAUCA,ACELGA,0.0,0.0,0.0,0.0,0.0
2007,CUNDINAMARCA,ACELGA,153.5,2760.0,17.98,97.49,95.64
2007,NORTE DE SANTANDER,ACELGA,4.0,58.0,14.5,2.05,2.49
2007,SANTANDER,ACELGA,2.0,12.0,6.0,0.42,1.25
2008,BOYACA,ACELGA,1.0,1.0,1.0,0.04,0.75
2008,CAUCA,ACELGA,3.0,14.5,4.83,0.63,2.25
2008,CUNDINAMARCA,ACELGA,122.6,2181.2,17.79,94.72,91.77
2008,NORTE DE SANTANDER,ACELGA,7.0,106.0,15.14,4.6,5.24
2009,CAUCA,ACELGA,1.8,5.2,2.89,0.39,2.12
2009,CUNDINAMARCA,ACELGA,69.08,1232.08,17.84,91.72,81.39
2009,NORTE DE SANTANDER,ACELGA,6.0,90.0,15.0,6.7,7.07
2009,VALLE DEL CAUCA,ACELGA,8.0,16.0,2.0,1.19,9.43
2010,BOYACA,ACELGA,0.0,0.0,0.0,0.0,0.0
2010,CALDAS,ACELGA,0.8,4.0,5.0,0.86,2.21
2010,CAUCA,ACELGA,1.8,1.4,0.78,0.3,4.97
2010,CUNDINAMARCA,ACELGA,13.94,348.17,24.98,74.91,38.47
2010,NORTE DE SANTANDER,ACELGA,5.5,82.0,14.91,17.64,15.18
2010,PUTUMAYO,ACELGA,1.2,3.24,2.7,0.7,3.31
2010,SANTANDER,ACELGA,13.0,26.0,2.0,5.59,35.87
2011,BOYACA,ACELGA,35.24,630.07,17.88,59.76,47.4
2011,CALDAS,ACELGA,0.8,4.0,5.0,0.38,1.08
2011,CUNDINAMARCA,ACELGA,21.5,325.75,15.15,30.9,28.92
2011,NORTE DE SANTANDER,ACELGA,4.5,69.0,15.33,6.54,6.05
2011,PUTUMAYO,ACELGA,1.3,3.51,2.7,0.33,1.75
2011,SANTANDER,ACELGA,11.0,22.0,2.0,2.09,14.8
2012,BOYACA,ACELGA,301.25,5401.07,17.93,87.95,84.52
2012,CAUCA,ACELGA,13.0,286.0,22.0,4.66,3.65
2012,CUNDINAMARCA,ACELGA,26.18,378.1,14.44,6.16,7.35
2012,NORTE DE SANTANDER,ACELGA,3.0,45.0,15.0,0.73,0.84
2012,TOLIMA,ACELGA,5.0,15.0,3.0,0.24,1.4
2012,VALLE DEL CAUCA,ACELGA,8.0,16.0,2.0,0.26,2.24
2013,BOYACA,ACELGA,1.0,1.0,1.0,0.06,1.03
2013,CAUCA,ACELGA,28.5,616.25,21.62,35.42,29.23
2013,CUNDINAMARCA,ACELGA,46.6,940.2,20.18,54.05,47.79
2013,NARIÑO,ACELGA,7.0,7.0,1.0,0.4,7.18
2013,NORTE DE SANTANDER,ACELGA,2.5,37.0,14.8,2.13,2.56
2013,PUTUMAYO,ACELGA,11.4,135.66,11.9,7.8,11.69
2013,VALLE DEL CAUCA,ACELGA,0.5,2.5,5.0,0.14,0.51
2014,BOYACA,ACELGA,0.24,0.07,0.28,0.0,0.2
