Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
AMAZONAS,ARAZA,2017,27.23,272.3,10.0
AMAZONAS,BATATA,2007,0.0,0.0,0.0
AMAZONAS,BATATA,2016,60.0,60.0,1.0
AMAZONAS,CACAO,2013,16.0,8.0,0.5
AMAZONAS,CACAO,2018,29.0,14.5,0.5
AMAZONAS,CACAO,2019,47.0,15.97,0.34
AMAZONAS,CAÑA PANELERA,2021,8.0,240.0,30.0
AMAZONAS,CHONTADURO,2014,23.0,135.3,5.88
AMAZONAS,CHONTADURO,2015,30.0,177.3,5.91
AMAZONAS,CILANTRO,2010,16.0,8.4,0.53
AMAZONAS,CILANTRO,2011,44.0,23.4,0.53
AMAZONAS,CILANTRO,2016,9.3,5.7,0.61
AMAZONAS,CILANTRO,2020,37.3,21.92,0.59
AMAZONAS,CILANTRO,2023,50.2,268.8,5.35
AMAZONAS,CURCUMA,2009,5.0,6.0,1.2
AMAZONAS,FRIJOL,2007,0.0,0.0,0.0
AMAZONAS,FRIJOL,2017,0.8,0.64,0.8
AMAZONAS,FRUTALES VARIOS,2018,326.64,1678.19,5.14
AMAZONAS,FRUTALES VARIOS,2022,371.0,1484.0,4.0
AMAZONAS,GUAMA,2012,33.0,97.6,2.96
AMAZONAS,HABICHUELA,2008,6.0,2.0,0.33
AMAZONAS,HORTALIZAS VARIAS,2013,13.0,9.1,0.7
AMAZONAS,LECHUGA,2022,15.0,150.0,10.0
AMAZONAS,MAIZ TRADICIONAL,2013,170.0,255.0,1.5
AMAZONAS,MAIZ TRADICIONAL,2018,55.0,61.0,1.11
AMAZONAS,MAIZ TRADICIONAL,2019,198.0,367.33,1.8599999999999999
AMAZONAS,MANI,2007,0.0,0.0,0.0
AMAZONAS,MELON,2020,11.0,115.5,10.5
AMAZONAS,MELON,2023,17.0,153.0,9.0
AMAZONAS,ÑAME,2021,18.0,33.5,1.8599999999999999
AMAZONAS,PEPINO COHOMBRO,2007,0.0,0.0,0.0
AMAZONAS,PEPINO COHOMBRO,2022,26.0,74.0,2.85
AMAZONAS,PIMENTON,2021,40.4,100.84,2.5
AMAZONAS,PLATANO,2012,70.0,240.0,3.43
AMAZONAS,PLATANO,2013,128.0,464.0,3.63
AMAZONAS,PLATANO,2018,537.0,2685.0,5.0
AMAZONAS,PLATANO,2019,746.0,3301.2,4.43
AMAZONAS,SACHA INCHI,2009,1.0,0.6,0.6
AMAZONAS,TOMATE,2008,99.0,249.0,2.52
AMAZONAS,TOMATE,2015,2.0,2.0,1.0
AMAZONAS,UVA CAIMARONA,2022,108.0,484.0,4.48
AMAZONAS,YUCA,2008,2179.0,8141.0,3.74
AMAZONAS,YUCA,2014,235.0,470.0,2.0
AMAZONAS,YUCA,2015,375.0,750.0,2.0
AMAZONAS,YUCA INDUSTRIAL,2023,490.0,4900.0,10.0
AMAZONAS,ACHICORIA,2008,15.0,15.0,1.0
AMAZONAS,AGUAJE,2014,24.0,141.6,5.9
AMAZONAS,AGUAJE,2015,28.0,165.2,5.9
AMAZONAS,AHUYAMA,2019,6.3,31.8,5.05
AMAZONAS,AJI,2012,21.0,8.1,0.39
AMAZONAS,AJI,2013,21.0,8.3,0.4
AMAZONAS,AJI,2022,30.5,18.9,0.62
AMAZONAS,ARAZA,2008,108.0,339.0,3.14
AMAZONAS,ARAZA,2010,58.0,290.0,5.0
AMAZONAS,ARAZA,2011,58.0,290.0,5.0
AMAZONAS,ARAZA,2016,45.0,305.0,6.78
AMAZONAS,ARAZA,2020,74.0,317.5,4.29
AMAZONAS,ARAZA,2023,81.0,372.0,4.59
AMAZONAS,ASAI,2010,45.0,153.0,3.4
AMAZONAS,ASAI,2011,47.0,256.5,5.46
AMAZONAS,ASAI,2016,34.0,193.8,5.7
AMAZONAS,ASAI,2020,170.0,868.0,5.11
AMAZONAS,ASAI,2023,159.0,903.0,5.68
AMAZONAS,BATATA,2020,5.8,8.7,1.5
AMAZONAS,BATATA,2023,5.0,9.25,1.85
AMAZONAS,CACAO,2012,4.0,2.09,0.52
AMAZONAS,CACAO,2022,92.0,54.0,0.59
AMAZONAS,CAÑA PANELERA,2008,91.0,330.0,3.63
AMAZONAS,CAÑA PANELERA,2014,3.0,6.0,2.0
AMAZONAS,CAÑA PANELERA,2015,8.0,18.32,2.29
