Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
ANTIOQUIA,ACELGA,2019,7.0,185.5,26.5
ANTIOQUIA,AHUYAMA,2022,273.2,3224.4,11.8
ANTIOQUIA,AJO,2021,8.0,32.0,4.0
ANTIOQUIA,ALGODON,2006,0.0,0.0,0.0
ANTIOQUIA,ALGODON,2007,177.8,236.42,1.33
ANTIOQUIA,ALGODON,2009,47.32,76.0,1.6099999999999999
ANTIOQUIA,ALGODON,2017,76.0,167.2,2.2
ANTIOQUIA,ANTURIO,2011,5.3,22.0,4.15
ANTIOQUIA,APIO,2014,76.0,1601.0,21.07
ANTIOQUIA,APIO,2015,69.0,1431.0,20.74
ANTIOQUIA,APIO,2021,212.0,4430.0,20.9
ANTIOQUIA,ARRACACHA,2010,53.0,853.0,16.09
ANTIOQUIA,ARRACACHA,2011,260.0,2500.0,9.62
ANTIOQUIA,ARRACACHA,2020,56.0,831.0,14.84
ANTIOQUIA,ARRACACHA,2023,31.8,287.7,9.05
ANTIOQUIA,ARROZ SECANO MANUAL,2008,14549.0,21923.9,1.51
ANTIOQUIA,ARROZ SECANO MANUAL,2015,16114.5,24952.4,1.55
ANTIOQUIA,ARROZ SECANO MECANIZADO,2022,9850.9,39997.52,4.06
ANTIOQUIA,ARVEJA,2009,657.5,1461.1,2.22
ANTIOQUIA,BANANO,2009,1024.0,10952.5,10.7
ANTIOQUIA,BANANO EXPORTACION,2017,34789.0,1189966.9,34.21
ANTIOQUIA,BERENJENA,2017,5.0,60.0,12.0
ANTIOQUIA,BOROJO,2012,44.0,218.3,4.96
ANTIOQUIA,BOROJO,2022,81.5,393.5,4.83
ANTIOQUIA,BREVO,2013,18.8,118.4,6.3
ANTIOQUIA,BREVO,2018,20.0,132.75,6.64
ANTIOQUIA,BREVO,2019,17.0,127.0,7.47
ANTIOQUIA,BROCOLI,2013,130.0,2629.0,20.22
ANTIOQUIA,BROCOLI,2018,98.0,1945.94,19.86
ANTIOQUIA,BROCOLI,2019,195.0,3887.0,19.93
ANTIOQUIA,CACAO,2008,6234.0,2574.0,0.41
ANTIOQUIA,CACAO,2015,14929.1,8703.78,0.58
ANTIOQUIA,CAFE,2010,111602.71,121253.38,1.09
ANTIOQUIA,CAFE,2011,106419.57,115267.98,1.08
ANTIOQUIA,CAFE,2016,105666.6,119970.68,1.1400000000000001
ANTIOQUIA,CAFE,2020,97577.3,107077.57,1.1
ANTIOQUIA,CAFE,2023,93260.32,99467.71,1.07
ANTIOQUIA,CALABAZA,2021,42.0,2190.0,52.14
ANTIOQUIA,CAÑA PANELERA,2010,39182.1,162647.0,4.15
ANTIOQUIA,CAÑA PANELERA,2020,36371.5,1594626.0,43.84
ANTIOQUIA,CAÑA PANELERA,2023,35096.51,1496141.67,42.63
ANTIOQUIA,CARDAMOMO,2008,195.0,637.5,3.27
ANTIOQUIA,CARDAMOMO,2016,90.0,101.0,1.12
ANTIOQUIA,CARDAMOMO,2017,70.0,76.5,1.09
ANTIOQUIA,CAUCHO,2007,119.5,166.3,1.3900000000000001
ANTIOQUIA,CAUCHO,2009,144.7,165.5,1.1400000000000001
ANTIOQUIA,CAUCHO,2017,1541.5,1543.5,1.0
ANTIOQUIA,CEBOLLA DE BULBO,2021,21.6,282.32,13.07
ANTIOQUIA,CEBOLLA DE RAMA,2008,402.5,7939.7,19.73
