Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
ATLANTICO,AHUYAMA,2022,311.2,3099.2,9.96
ATLANTICO,AJI,2021,234.0,2019.4,8.63
ATLANTICO,AJONJOLI,2008,2.5,0.5,0.2
ATLANTICO,AJONJOLI,2010,33.4,16.7,0.5
ATLANTICO,AJONJOLI,2011,0.25,0.13,0.5
ATLANTICO,ALGODON,2006,0.0,0.0,0.0
ATLANTICO,ANON,2021,26.0,130.0,5.0
ATLANTICO,BERENJENA,2011,10.1,113.0,11.19
ATLANTICO,BERENJENA,2016,29.0,240.0,8.28
ATLANTICO,BERENJENA,2017,11.0,107.0,9.73
ATLANTICO,CADUCIFOLIOS,2013,100.0,400.0,4.0
ATLANTICO,CEBOLLA DE RAMA,2008,43.0,277.0,6.44
ATLANTICO,CILANTRO,2006,0.0,0.0,0.0
ATLANTICO,CILANTRO,2007,32.5,248.5,7.65
ATLANTICO,CILANTRO,2010,14.0,72.44,5.17
ATLANTICO,CILANTRO,2011,4.5,25.65,5.7
ATLANTICO,CILANTRO,2016,13.0,91.0,7.0
ATLANTICO,CILANTRO,2017,14.0,114.0,8.14
ATLANTICO,COCO,2013,5.0,55.0,11.0
ATLANTICO,COCO,2018,4.0,50.8,12.7
ATLANTICO,COCO,2019,4.0,27.0,6.75
ATLANTICO,COL,2021,24.0,254.4,10.6
ATLANTICO,EUCALIPTO BABY BLUE,2016,0.0,0.0,0.0
ATLANTICO,FRIJOL,2006,0.0,0.0,0.0
ATLANTICO,FRIJOL,2009,701.7,519.86,0.74
ATLANTICO,GUANABANA,2014,10.2,20.4,2.0
ATLANTICO,GUANABANA,2015,6.7,23.4,3.49
ATLANTICO,GUANDUL,2012,859.5,987.55,1.15
ATLANTICO,GUANDUL,2013,1189.45,934.16,0.79
ATLANTICO,GUANDUL,2018,1433.0,1189.35,0.83
ATLANTICO,GUAYABA,2014,350.7,2602.8,7.42
ATLANTICO,GUAYABA,2021,1077.0,20332.0,18.88
ATLANTICO,HABICHUELA,2009,80.0,126.0,1.5699999999999998
ATLANTICO,LIMON,2010,891.24,17602.04,19.75
ATLANTICO,LIMON,2011,855.44,16811.6,19.65
ATLANTICO,LIMON,2020,566.95,4640.65,8.19
ATLANTICO,LIMON,2023,490.0,3260.7,6.65
ATLANTICO,LIMON PAJARITO,2022,3.0,30.0,10.0
ATLANTICO,LIMON TAHITI,2021,110.0,1300.2,11.82
ATLANTICO,MAIZ TECNIFICADO,2008,638.0,1375.0,2.16
ATLANTICO,MAIZ TECNIFICADO,2014,751.0,1783.9,2.38
ATLANTICO,MAIZ TECNIFICADO,2015,746.0,1746.72,2.34
ATLANTICO,MAIZ TRADICIONAL,2015,4623.2,5017.65,1.09
ATLANTICO,MAMEY,2013,6.0,36.0,6.0
ATLANTICO,MANGO INJERTO,2014,2.0,66.0,33.0
ATLANTICO,MANGO INJERTO,2015,11.0,132.0,12.0
ATLANTICO,MARAÑON,2011,24.0,71.6,2.98
ATLANTICO,MARAÑON,2016,28.0,234.0,8.36
ATLANTICO,MARAÑON,2017,28.0,382.02,13.64
ATLANTICO,MELON,2012,382.8,2773.0,7.24
ATLANTICO,MELON,2013,572.5,5372.94,9.39
ATLANTICO,MELON,2018,717.0,11947.51,16.66
ATLANTICO,MELON,2019,759.5,13540.85,17.83
ATLANTICO,MILLO,2018,698.0,1349.13,1.9300000000000002
ATLANTICO,ÑAME,2008,241.0,2316.0,9.61
ATLANTICO,ÑAME,2014,475.0,2238.5,4.71
ATLANTICO,ÑAME,2015,138.5,667.5,4.82
ATLANTICO,ÑAME ESPINO,2017,104.0,1248.0,12.0
ATLANTICO,NARANJA,2008,51.0,822.0,16.12
ATLANTICO,NARANJA JAFFA,2021,100.0,714.0,7.14
ATLANTICO,PALMA AMARGA,2016,90.0,1260.0,14.0
ATLANTICO,PALMA DE ACEITE,2012,220.0,660.0,3.0
ATLANTICO,PALMA DE ACEITE,2013,220.0,660.0,3.0
ATLANTICO,PALMA DE ACEITE,2018,312.0,1095.8,3.51
ATLANTICO,PALMA DE ACEITE,2022,185.0,740.0,4.0
ATLANTICO,PAPAYA,2022,36.6,843.5,23.05
ATLANTICO,PAPAYA HAWAIANA,2020,1.0,20.0,20.0
ATLANTICO,PATILLA,2010,345.63,2190.32,6.34
ATLANTICO,PATILLA,2020,333.2,3495.0,10.49
ATLANTICO,PATILLA,2023,224.5,3717.5,16.56
ATLANTICO,PEPINO COHOMBRO,2013,1.0,3.0,3.0
ATLANTICO,PIÑA,2012,27.7,835.5,30.16
ATLANTICO,PLATANO,2018,858.75,12750.0,14.85
ATLANTICO,PLATANO,2019,366.5,5559.75,15.17
ATLANTICO,POMELO,2009,5.0,175.0,35.0
ATLANTICO,SABILA,2008,60.0,3600.0,60.0
ATLANTICO,SABILA,2015,13.5,247.5,18.33
ATLANTICO,SORGO,2008,2044.52,2587.85,1.27
ATLANTICO,SORGO,2015,418.0,1124.5,2.69
ATLANTICO,TAMARINDO,2012,13.0,98.0,7.54
ATLANTICO,TAMARINDO,2013,23.0,138.0,6.0
ATLANTICO,TAMARINDO,2022,6.0,12.0,2.0
ATLANTICO,TOMATE,2008,234.0,1399.0,5.98
ATLANTICO,TOMATE,2015,51.5,1436.5,27.89
ATLANTICO,YUCA,2008,5810.67,56165.4,9.67
ATLANTICO,YUCA INDUSTRIAL,2017,38.0,660.0,17.37
ATLANTICO,YUCA INDUSTRIAL,2020,390.0,5778.0,14.82
ATLANTICO,YUCA INDUSTRIAL,2023,15.0,225.0,15.0
ATLANTICO,AGUACATE,2018,4.55,54.6,12.0
ATLANTICO,AGUACATE,2019,5.0,30.0,6.0
ATLANTICO,AHUYAMA,2006,0.0,0.0,0.0
ATLANTICO,AHUYAMA,2007,297.5,2479.85,8.34
ATLANTICO,AHUYAMA,2009,305.97,2483.35,8.12
ATLANTICO,AHUYAMA,2012,372.0,2751.05,7.4
ATLANTICO,AHUYAMA,2013,468.5,3832.9,8.18
ATLANTICO,AHUYAMA,2018,238.0,2917.58,12.26
ATLANTICO,AHUYAMA,2019,343.3,3744.2,10.91
ATLANTICO,AJI,2007,82.0,489.5,5.97
ATLANTICO,AJI,2009,88.64,415.14,4.68
ATLANTICO,AJI,2017,72.75,372.0,5.11
ATLANTICO,ALGODON,2007,337.25,221.57,0.66
ATLANTICO,ARROZ RIEGO,2008,264.5,1058.0,4.0
ATLANTICO,ARROZ RIEGO,2014,389.07,2100.98,5.4
ATLANTICO,ARROZ RIEGO,2015,377.44,1743.66,4.62
ATLANTICO,BERENJENA,2010,7.88,157.6,20.0
ATLANTICO,BERENJENA,2020,16.0,187.0,11.69
ATLANTICO,BERENJENA,2023,32.0,526.0,16.44
ATLANTICO,CACAO,2020,8.0,2.0,0.25
ATLANTICO,CACAO,2023,8.0,2.4,0.3
ATLANTICO,CEBOLLA DE BULBO,2019,12.8,80.7,6.3
ATLANTICO,CEBOLLA DE RAMA,2012,35.0,388.0,11.09
ATLANTICO,CEBOLLA DE RAMA,2022,20.5,322.0,15.71
ATLANTICO,CILANTRO,2009,21.2,135.15,6.38
ATLANTICO,CIRUELA,2012,243.15,1394.0,5.73
ATLANTICO,CIRUELA,2022,191.5,1693.9,8.85
ATLANTICO,COL,2014,7.0,57.0,8.14
ATLANTICO,COL,2015,10.0,69.0,6.9
ATLANTICO,FRIJOL,2007,687.5,390.25,0.57
ATLANTICO,FRIJOL,2010,839.9,546.67,0.65
ATLANTICO,FRIJOL,2011,507.32,380.23,0.75
ATLANTICO,FRIJOL,2016,545.0,555.26,1.02
ATLANTICO,FRIJOL,2017,495.5,462.22,0.93
ATLANTICO,FRIJOL,2020,484.5,519.89,1.07
ATLANTICO,FRIJOL,2023,1496.75,2150.23,1.44
ATLANTICO,FRIJOL ARBUSTIVO,2018,100.0,174.83,1.75
ATLANTICO,GUANABANA,2021,4.0,2.0,0.5
ATLANTICO,GUANDUL,2022,1136.5,3135.7,2.76
ATLANTICO,HABICHUELA,2014,38.0,243.2,6.4
ATLANTICO,HABICHUELA,2021,108.0,244.0,2.26
ATLANTICO,HIGUERILLA,2008,12.0,58.0,4.83
ATLANTICO,LIMA TAHITI,2014,18.0,252.0,14.0
ATLANTICO,LIMA TAHITI,2015,13.0,169.0,13.0
ATLANTICO,LIMON MANDARINO,2020,37.0,444.0,12.0
ATLANTICO,LIMON MANDARINO,2023,37.0,666.0,18.0
ATLANTICO,LIMON PAJARITO,2019,5.0,50.0,10.0
ATLANTICO,MAIZ TRADICIONAL,2020,8022.0,14027.9,1.75
ATLANTICO,MAIZ TRADICIONAL,2023,7040.55,9918.52,1.41
ATLANTICO,MANGO,2014,1112.29,13857.15,12.46
ATLANTICO,MANGO,2015,1204.0,14535.1,12.07
ATLANTICO,MANGO,2021,4681.0,67254.5,14.37
ATLANTICO,MARACUYA,2015,0.0,0.0,0.0
ATLANTICO,MARAÑON,2009,4.0,176.0,44.0
ATLANTICO,MILLO,2012,1212.67,2792.95,2.3
ATLANTICO,MILLO,2013,1038.0,2172.0,2.09
ATLANTICO,MILLO,2022,150.0,487.5,3.25
ATLANTICO,ÑAME ESPINO,2020,84.0,976.0,11.62
ATLANTICO,ÑAME ESPINO,2023,9.0,36.0,4.0
ATLANTICO,NISPERO,2010,24.8,114.64,4.62
ATLANTICO,NISPERO,2011,26.0,152.0,5.85
ATLANTICO,NISPERO,2016,69.0,424.0,6.14
ATLANTICO,NISPERO,2023,0.5,0.25,0.5
ATLANTICO,PALMA AMARGA,2017,90.0,1260.0,14.0
ATLANTICO,PALMA DE ACEITE,2019,220.0,770.0,3.5
ATLANTICO,PAPAYA,2008,85.0,2496.0,29.36
ATLANTICO,PAPAYA HAWAIANA,2023,0.5,5.0,10.0
ATLANTICO,PATILLA,2007,0.0,0.0,0.0
ATLANTICO,PATILLA,2011,226.22,1344.9,5.9399999999999995
ATLANTICO,PATILLA,2016,390.8,4912.4,12.57
ATLANTICO,PATILLA,2017,258.8,3028.2,11.7
ATLANTICO,PLATANO,2020,392.2,5829.17,14.86
ATLANTICO,PLATANO,2023,435.2,7076.6,16.26
ATLANTICO,POMELO,2011,5.5,176.5,32.09
ATLANTICO,POMELO,2016,9.0,100.0,11.11
ATLANTICO,POMELO,2017,9.0,145.0,16.11
ATLANTICO,SORGO,2014,370.0,1089.5,2.94
ATLANTICO,SORGO,2021,1403.0,2968.1,2.12
ATLANTICO,TOMATE,2014,51.0,1560.0,30.59
ATLANTICO,TOMATE,2021,104.0,1914.0,18.4
ATLANTICO,YUCA,2022,4062.0,39755.5,9.79
ATLANTICO,ZARAGOZA,2015,4.5,8.15,1.81
ATLANTICO,AHUYAMA,2014,377.3,3159.49,8.37
ATLANTICO,AHUYAMA,2015,320.8,4069.02,12.68
ATLANTICO,AHUYAMA,2021,1110.0,10784.0,9.72
ATLANTICO,AJONJOLI,2022,0.7,0.28,0.4
ATLANTICO,ARROZ RIEGO,2018,990.37,6045.57,6.1
ATLANTICO,ARROZ RIEGO,2019,1425.0,10317.3,7.24
ATLANTICO,BANANO,2010,0.0,0.0,0.0
ATLANTICO,BANANO,2020,9.0,100.0,11.11
ATLANTICO,BANANO,2023,12.0,108.0,9.0
ATLANTICO,BATATA,2011,2.0,8.0,4.0
ATLANTICO,BATATA,2020,4.0,18.8,4.7
ATLANTICO,BATATA,2023,3.0,6.0,2.0
