Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
BOLIVAR,ACHIOTE (BIJA),2020,12.0,24.0,2.0
BOLIVAR,ACHIOTE (BIJA),2023,32.0,64.0,2.0
BOLIVAR,AGUACATE,2010,3533.0,35304.0,9.99
BOLIVAR,AGUACATE,2011,3493.0,34990.0,10.02
BOLIVAR,AGUACATE,2016,2112.0,20996.0,9.94
BOLIVAR,AGUACATE,2020,2100.0,27222.5,12.96
BOLIVAR,AGUACATE,2023,2214.5,15439.0,6.97
BOLIVAR,AHUYAMA,2006,0.0,0.0,0.0
BOLIVAR,AHUYAMA,2007,160.0,1290.0,8.06
BOLIVAR,AHUYAMA,2009,494.0,5031.0,10.18
BOLIVAR,AHUYAMA,2012,488.0,4733.0,9.7
BOLIVAR,AHUYAMA,2013,662.0,8020.0,12.11
BOLIVAR,AHUYAMA,2018,1085.0,13236.49,12.2
BOLIVAR,AHUYAMA,2019,2612.5,31782.75,12.17
BOLIVAR,AJI DULCE,2018,821.0,6381.67,7.77
BOLIVAR,ARROZ RIEGO,2012,4370.0,25646.0,5.87
BOLIVAR,ARROZ RIEGO,2022,3925.0,19673.3,5.01
BOLIVAR,ARROZ SECANO MANUAL,2022,12808.0,39904.44,3.12
BOLIVAR,ARROZ SECANO MECANIZADO,2012,15175.0,73520.5,4.84
BOLIVAR,ARROZ SECANO MECANIZADO,2013,16795.0,77111.5,4.59
BOLIVAR,ARROZ SECANO MECANIZADO,2018,10923.41,38792.39,3.55
BOLIVAR,ARROZ SECANO MECANIZADO,2019,24591.96,118256.02,4.8100000000000005
BOLIVAR,BERENJENA,2009,18.0,196.0,10.89
BOLIVAR,CACAO,2020,4638.0,2677.65,0.58
BOLIVAR,CACAO,2023,7159.7,4203.8,0.59
BOLIVAR,CAFE,2009,770.0,292.6,0.38
BOLIVAR,CAÑA PANELERA,2008,944.0,7309.6,7.74
BOLIVAR,CIRUELA,2012,37.0,74.0,2.0
BOLIVAR,CIRUELA,2022,32.0,215.0,6.72
BOLIVAR,COL,2014,9.0,20.5,2.2800000000000002
BOLIVAR,COL,2015,8.0,18.5,2.31
BOLIVAR,EUCALIPTO BABY BLUE,2017,0.0,0.0,0.0
BOLIVAR,FRIJOL,2021,6377.0,8235.19,1.29
BOLIVAR,FRIJOL ARBUSTIVO,2018,30.0,27.27,0.91
BOLIVAR,GUANABANA,2008,10.0,150.0,15.0
BOLIVAR,GUAYABA,2015,383.0,4439.0,11.59
BOLIVAR,HORTALIZAS VARIAS,2010,18.0,54.0,3.0
BOLIVAR,HORTALIZAS VARIAS,2020,51.1,59.76,1.17
BOLIVAR,HORTALIZAS VARIAS,2023,5.0,8.0,1.6
BOLIVAR,JATROPHA,2015,0.0,0.0,0.0
BOLIVAR,LIMON,2007,11.0,154.0,14.0
BOLIVAR,LIMON,2009,69.0,914.0,13.25
BOLIVAR,LIMON,2016,67.5,653.3,9.68
BOLIVAR,LIMON,2017,60.0,606.0,10.1
BOLIVAR,MAIZ BLANCO TECNIFICADO,2022,26927.0,63227.7,2.35
BOLIVAR,MAIZ TRADICIONAL,2020,60174.0,123195.7,2.05
BOLIVAR,MAIZ TRADICIONAL,2023,39417.7,74577.62,1.8900000000000001
BOLIVAR,MANDARINA,2021,33.0,330.0,10.0
BOLIVAR,MANGO,2014,1133.0,15458.0,13.64
BOLIVAR,MANGO,2015,1446.0,18065.5,12.49
BOLIVAR,MANGO,2021,4068.22,51738.53,12.72
BOLIVAR,MELON,2019,298.0,3867.0,12.98
BOLIVAR,ÑAME DIAMANTE,2021,5930.0,55080.0,9.29
BOLIVAR,NARANJA,2022,352.74,4068.1,11.53
BOLIVAR,NARANJA VALENCIA,2021,59.72,596.97,10.0
BOLIVAR,NISPERO,2010,20.0,200.0,10.0
BOLIVAR,NISPERO,2011,20.0,200.0,10.0
BOLIVAR,NISPERO,2016,14.0,70.0,5.0
BOLIVAR,NISPERO,2020,13.0,65.0,5.0
BOLIVAR,NISPERO,2023,14.0,94.0,6.71
BOLIVAR,OTROS CÍTRICOS,2019,215.0,3165.0,14.72
BOLIVAR,PALMA DE ACEITE,2019,35680.0,117209.64,3.29
BOLIVAR,PAPAYA,2012,3.0,24.0,8.0
BOLIVAR,PAPAYA,2019,16.0,593.0,37.06
BOLIVAR,PAPAYA HAWAIANA,2020,7.0,350.0,50.0
BOLIVAR,PAPAYA HAWAIANA,2023,11.0,283.0,25.73
BOLIVAR,PATILLA,2006,0.0,0.0,0.0
BOLIVAR,PATILLA,2007,215.0,1358.0,6.32
BOLIVAR,PATILLA,2010,101.0,870.0,8.61
BOLIVAR,PATILLA,2011,148.0,1379.0,9.32
BOLIVAR,PATILLA,2016,100.0,1041.0,10.41
BOLIVAR,PATILLA,2017,336.0,4299.0,12.79
BOLIVAR,PIMENTON,2016,3.0,15.0,5.0
BOLIVAR,PIMENTON,2017,5.0,25.0,5.0
BOLIVAR,PIÑA,2013,201.0,2412.0,12.0
BOLIVAR,PIÑA,2018,290.5,3906.0,13.45
BOLIVAR,PIÑA,2019,287.5,3524.25,12.26
BOLIVAR,PITAHAYA,2014,25.0,100.0,4.0
BOLIVAR,PITAHAYA,2015,25.0,100.0,4.0
BOLIVAR,PLATANO,2020,8671.5,83150.39,9.59
BOLIVAR,POMELO,2021,9.56,116.42,12.18
BOLIVAR,TABACO RUBIO,2011,400.0,560.0,1.4
BOLIVAR,TABACO RUBIO,2016,750.0,1125.0,1.5
BOLIVAR,TABACO RUBIO,2017,300.0,450.0,1.5
BOLIVAR,YUCA,2022,34067.3,336847.4,9.89
BOLIVAR,AJI,2021,2470.2,10821.4,4.38
BOLIVAR,AJI TABASCO,2008,65.0,390.0,6.0
BOLIVAR,AJI TABASCO,2014,42.0,171.0,4.07
BOLIVAR,AJI TABASCO,2015,56.0,290.5,5.19
BOLIVAR,AJONJOLI,2021,2352.0,1810.0,0.77
BOLIVAR,ALGODON,2006,0.0,0.0,0.0
BOLIVAR,ALGODON,2009,2504.07,3490.0,1.3900000000000001
BOLIVAR,ARROZ SECANO MANUAL,2008,5011.0,8710.0,1.74
BOLIVAR,ARROZ SECANO MECANIZADO,2022,22253.0,88537.97,3.98
BOLIVAR,BATATA,2020,7.0,50.0,7.14
BOLIVAR,BATATA,2023,12.0,60.0,5.0
BOLIVAR,BERENJENA,2006,0.0,0.0,0.0
BOLIVAR,BERENJENA,2007,25.0,280.0,11.2
BOLIVAR,BERENJENA,2011,25.0,210.0,8.4
BOLIVAR,BERENJENA,2016,26.0,160.0,6.15
BOLIVAR,BERENJENA,2017,21.0,124.0,5.9
BOLIVAR,CACAO,2007,1545.0,557.7,0.36
BOLIVAR,CACAO,2012,5143.0,2737.09,0.53
BOLIVAR,CACAO,2013,5496.0,2390.0,0.43
BOLIVAR,CACAO,2018,6860.0,3176.0,0.46
BOLIVAR,CAFE,2007,502.0,446.0,0.89
BOLIVAR,CAFE,2010,850.0,510.0,0.6
BOLIVAR,CAFE,2011,850.0,510.0,0.6
BOLIVAR,CAFE,2016,1065.97,1128.32,1.06
BOLIVAR,CAFE,2017,1137.42,748.97,0.66
BOLIVAR,CAFE,2020,1257.0,1078.8,0.86
BOLIVAR,CAFE,2023,1313.17,967.33,0.74
BOLIVAR,CAÑA PANELERA,2014,1189.0,10754.0,9.04
BOLIVAR,CAÑA PANELERA,2015,1072.0,9029.4,8.42
BOLIVAR,CAÑA PANELERA,2021,2474.76,128915.28,52.09
BOLIVAR,CAUCHO,2009,0.0,0.0,0.0
BOLIVAR,CAUCHO,2017,178.0,65.4,0.37
BOLIVAR,CILANTRO,2014,4.0,8.0,2.0
BOLIVAR,CILANTRO,2021,4.0,40.0,10.0
BOLIVAR,CIRUELA,2013,37.0,74.0,2.0
BOLIVAR,CIRUELA,2018,35.0,70.0,2.0
BOLIVAR,CIRUELA,2019,30.0,300.0,10.0
BOLIVAR,CITRICOS,2016,130.0,1950.0,15.0
BOLIVAR,CITRICOS,2017,130.0,1950.0,15.0
BOLIVAR,COCO,2010,494.0,3288.0,6.66
BOLIVAR,COCO,2011,489.0,3346.0,6.84
BOLIVAR,COCO,2020,258.0,2240.2,8.68
BOLIVAR,COCO,2023,255.0,2289.8,8.98
BOLIVAR,FRIJOL,2006,0.0,0.0,0.0
BOLIVAR,FRIJOL,2007,2752.0,2028.0,0.74
BOLIVAR,FRIJOL,2009,3269.0,2216.5,0.68
BOLIVAR,FRIJOL,2018,2472.0,2178.0,0.88
BOLIVAR,FRIJOL,2019,2928.0,2867.91,0.98
BOLIVAR,GUANABANA,2014,27.0,264.0,9.78
BOLIVAR,GUANABANA,2015,29.0,227.0,7.83
BOLIVAR,GUAYABA,2014,505.0,6039.5,11.96
BOLIVAR,GUAYABA,2021,87.0,428.0,4.92
BOLIVAR,HORTALIZAS VARIAS,2011,27.0,157.0,5.8100000000000005
BOLIVAR,HORTALIZAS VARIAS,2016,21.0,103.0,4.9
BOLIVAR,HORTALIZAS VARIAS,2017,17.0,51.0,3.0
BOLIVAR,JATROPHA,2014,0.0,0.0,0.0
BOLIVAR,LIMON,2010,74.0,990.0,13.38
BOLIVAR,LIMON,2011,134.0,1734.0,12.94
BOLIVAR,LIMON,2020,50.0,656.0,13.12
BOLIVAR,LIMON,2023,394.45,4239.85,10.75
