Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
BOYACA,ACELGA,2014,0.24,0.07,0.28
BOYACA,ACELGA,2015,4.24,32.27,7.61
BOYACA,ACHIRA,2021,56.0,156.0,2.79
BOYACA,AGRAZ,2012,200.0,1200.0,6.0
BOYACA,AGRAZ,2013,120.0,480.0,4.0
BOYACA,AGRAZ,2018,306.3,557.95,1.8199999999999998
BOYACA,AGRAZ,2022,295.5,717.5,2.43
BOYACA,AGUACATE,2007,127.0,1134.0,8.93
BOYACA,AGUACATE,2010,115.5,1234.0,10.68
BOYACA,AGUACATE,2011,154.46,1565.95,10.14
BOYACA,AGUACATE,2016,307.5,2039.6,6.63
BOYACA,AGUACATE,2017,450.1,3910.8,8.69
BOYACA,AGUACATE,2020,1120.6,6393.25,5.71
BOYACA,AGUACATE,2023,1120.85,9659.5,8.62
BOYACA,AGUACATE PAPELILLO,2020,194.0,1954.0,10.07
BOYACA,AGUACATE PAPELILLO,2023,63.8,882.0,13.82
BOYACA,AHUYAMA,2006,0.0,0.0,0.0
BOYACA,AHUYAMA,2007,48.5,273.75,5.64
BOYACA,AHUYAMA,2009,140.0,1359.75,9.71
BOYACA,AHUYAMA,2017,87.9,1106.5,12.59
BOYACA,AJI,2014,2.0,12.0,6.0
BOYACA,AJO,2014,15.0,70.0,4.67
BOYACA,AJO,2015,6.3,59.4,9.43
BOYACA,ARAZA,2014,5.0,25.0,5.0
BOYACA,ARAZA,2021,13.0,70.5,5.42
BOYACA,ARRACACHA,2008,561.8,6041.0,10.75
BOYACA,ARROZ SECANO MANUAL,2020,570.0,2789.0,4.89
BOYACA,ARVEJA,2013,5147.03,7421.74,1.44
BOYACA,ARVEJA,2018,5060.0,4681.07,0.93
BOYACA,ARVEJA,2019,5712.42,8731.93,1.53
BOYACA,AVENA,2010,172.25,337.3,1.96
BOYACA,AVENA,2011,178.0,353.0,1.98
BOYACA,AVENA,2016,954.5,2326.45,2.44
BOYACA,AVENA,2020,1180.5,3259.6,2.76
BOYACA,AVENA,2023,805.0,2048.0,2.54
BOYACA,BANANITO,2014,13.0,38.0,2.92
BOYACA,BANANITO,2015,14.0,40.0,2.86
BOYACA,BANANO,2014,329.0,2054.5,6.24
BOYACA,BANANO,2015,323.0,2024.5,6.27
BOYACA,BROCOLI,2021,49.5,803.4,16.23
BOYACA,CACAO,2010,2393.0,1603.8,0.67
BOYACA,CACAO,2011,2345.12,1602.01,0.68
BOYACA,CACAO,2020,4537.0,2346.64,0.52
BOYACA,CACAO,2023,4552.5,2483.39,0.55
BOYACA,CAFE,2009,10672.5,8567.97,0.8
BOYACA,CALABACIN,2018,20.0,296.46,14.82
BOYACA,CALABAZA,2019,166.0,3495.5,21.06
BOYACA,CAÑA MIEL,2014,3037.2,11639.68,3.83
BOYACA,CAÑA MIEL,2015,3190.4,13171.09,4.13
BOYACA,CAÑA PANELERA,2008,14570.0,192831.15,13.23
BOYACA,CEBADA,2008,1765.5,2802.55,1.5899999999999999
BOYACA,CEBADA,2014,888.4,1383.83,1.56
BOYACA,CEBADA,2015,626.7,947.88,1.51
BOYACA,CEBOLLA DE BULBO,2018,3511.0,94218.41,26.84
BOYACA,CEBOLLA DE BULBO,2019,5798.3,136006.24,23.46
BOYACA,CEBOLLA DE RAMA,2012,2581.37,98131.48,38.02
BOYACA,CEBOLLA DE RAMA,2022,3363.2,133693.4,39.75
BOYACA,CENTENO,2010,5.0,5.0,1.0
BOYACA,CHACHAFRUTO,2007,10.0,50.0,5.0
BOYACA,CHIRIMOYA,2019,119.0,1301.0,10.93
BOYACA,CILANTRO,2009,14.0,102.5,7.32
BOYACA,CIRUELA,2012,642.0,6683.96,10.41
BOYACA,CIRUELA,2022,921.43,13393.24,14.54
BOYACA,CITRICOS,2009,690.0,11240.8,16.29
BOYACA,CLAVEL,2007,18.88,188.8,10.0
BOYACA,CLAVEL,2010,29.0,290.0,10.0
BOYACA,CLAVEL,2011,33.0,33.0,1.0
BOYACA,CLAVEL,2016,32.0,32.0,1.0
BOYACA,CLAVEL,2017,29.0,290.0,10.0
BOYACA,COLIFLOR,2018,4.0,48.0,12.0
BOYACA,DATIL,2020,7.0,42.0,6.0
BOYACA,DURAZNO,2013,769.7,12860.7,16.71
BOYACA,DURAZNO,2018,925.6,14255.86,15.4
BOYACA,DURAZNO,2019,747.9,13809.29,18.46
BOYACA,FEIJOA,2020,224.7,2043.74,9.1
BOYACA,FRAMBUESA,2019,1.4,6.0,4.29
BOYACA,FRESA,2012,37.0,504.0,13.62
BOYACA,FRESA,2013,39.9,542.2,13.59
BOYACA,FRESA,2018,143.3,2468.5,17.23
BOYACA,FRESA,2019,216.4,3506.47,16.2
BOYACA,FRIJOL,2021,9178.8,11785.35,1.28
BOYACA,FRIJOL ARBUSTIVO,2018,59.0,58.75,1.0
BOYACA,GRANADILLA,2012,54.0,956.0,17.7
BOYACA,GRANADILLA,2013,67.0,833.0,12.43
BOYACA,GRANADILLA,2022,93.15,893.95,9.6
BOYACA,GUATILA,2019,5.0,27.0,5.4
BOYACA,GUAYABA,2019,945.5,8713.5,9.22
BOYACA,GULUPA,2020,154.0,2703.0,17.55
BOYACA,GULUPA,2023,241.4,3854.12,15.97
BOYACA,HABICHUELA,2014,238.0,2958.0,12.43
BOYACA,HABICHUELA,2021,362.4,3002.6,8.29
BOYACA,HORTALIZAS VARIAS,2010,96.8,225.5,2.33
BOYACA,HORTALIZAS VARIAS,2011,72.44,196.11,2.71
BOYACA,HORTALIZAS VARIAS,2020,295.0,2880.45,9.76
BOYACA,HORTALIZAS VARIAS,2023,437.85,5095.4,11.64
BOYACA,LAUREL,2021,10.4,50.8,4.88
BOYACA,LIMA,2020,0.0,0.0,0.0
BOYACA,LIMON,2007,25.0,152.0,6.08
BOYACA,LIMON,2009,14.0,52.0,3.71
BOYACA,LIMON,2016,109.0,807.0,7.4
BOYACA,LIMON,2017,6.0,18.0,3.0
BOYACA,LIMON MANDARINO,2016,6.0,42.0,7.0
BOYACA,LIMON MANDARINO,2017,20.0,100.0,5.0
BOYACA,LIMON MANDARINO,2020,12.0,220.0,18.33
BOYACA,LIMON MANDARINO,2023,111.05,940.84,8.47
BOYACA,MAIZ BLANCO TECNIFICADO,2022,357.0,769.42,2.16
BOYACA,MAIZ FORRAJERO,2014,0.0,0.0,0.0
BOYACA,MAIZ FORRAJERO,2015,2.0,10.0,5.0
BOYACA,MAIZ TRADICIONAL,2010,13732.8,18136.49,1.32
BOYACA,MAIZ TRADICIONAL,2011,13377.48,18408.84,1.38
BOYACA,MAIZ TRADICIONAL,2020,8240.25,12339.79,1.5
BOYACA,MAIZ TRADICIONAL,2023,7644.1,11308.11,1.48
BOYACA,MALANGA,2008,6.0,90.0,15.0
BOYACA,MALANGA,2010,19.0,103.0,5.42
BOYACA,MALANGA,2011,33.0,98.0,2.9699999999999998
BOYACA,MALANGA,2016,24.0,95.0,3.96
BOYACA,MALANGA,2017,29.5,125.25,4.25
BOYACA,MAMONCILLO,2012,3.0,9.0,3.0
BOYACA,MAMONCILLO,2013,3.0,9.0,3.0
BOYACA,MANDARINA,2021,885.68,8443.71,9.53
BOYACA,MANDARINA ONECO,2023,371.0,5221.0,14.07
BOYACA,MANGO,2014,91.0,333.0,3.66
BOYACA,MANGO,2015,18.0,93.0,5.17
BOYACA,MANGO,2021,86.6,490.44,5.66
BOYACA,MANGOSTINO,2016,7.0,70.0,10.0
BOYACA,MANGOSTINO,2017,8.0,80.0,10.0
BOYACA,MANI,2021,144.0,94.2,0.65
BOYACA,MANZANA,2021,862.55,26008.25,30.15
BOYACA,MARACUYA,2015,23.0,180.0,7.83
BOYACA,MORA,2008,463.2,3385.9,7.31
BOYACA,MORA,2014,777.62,6241.15,8.03
BOYACA,MORA,2015,746.05,6292.09,8.43
BOYACA,NABO,2018,32.0,36.0,1.13
BOYACA,NABO,2019,11.0,87.0,7.91
BOYACA,NARANJA,2022,1358.04,15583.0,11.47
BOYACA,NARANJA VALENCIA,2021,52.17,708.77,13.59
BOYACA,OTROS CÍTRICOS,2019,370.0,4304.0,11.63
BOYACA,"OTROS CULTIVOS PARA CONDIMENTOS, BEBIDAS MEDICINALES Y AROMÁTICAS",2022,2.0,4.0,2.0
BOYACA,PAPA,2014,45411.92,825323.9,18.17
BOYACA,PAPA,2015,44155.35,791963.81,17.94
BOYACA,PAPA CHINA,2019,83.0,481.0,5.8
BOYACA,PAPA CRIOLLA,2012,894.34,15541.05,17.38
BOYACA,PAPA CRIOLLA,2013,1140.34,17508.05,15.35
BOYACA,PAPA CRIOLLA,2018,2507.0,35752.98,14.26
BOYACA,PAPA CRIOLLA,2022,3145.5,35574.8,11.31
BOYACA,PAPAYA,2013,35.5,712.0,20.06
BOYACA,PAPAYA,2018,26.0,458.0,17.62
BOYACA,PAPAYA,2019,21.0,336.0,16.0
BOYACA,PAPAYA HAWAIANA,2023,2.5,27.5,11.0
BOYACA,PAPAYUELA,2009,7.0,98.0,14.0
BOYACA,PATILLA,2011,19.0,840.0,44.21
BOYACA,PATILLA,2016,23.0,736.0,32.0
BOYACA,PATILLA,2017,10.0,320.0,32.0
BOYACA,PEPINO GUISO,2008,167.8,2199.9,13.11
BOYACA,PEPINO GUISO,2014,89.5,781.5,8.73
BOYACA,PEPINO GUISO,2015,161.8,2018.6,12.48
BOYACA,PERA,2010,1374.0,17799.0,12.95
BOYACA,PERA,2011,1287.47,15998.36,12.43
BOYACA,PERA,2020,1615.0,28012.5,17.35
BOYACA,PERA,2023,1710.57,37350.06,21.83
BOYACA,PIMENTON,2008,71.3,908.0,12.73
BOYACA,PIMENTON,2016,57.0,868.8,15.24
BOYACA,PIMENTON,2017,46.4,638.1,13.75
BOYACA,PIÑA,2013,83.0,803.0,9.67
BOYACA,PIÑA,2018,31.0,1733.0,55.9
BOYACA,PIÑA,2019,57.0,669.0,11.74
BOYACA,PITAHAYA,2018,367.6,2420.67,6.59
BOYACA,PITAHAYA,2019,295.0,2903.0,9.84
BOYACA,PLANTAS AROMATICAS,2007,20.0,10.0,0.5
BOYACA,PLANTAS AROMATICAS,2010,0.2,0.2,1.0
BOYACA,PLANTAS AROMATICAS,2011,1.0,1.0,1.0
BOYACA,PLANTAS AROMATICAS,2016,1.0,3.0,3.0
BOYACA,PLANTAS AROMATICAS,2017,9.2,31.55,3.43
BOYACA,PLANTAS AROMATICAS,2020,37.2,111.45,3.0
BOYACA,PLANTAS AROMATICAS,2023,40.3,298.4,7.4
BOYACA,PLANTAS MEDICINALES,2012,2.0,0.4,0.2
