Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
CALDAS,AGUACATE,2007,705.16,5471.2,7.76
CALDAS,AGUACATE,2009,954.4,8326.5,8.72
CALDAS,AGUACATE,2017,7890.4,81447.2,10.32
CALDAS,AGUACATE PAPELILLO,2022,1734.17,19648.05,11.33
CALDAS,AHUYAMA,2009,4.5,90.0,20.0
CALDAS,ALBAHACA,2014,13.0,212.8,16.37
CALDAS,ALBAHACA,2015,16.0,236.0,14.75
CALDAS,ARRACACHA,2022,0.0,0.0,0.0
CALDAS,ASPARRAGUS,2011,64.0,172.8,2.7
CALDAS,BANANO,2008,347.0,3169.0,9.13
CALDAS,BREVO,2010,11.0,132.0,12.0
CALDAS,BREVO,2016,4.0,48.0,12.0
CALDAS,BREVO,2020,5.0,55.0,11.0
CALDAS,BREVO,2023,1.0,8.0,8.0
CALDAS,BROCOLI,2010,0.4,6.0,15.0
CALDAS,BROCOLI,2011,0.33,5.49,16.64
CALDAS,CACAO,2007,976.63,642.33,0.66
CALDAS,CACAO,2010,2159.5,1518.55,0.7
CALDAS,CACAO,2011,2185.68,1601.01,0.73
CALDAS,CACAO,2016,2641.0,1416.05,0.54
CALDAS,CACAO,2017,3412.4,1844.25,0.54
CALDAS,CAFE,2021,88953.68,96706.13,1.09
CALDAS,CAÑA AZUCARERA,2013,2741.0,261093.0,95.25
CALDAS,CAÑA AZUCARERA,2018,2377.67,366900.19,154.31
CALDAS,CAÑA AZUCARERA,2019,3147.0,352511.0,112.01
CALDAS,CAUCHO,2014,946.74,1549.98,1.6400000000000001
CALDAS,CAUCHO,2015,959.7,1228.18,1.28
CALDAS,CEBOLLA DE RAMA,2012,50.0,1536.6,30.73
CALDAS,CEBOLLA DE RAMA,2013,109.38,3338.46,30.52
CALDAS,CEBOLLA DE RAMA,2018,273.1,6746.18,24.7
CALDAS,CEBOLLA DE RAMA,2019,153.0,4230.0,27.65
CALDAS,CENTENO,2013,0.0,0.0,0.0
CALDAS,CHONTADURO,2013,13.0,52.0,4.0
CALDAS,CHONTADURO,2022,58.0,1102.0,19.0
CALDAS,CILANTRO,2021,43.62,361.66,8.29
CALDAS,ESPARRAGO,2007,200.0,1569.0,7.84
CALDAS,ESPARRAGO,2013,23.0,69.0,3.0
CALDAS,ESPARRAGO,2022,82.0,328.0,4.0
CALDAS,FEIJOA,2010,27.0,351.0,13.0
CALDAS,FEIJOA,2011,3.0,12.0,4.0
CALDAS,FEIJOA,2016,2.0,16.0,8.0
CALDAS,FEIJOA,2020,1.0,5.5,5.5
CALDAS,FIQUE,2010,198.0,204.14,1.03
CALDAS,FIQUE,2011,344.0,389.6,1.13
CALDAS,FIQUE,2016,32.0,37.0,1.16
CALDAS,FIQUE,2020,10.0,14.0,1.4
CALDAS,FIQUE,2023,12.0,17.0,1.42
CALDAS,FLORES Y FOLLAJES,2014,14.0,50.5,3.61
CALDAS,FLORES Y FOLLAJES,2015,13.0,35.0,2.69
CALDAS,FRESA,2019,14.0,525.0,37.5
CALDAS,FRIJOL,2008,2412.96,3008.69,1.25
CALDAS,FRIJOL,2014,1425.4,2767.02,1.94
CALDAS,FRIJOL,2015,1179.8,2189.97,1.8599999999999999
CALDAS,FRIJOL LADERA,2013,5.6,1.5699999999999998,0.28
CALDAS,FRIJOL VOLUBLE,2014,78.4,131.4,1.6800000000000002
CALDAS,FRIJOL VOLUBLE,2015,96.8,140.08,1.45
CALDAS,FRUTALES VARIOS,2011,5.0,20.0,4.0
CALDAS,FRUTALES VARIOS,2016,4.0,16.0,4.0
CALDAS,FRUTALES VARIOS,2020,0.5,10.0,20.0
CALDAS,GRANADILLA,2013,132.0,1235.1,9.36
CALDAS,GRANADILLA,2018,29.0,314.4,10.84
CALDAS,GRANADILLA,2019,24.0,204.0,8.5
CALDAS,GUANABANA,2022,138.5,1199.3,8.66
CALDAS,GUAYABA,2020,636.5,7773.6,12.21
CALDAS,GULUPA,2016,0.7,5.6,8.0
CALDAS,GULUPA,2017,17.9,317.0,17.71
CALDAS,GULUPA,2020,40.0,815.0,20.38
CALDAS,GULUPA,2023,57.3,830.7,14.5
CALDAS,HABICHUELA,2008,11.0,83.0,7.55
CALDAS,HABICHUELA,2014,23.0,124.8,5.43
CALDAS,HABICHUELA,2015,30.3,162.9,5.38
CALDAS,HORTALIZAS VARIAS,2007,0.0,0.0,0.0
CALDAS,HORTALIZAS VARIAS,2010,40.6,1299.0,32.0
CALDAS,HORTALIZAS VARIAS,2011,59.1,1363.0,23.06
CALDAS,HORTALIZAS VARIAS,2016,591.0,12796.0,21.65
CALDAS,HORTALIZAS VARIAS,2017,568.0,13457.6,23.69
CALDAS,IRACA,2021,32.0,80.0,2.5
CALDAS,LECHUGA,2022,1.2,12.0,10.0
CALDAS,LIMA,2007,15.0,380.0,25.33
CALDAS,LIMA,2010,25.0,430.0,17.2
CALDAS,LIMA TAHITI,2018,12.0,48.0,4.0
CALDAS,LIMON,2009,26.0,598.0,23.0
CALDAS,LULO,2012,196.0,2365.5,12.07
CALDAS,LULO,2013,300.24,3436.72,11.45
CALDAS,LULO,2022,319.0,3515.0,11.02
CALDAS,MACADAMIA,2021,182.0,36.4,0.2
CALDAS,MAIZ FORRAJERO,2008,110.0,9500.0,86.36
CALDAS,MAIZ TECNIFICADO,2012,443.0,1752.6,3.96
CALDAS,MAIZ TRADICIONAL,2006,0.0,0.0,0.0
CALDAS,MAIZ TRADICIONAL,2007,2989.8,5227.19,1.75
CALDAS,MAIZ TRADICIONAL,2010,1898.0,3649.49,1.92
CALDAS,MAIZ TRADICIONAL,2011,1409.45,2813.62,2.0
CALDAS,MAIZ TRADICIONAL,2016,898.4,1930.25,2.15
CALDAS,MAIZ TRADICIONAL,2017,876.5,1660.43,1.8900000000000001
CALDAS,MANDARINA,2014,279.1,3762.4,13.48
CALDAS,MANDARINA,2015,270.6,3244.8,11.99
CALDAS,MANDARINA ONECO,2018,27.0,702.0,26.0
CALDAS,MANGO,2008,70.0,280.0,4.0
CALDAS,MANGOSTINO,2009,1.0,1.0,1.0
CALDAS,MORA,2008,193.7,1665.8,8.6
CALDAS,NARANJA,2012,671.8,13371.26,19.9
CALDAS,NARANJA,2013,818.59,13137.35,16.05
CALDAS,NARANJA,2018,102.0,2838.0,27.82
CALDAS,NARANJA,2022,30.7,521.58,16.99
CALDAS,PALMA DE ACEITE,2023,70.0,182.0,2.6
CALDAS,PAPA CRIOLLA,2014,22.0,214.0,9.73
CALDAS,PAPA CRIOLLA,2015,28.0,290.5,10.38
CALDAS,PEPINO COHOMBRO,2010,31.3,304.5,9.73
CALDAS,PEPINO COHOMBRO,2011,21.65,189.9,8.77
CALDAS,PEPINO COHOMBRO,2020,13.0,176.5,13.58
CALDAS,PEPINO COHOMBRO,2023,18.0,411.8,22.88
CALDAS,PLANTAS AROMATICAS,2017,8.0,4.0,0.5
