Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
CASANARE,ACHIOTE (BIJA),2007,4.0,21.0,5.25
CASANARE,AGUACATE,2009,12.0,143.5,11.96
CASANARE,AHUYAMA,2021,92.0,1182.0,12.85
CASANARE,APIO,2011,19.0,76.0,4.0
CASANARE,ARRACACHA,2012,41.0,288.0,7.02
CASANARE,ARRACACHA,2022,23.5,122.35,5.21
CASANARE,ARROZ RIEGO,2006,0.0,0.0,0.0
CASANARE,ARROZ RIEGO,2009,37066.0,204382.0,5.51
CASANARE,CACAO,2007,30.5,19.55,0.64
CASANARE,CACAO,2009,265.0,91.3,0.34
CASANARE,CACAO,2016,1029.5,511.75,0.5
CASANARE,CACAO,2017,810.5,414.92,0.51
CASANARE,CAFE,2012,2322.0,1718.25,0.74
CASANARE,CAFE,2013,2232.94,1338.56,0.6
CASANARE,CAFE,2018,2360.55,1629.25,0.69
CASANARE,CAFE,2022,2185.52,1727.67,0.79
CASANARE,CAÑA PANELERA,2022,335.3,12281.57,36.63
CASANARE,CAUCHO,2018,195.0,176.2,0.9
CASANARE,CEBOLLA DE RAMA,2018,7.0,28.39,4.06
CASANARE,CILANTRO,2014,1.2,4.5600000000000005,3.8
CASANARE,CITRICOS,2014,141.0,1721.4,12.21
CASANARE,FRIJOL,2014,95.0,77.8,0.82
CASANARE,FRIJOL,2015,80.6,55.96,0.69
CASANARE,FRUTALES VARIOS,2016,0.0,0.0,0.0
CASANARE,FRUTALES VARIOS,2017,10.0,10.0,1.0
CASANARE,GUANABANA,2022,1.0,3.0,3.0
CASANARE,GUANDUL,2010,21.0,42.0,2.0
CASANARE,GUANDUL,2011,10.0,20.0,2.0
CASANARE,GUAYABA,2010,30.0,300.0,10.0
CASANARE,GUAYABA,2020,0.0,0.0,0.0
CASANARE,GUAYABA,2023,7.8,43.6,5.59
CASANARE,HABICHUELA,2015,1.0,1.9,1.9
CASANARE,HORTALIZAS VARIAS,2016,2.0,5.0,2.5
CASANARE,LIMON TAHITI,2022,28.35,225.65,7.96
CASANARE,LULO,2012,26.0,208.0,8.0
CASANARE,LULO,2013,26.0,260.0,10.0
CASANARE,LULO,2018,171.25,2136.75,12.48
CASANARE,LULO,2022,109.0,1606.0,14.73
CASANARE,MAIZ TECNIFICADO,2012,1198.93,5779.51,4.82
CASANARE,MAIZ TECNIFICADO,2013,1315.0,6926.23,5.27
CASANARE,MAIZ TRADICIONAL,2006,0.0,0.0,0.0
CASANARE,MAIZ TRADICIONAL,2007,3891.0,5925.15,1.52
CASANARE,MAIZ TRADICIONAL,2009,3352.0,5202.81,1.55
CASANARE,MAIZ TRADICIONAL,2016,2313.7,4403.25,1.9
CASANARE,MAIZ TRADICIONAL,2017,2386.6,3985.67,1.67
CASANARE,MANDARINA,2014,4.0,5.6,1.4
CASANARE,MANDARINA,2015,4.0,5.6,1.4
CASANARE,MANGO,2008,5.0,17.0,3.4
CASANARE,MARACUYA,2010,145.25,2591.8,17.84
CASANARE,MARACUYA,2011,33.75,468.75,13.89
CASANARE,MARACUYA,2020,89.0,1351.0,15.18
CASANARE,MARACUYA,2023,148.0,2772.0,18.73
CASANARE,MELON,2021,122.0,1836.0,15.05
CASANARE,ÑAME,2012,4.0,9.2,2.3
