Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
CAUCA,ACELGA,2007,0.0,0.0,0.0
CAUCA,ACELGA,2016,32.0,661.2,20.66
CAUCA,ACELGA,2017,28.6,411.3,14.38
CAUCA,ACHIRA,2008,101.0,123.0,1.22
CAUCA,ACHIRA,2010,89.0,96.5,1.08
CAUCA,ACHIRA,2011,81.0,108.6,1.34
CAUCA,ACHIRA,2016,22.5,24.75,1.1
CAUCA,ACHIRA,2020,24.0,91.0,3.79
CAUCA,ACHIRA,2023,12.0,19.8,1.65
CAUCA,AGUACATE,2013,420.9,2757.64,6.55
CAUCA,AGUACATE,2018,882.3,4827.7,5.47
CAUCA,AGUACATE,2019,856.0,7659.0,8.95
CAUCA,AGUACATE PAPELILLO,2022,4.8,27.6,5.75
CAUCA,AHUYAMA,2019,190.2,2751.1,14.46
CAUCA,AJO,2008,9.0,53.0,5.89
CAUCA,ALBAHACA,2016,1.0,4.0,4.0
CAUCA,ALBAHACA,2017,2.0,8.0,4.0
CAUCA,ALGODON,2008,54.39,85.01,1.56
CAUCA,APIO,2022,1.8,1.96,1.09
CAUCA,ÁRBOL DE PAN O PEPA DEL PAN,2019,5.0,15.0,3.0
CAUCA,ARRACACHA,2009,56.5,180.0,3.19
CAUCA,ARROZ RIEGO,2013,2029.0,11431.0,5.63
CAUCA,ARROZ RIEGO,2018,4560.16,27531.46,6.04
CAUCA,ARROZ RIEGO,2019,2531.0,16821.44,6.65
CAUCA,ARROZ SECANO MANUAL,2012,389.14,536.24,1.38
CAUCA,ARROZ SECANO MANUAL,2013,418.57,593.92,1.42
CAUCA,ARROZ SECANO MANUAL,2018,149.0,555.38,3.73
CAUCA,ARROZ SECANO MANUAL,2022,500.0,1974.21,3.95
CAUCA,ARVEJA,2008,282.5,387.08,1.37
CAUCA,ARVEJA,2015,215.0,235.55,1.1
CAUCA,ASPARRAGUS,2012,58.0,232.0,4.0
CAUCA,ASPARRAGUS,2013,52.0,208.0,4.0
CAUCA,BANANO,2008,944.0,4493.0,4.76
CAUCA,BANANO,2011,723.0,3765.5,5.21
CAUCA,BANANO,2016,522.4,1875.0,3.59
CAUCA,BANANO,2017,446.9,2061.75,4.61
CAUCA,BATATA,2010,1.0,4.0,4.0
CAUCA,BATATA,2011,1.0,3.4,3.4
CAUCA,BROCOLI,2010,21.0,283.0,13.48
CAUCA,BROCOLI,2011,19.0,211.0,11.11
CAUCA,BROCOLI,2016,23.0,429.05,18.65
CAUCA,BROCOLI,2020,73.0,1660.8,22.75
CAUCA,BROCOLI,2023,112.0,2469.8,22.05
CAUCA,CACAO,2012,881.0,472.15,0.54
CAUCA,CACAO,2013,1359.06,716.14,0.53
CAUCA,CACAO,2022,3177.7,1746.58,0.55
CAUCA,CAÑA AZUCARERA,2012,42154.0,3675156.0,87.18
CAUCA,CAÑA AZUCARERA,2013,39365.0,3754168.0,95.37
CAUCA,CAÑA AZUCARERA,2018,32968.85,4545786.29,137.88
CAUCA,CAÑA AZUCARERA,2019,41001.0,4579069.0,111.68
CAUCA,CAÑA MIEL,2007,12.0,31.0,2.58
CAUCA,CAÑA PANELERA,2009,12847.02,59188.0,4.61
CAUCA,CARDAMOMO,2014,8.0,8.0,1.0
CAUCA,CARDAMOMO,2015,9.0,9.0,1.0
CAUCA,CARDAMOMO,2021,22.0,22.0,1.0
CAUCA,CEBOLLA DE RAMA,2014,175.2,1396.75,7.97
CAUCA,CEBOLLA DE RAMA,2015,161.05,1512.33,9.39
CAUCA,CEBOLLA DE RAMA,2021,490.28,3125.34,6.37
CAUCA,CHONTADURO,2021,5244.0,61694.2,11.76
CAUCA,CIMARRON,2019,18.0,9.0,0.5
CAUCA,COCO,2022,4624.5,33821.4,7.31
CAUCA,ESPINACA,2016,11.0,165.0,15.0
CAUCA,ESPINACA,2017,22.6,323.8,14.33
CAUCA,ESTROPAJO,2013,8.0,12.0,1.5
CAUCA,FIQUE,2012,6669.0,7458.0,1.12
CAUCA,FIQUE,2022,5272.0,3780.45,0.72
CAUCA,FLORES Y FOLLAJES,2014,47.0,465.7,9.91
CAUCA,FLORES Y FOLLAJES,2015,54.0,524.4,9.71
CAUCA,FRESA,2008,75.0,2137.0,28.49
CAUCA,FRESA,2015,143.0,2398.0,16.77
CAUCA,FRIJOL,2010,3576.0,4620.3,1.29
CAUCA,FRIJOL,2011,3054.87,3873.01,1.27
CAUCA,FRIJOL,2016,3360.8,4326.8,1.29
CAUCA,FRIJOL,2020,4808.08,12113.7,2.52
CAUCA,FRIJOL,2023,3571.8,6827.84,1.9100000000000001
