Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
CESAR,AHUYAMA,2012,926.0,15344.0,16.57
CESAR,AHUYAMA,2013,1141.0,20810.0,18.24
CESAR,AHUYAMA,2022,1677.9,15083.68,8.99
CESAR,AJI,2020,99.75,954.5,9.57
CESAR,AJONJOLI,2006,0.0,0.0,0.0
CESAR,AJONJOLI,2007,30.0,27.0,0.9
CESAR,AJONJOLI,2016,23.0,15.4,0.67
CESAR,ALGODON,2009,3776.38,10026.73,2.66
CESAR,ARRACACHA,2016,5.0,7.5,1.5
CESAR,ARRACACHA,2017,15.0,22.5,1.5
CESAR,ARROZ SECANO MECANIZADO,2021,1660.0,7901.6,4.76
CESAR,CAFE,2012,22911.0,19994.35,0.87
CESAR,CAFE,2013,25106.39,15050.27,0.6
CESAR,CAFE,2018,23915.45,14943.62,0.62
CESAR,CAFE,2019,20457.0,24308.88,1.19
CESAR,CAÑA PANELERA,2010,3766.7,16516.8,4.38
CESAR,CAÑA PANELERA,2011,3389.0,14844.0,4.38
CESAR,CAÑA PANELERA,2016,3861.0,15044.5,3.9
CESAR,CAÑA PANELERA,2020,4116.0,209264.0,50.84
CESAR,CAÑA PANELERA,2023,4609.0,251858.0,54.64
CESAR,CAUCHO,2009,0.0,0.0,0.0
CESAR,CEBOLLA DE BULBO,2014,150.0,2534.0,16.89
CESAR,CEBOLLA DE BULBO,2015,127.0,2265.0,17.83
CESAR,CEBOLLA DE BULBO,2021,532.0,8800.48,16.54
CESAR,CEBOLLA DE RAMA,2009,8.0,64.0,8.0
CESAR,CILANTRO,2013,99.0,591.5,5.97
CESAR,CILANTRO,2018,138.89,1005.28,7.24
CESAR,CILANTRO,2019,279.0,1953.0,7.0
CESAR,CITRICOS,2012,8.0,64.0,8.0
CESAR,CITRICOS,2018,1932.0,17740.88,9.18
CESAR,EUCALIPTO BABY BLUE,2012,20.0,40.0,2.0
CESAR,EUCALIPTO BABY BLUE,2013,20.0,60.0,3.0
CESAR,FRIJOL,2019,5717.0,7091.14,1.24
CESAR,FRIJOL LADERA,2017,0.0,0.0,0.0
CESAR,GUANABANA,2016,20.0,80.0,4.0
CESAR,GUANABANA,2017,20.0,120.0,6.0
CESAR,GUANABANA,2023,20.5,124.1,6.05
CESAR,JATROPHA,2011,0.0,0.0,0.0
CESAR,LIMON,2012,51.0,532.0,10.43
CESAR,LIMON,2013,93.0,1156.0,12.43
CESAR,LIMON,2022,161.59,1348.25,8.34
CESAR,LIMON PAJARITO,2021,21.0,261.5,12.45
CESAR,LIMON TAHITI,2020,12.0,120.0,10.0
CESAR,LIMON TAHITI,2023,157.42,1466.36,9.31
CESAR,LULO,2007,270.0,1727.0,6.4
CESAR,LULO,2016,408.0,2799.0,6.86
CESAR,LULO,2017,375.0,3091.0,8.24
CESAR,MAIZ TECNIFICADO,2006,0.0,0.0,0.0
CESAR,MAIZ TECNIFICADO,2007,7258.0,26792.0,3.69
CESAR,MAIZ TECNIFICADO,2016,3085.0,9030.0,2.93
CESAR,MAIZ TECNIFICADO,2017,5009.0,16575.0,3.31
CESAR,MARACUYA,2008,186.0,1720.0,9.25
CESAR,MARACUYA,2010,202.5,1866.0,9.21
CESAR,MARACUYA,2011,238.0,2108.0,8.86
CESAR,MARACUYA,2016,308.0,2464.0,8.0
CESAR,MELON,2014,689.0,6588.0,9.56
CESAR,MELON,2015,809.5,32243.0,39.83
CESAR,MORA,2020,229.0,1265.0,5.52
CESAR,MORA,2023,244.0,1320.0,5.41
CESAR,ÑAME,2007,135.0,2025.0,15.0
CESAR,ÑAME,2016,460.0,4600.0,10.0
CESAR,ÑAME,2017,434.0,4169.0,9.61
CESAR,PALMA DE ACEITE,2008,33667.5,124707.5,3.7
CESAR,PALMA DE ACEITE,2014,66446.0,212381.4,3.2
CESAR,PALMA DE ACEITE,2015,64805.5,206810.91,3.19
CESAR,PAPAYA,2021,118.0,2020.08,17.12
CESAR,PAPAYA HAWAIANA,2022,65.0,686.0,10.55
CESAR,PATILLA,2012,761.0,8401.7,11.04
CESAR,PATILLA,2022,661.1,8220.6,12.43
CESAR,PEPINO COHOMBRO,2014,31.0,411.0,13.26
CESAR,PEPINO COHOMBRO,2015,20.0,300.0,15.0
CESAR,PIMENTON,2007,25.5,264.0,10.35
CESAR,PIMENTON,2012,101.0,578.0,5.72
CESAR,PIMENTON,2013,34.0,102.0,3.0
CESAR,PIMENTON,2020,253.75,2533.9,9.99
CESAR,PIMENTON,2023,223.25,907.2,4.06
CESAR,PIÑA,2014,200.0,4000.0,20.0
CESAR,PIÑA,2021,312.0,8580.0,27.5
CESAR,PLATANO,2008,3145.0,17814.0,5.66
CESAR,SACHA INCHI,2020,5.0,4.0,0.8
CESAR,SACHA INCHI,2023,11.0,5.5,0.5
CESAR,SORGO,2006,0.0,0.0,0.0
CESAR,SORGO,2007,1120.0,3535.0,3.16
CESAR,SORGO,2009,513.0,1716.5,3.35
CESAR,SORGO,2017,10.0,20.0,2.0
CESAR,TOMATE,2006,0.0,0.0,0.0
CESAR,TOMATE,2007,479.0,8834.0,18.44
CESAR,TOMATE,2009,233.0,4854.0,20.83
CESAR,TOMATE,2017,548.6,6709.0,12.23
CESAR,TOMATE DE ARBOL,2009,301.0,2046.0,6.8
CESAR,YUCA,2007,7890.0,75336.0,9.55
CESAR,YUCA,2009,5093.0,46927.0,9.21
CESAR,YUCA,2017,4532.0,37437.37,8.26
CESAR,AGUACATE,2008,1884.0,11985.0,6.36
CESAR,AGUACATE,2015,2062.0,18205.0,8.83
CESAR,AHUYAMA,2018,1113.85,27572.15,24.75
CESAR,AHUYAMA,2019,1378.0,15451.0,11.21
CESAR,AJI,2006,0.0,0.0,0.0
CESAR,AJI,2009,78.0,832.0,10.67
CESAR,AJI,2018,194.42,2167.72,11.15
CESAR,AJI,2019,92.0,792.0,8.61
CESAR,ALGODON,2006,0.0,0.0,0.0
CESAR,ALGODON,2007,2899.0,6878.0,2.37
CESAR,ALGODON,2016,617.0,637.59,1.03
CESAR,ALGODON,2017,200.0,260.0,1.3
CESAR,ARROZ RIEGO,2008,21007.72,126603.0,6.03
CESAR,ARROZ RIEGO,2011,16658.28,76716.14,4.61
CESAR,ARROZ RIEGO,2016,15075.85,78823.27,5.23
CESAR,ARROZ RIEGO,2017,20711.97,92168.28,4.45
CESAR,ARROZ SECANO MANUAL,2017,250.0,1375.0,5.5
CESAR,ARROZ SECANO MECANIZADO,2006,0.0,0.0,0.0
CESAR,ARROZ SECANO MECANIZADO,2009,620.0,2960.4,4.77
CESAR,ARVEJA,2014,11.0,33.0,3.0
CESAR,BANANO,2018,5.0,25.0,5.0
CESAR,BANANO,2019,1555.0,23525.0,15.13
CESAR,CACAO,2012,6695.0,3849.9,0.58
CESAR,CACAO,2022,7917.5,5065.15,0.64
CESAR,CAFE,2022,20604.06,15830.57,0.77
CESAR,CAUCHO,2012,0.0,0.0,0.0
CESAR,CAUCHO,2013,0.0,0.0,0.0
CESAR,CAUCHO,2018,0.0,0.0,0.0
CESAR,CEBOLLA DE BULBO,2008,644.0,14120.0,21.93
CESAR,CEBOLLA DE RAMA,2021,380.5,5564.0,14.62
CESAR,COL,2008,6.0,36.0,6.0
CESAR,CURUBA,2023,1.0,5.0,5.0
CESAR,EUCALIPTO BABY BLUE,2018,53.0,371.0,7.0
CESAR,FRIJOL,2012,4868.0,3277.06,0.67
CESAR,FRIJOL,2013,6537.0,4595.73,0.7
CESAR,FRIJOL,2018,3341.04,2392.25,0.72
CESAR,FRIJOL ARBUSTIVO,2015,0.0,0.0,0.0
CESAR,FRIJOL LADERA,2016,50.0,40.0,0.8
CESAR,GUANABANA,2020,30.0,128.1,4.27
CESAR,GUAYABA,2021,0.0,0.0,0.0
CESAR,HABICHUELA,2011,0.5,1.25,2.5
CESAR,HABICHUELA,2020,64.0,247.0,3.86
CESAR,HABICHUELA,2023,57.0,227.6,3.99
CESAR,HORTALIZAS VARIAS,2022,36.0,57.6,1.6
CESAR,LIMON MANDARINO,2022,259.57,2457.76,9.47
CESAR,LULO,2010,98.5,703.0,7.14
CESAR,LULO,2011,52.0,360.0,6.92
CESAR,LULO,2020,440.0,3998.0,9.09
CESAR,LULO,2023,466.9,4276.8,9.16
CESAR,MAIZ FORRAJERO,2016,40.0,1200.0,30.0
CESAR,MAIZ FORRAJERO,2017,181.0,2368.0,13.08
CESAR,MAIZ TECNIFICADO,2010,4335.0,16028.5,3.7
CESAR,MAIZ TECNIFICADO,2011,2812.5,10918.0,3.88
CESAR,MAIZ TECNIFICADO,2020,9539.0,46385.8,4.86
CESAR,MAIZ TRADICIONAL,2012,28183.0,39190.1,1.3900000000000001
CESAR,MAIZ TRADICIONAL,2022,18247.5,38203.69,2.09
CESAR,MANDARINA,2023,2.0,20.0,10.0
CESAR,MANGO,2007,640.0,5910.0,9.23
CESAR,MANGO,2010,630.0,6070.0,9.63
CESAR,MANGO,2011,664.0,6162.0,9.28
CESAR,MANGO,2016,912.0,7755.0,8.5
CESAR,MANGO,2017,1199.0,10305.0,8.59
CESAR,MANGO,2020,1743.0,14646.0,8.4
CESAR,MANGO,2023,2174.0,21894.2,10.07
CESAR,MARACUYA,2017,326.0,2504.0,7.68
CESAR,MORA,2019,220.0,1221.0,5.55
CESAR,ÑAME,2009,198.0,2970.0,15.0
CESAR,ÑAME ESPINO,2022,26.9,274.3,10.2
CESAR,NARANJA,2021,733.5,9213.28,12.56
