Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
CHOCO,ACHIRA,2018,7.23,36.94,5.11
CHOCO,AJONJOLI,2018,30.0,42.0,1.4
CHOCO,ARROZ SECANO MANUAL,2006,0.0,0.0,0.0
CHOCO,ARROZ SECANO MANUAL,2007,10427.0,18676.0,1.79
CHOCO,ARROZ SECANO MANUAL,2009,12750.0,22509.1,1.77
CHOCO,ARROZ SECANO MANUAL,2017,18574.2,36382.84,1.96
CHOCO,ARROZ SECANO MECANIZADO,2021,35934.0,245259.12,6.83
CHOCO,BADEA,2022,13.0,52.0,4.0
CHOCO,BOROJO,2014,1530.0,6102.0,3.99
CHOCO,BOROJO,2022,1944.0,9914.8,5.1
CHOCO,CACAO,2008,959.5,304.1,0.32
CHOCO,CACAO,2016,4541.7,1850.44,0.41
CHOCO,CACAO,2017,4059.0,1663.65,0.41
CHOCO,CAFE,2012,70.0,140.0,2.0
CHOCO,CAFE,2013,125.01,105.93,0.85
CHOCO,CAFE,2018,140.33,181.42,1.29
CHOCO,CAFE,2022,144.14,157.68,1.09
CHOCO,CAÑA PANELERA,2010,1081.0,2108.2,1.95
CHOCO,CAÑA PANELERA,2011,2131.4,3612.78,1.7
CHOCO,CAÑA PANELERA,2020,2589.0,45459.0,17.56
CHOCO,CAÑA PANELERA,2023,4011.02,128642.18,32.07
CHOCO,CEBOLLA DE RAMA,2006,0.0,0.0,0.0
CHOCO,CEBOLLA DE RAMA,2007,21.0,420.0,20.0
CHOCO,CEBOLLA DE RAMA,2009,34.0,560.0,16.47
CHOCO,CEBOLLA DE RAMA,2017,52.0,780.0,15.0
CHOCO,CHONTADURO,2007,1332.0,9363.1,7.03
CHOCO,CHONTADURO,2011,860.6,2637.0,3.06
CHOCO,CHONTADURO,2016,392.5,435.75,1.11
CHOCO,CHONTADURO,2017,477.5,4227.0,8.85
CHOCO,CILANTRO,2012,30.0,98.0,3.27
CHOCO,CILANTRO,2013,31.0,89.0,2.87
CHOCO,CILANTRO,2018,7.0,56.0,8.0
CHOCO,COCO,2008,468.0,6009.5,12.84
CHOCO,COCO,2014,735.0,9198.0,12.51
CHOCO,COCO,2015,713.0,8942.0,12.54
