Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
CORDOBA,AGUACATE,2009,3.25,30.0,9.23
CORDOBA,AHUYAMA,2021,330.0,3972.78,12.04
CORDOBA,AJI DULCE,2010,2.8,56.0,20.0
CORDOBA,AJI TABASCO,2018,73.07,524.39,7.18
CORDOBA,AJONJOLI,2012,230.0,196.0,0.85
CORDOBA,AJONJOLI,2013,437.75,348.3,0.8
CORDOBA,AJONJOLI,2018,15.2,10.81,0.71
CORDOBA,ARROZ RIEGO,2009,4223.0,23469.0,5.5600000000000005
CORDOBA,ARROZ RIEGO,2019,4701.5,26243.31,5.58
CORDOBA,ARROZ SECANO MANUAL,2006,0.0,0.0,0.0
CORDOBA,ARROZ SECANO MANUAL,2007,6740.0,10452.7,1.55
CORDOBA,ARROZ SECANO MANUAL,2009,8178.45,12527.63,1.53
CORDOBA,ARROZ SECANO MANUAL,2018,15698.73,29771.98,1.9
CORDOBA,ARROZ SECANO MANUAL,2019,15617.85,35832.97,2.29
CORDOBA,BATATA,2008,5.0,25.0,5.0
CORDOBA,BATATA,2011,10.0,50.0,5.0
CORDOBA,BATATA,2016,90.0,1745.0,19.39
CORDOBA,BATATA,2017,84.0,1681.5,20.02
CORDOBA,BERENJENA,2014,152.5,661.25,4.34
CORDOBA,BERENJENA,2015,187.0,1269.35,6.79
CORDOBA,CACAO,2007,567.0,345.0,0.61
CORDOBA,CACAO,2009,505.5,311.52,0.62
CORDOBA,CACAO,2017,2155.0,1327.52,0.62
CORDOBA,CALABAZA,2020,1.13,1.01,0.9
CORDOBA,CAÑA FLECHA,2009,55.0,60.0,1.09
CORDOBA,CAÑA PANELERA,2012,350.0,1160.0,3.31
CORDOBA,CAÑA PANELERA,2022,573.0,16390.0,28.6
CORDOBA,CAUCHO,2015,780.0,468.0,0.6
CORDOBA,CITRICOS,2014,100.0,1500.0,15.0
CORDOBA,CITRICOS,2015,100.0,1500.0,15.0
CORDOBA,COCO,2007,1514.0,8100.0,5.35
CORDOBA,COCO,2010,1896.0,13071.4,6.89
CORDOBA,COCO,2011,989.5,7777.1,7.86
CORDOBA,COCO,2016,3287.3,23861.15,7.26
CORDOBA,COCO,2017,2770.8,15357.4,5.54
CORDOBA,COCO,2020,3136.0,17684.58,5.64
CORDOBA,COCO,2023,3537.0,38609.5,10.92
CORDOBA,CULTIVOS TROPICALES TRADICIONALES,2023,200.0,3200.0,16.0
CORDOBA,FRIJOL,2008,718.0,702.69,0.98
CORDOBA,FRIJOL,2015,1088.0,939.42,0.86
CORDOBA,GUANABANA,2012,17.3,69.2,4.0
CORDOBA,GUANABANA,2013,13.0,52.0,4.0
CORDOBA,GUANABANA,2022,31.0,316.0,10.19
CORDOBA,GUANDUL,2016,6.5,7.25,1.12
CORDOBA,GUANDUL,2020,2.0,2.0,1.0
CORDOBA,GUAYABA,2010,79.0,738.0,9.34
CORDOBA,GUAYABA,2011,86.0,759.0,8.83
CORDOBA,GUAYABA,2020,281.0,6320.0,22.49
CORDOBA,GUAYABA,2023,325.0,7386.0,22.73
CORDOBA,HABICHUELA,2008,37.7,311.0,8.25
CORDOBA,HORTALIZAS VARIAS,2017,60.3,504.25,8.36
CORDOBA,LIMON,2021,85.5,550.5,6.44
CORDOBA,LIMON TAHITI,2022,104.7,1256.4,12.0
CORDOBA,MAIZ TECNIFICADO,2012,30489.0,140904.55,4.62
CORDOBA,MAIZ TECNIFICADO,2013,37054.5,179379.95,4.84
CORDOBA,MAIZ TECNIFICADO,2018,19753.39,80827.04,4.09
CORDOBA,MAIZ TECNIFICADO,2019,25994.0,130545.4,5.02
CORDOBA,MAIZ TRADICIONAL,2006,0.0,0.0,0.0
CORDOBA,MAIZ TRADICIONAL,2007,32878.5,57017.0,1.73
CORDOBA,MAIZ TRADICIONAL,2009,30696.2,55855.9,1.8199999999999998
CORDOBA,MAIZ TRADICIONAL,2017,34399.6,59064.42,1.72
CORDOBA,MARACUYA,2012,392.5,5413.7,13.79
CORDOBA,MARACUYA,2020,410.5,5177.0,12.61
CORDOBA,MARACUYA,2023,436.4,5737.0,13.15
CORDOBA,MARAÑON,2008,378.0,567.0,1.5
CORDOBA,MARAÑON,2014,705.0,2820.0,4.0
CORDOBA,MARAÑON,2015,720.0,2895.0,4.02
CORDOBA,MELON,2016,6.0,84.0,14.0
CORDOBA,MELON,2023,1.8,21.6,12.0
CORDOBA,ÑAME,2012,10944.55,105456.27,9.64
CORDOBA,ÑAME,2013,11487.8,113998.5,9.92
CORDOBA,ÑAME,2018,11080.0,132677.2,11.97
