Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
GUAINIA,AHUYAMA,2019,5.0,40.0,8.0
GUAINIA,ARAZA,2014,3.8,41.8,11.0
GUAINIA,ARAZA,2015,3.8,41.8,11.0
GUAINIA,ASAI,2019,0.0,0.0,0.0
GUAINIA,CACAO,2012,60.0,15.0,0.25
GUAINIA,CACAO,2013,93.0,27.9,0.3
GUAINIA,CACAO,2022,1640.0,509.8,0.31
GUAINIA,CAUCHO,2014,0.0,0.0,0.0
GUAINIA,CAUCHO,2015,0.0,0.0,0.0
GUAINIA,CHONTADURO,2022,1.0,3.0,3.0
GUAINIA,COPOAZU,2019,1.0,4.0,4.0
GUAINIA,MAIZ TRADICIONAL,2012,249.75,416.8,1.67
GUAINIA,MAIZ TRADICIONAL,2013,258.0,395.9,1.53
GUAINIA,MAIZ TRADICIONAL,2022,104.5,154.4,1.48
GUAINIA,OTROS CÍTRICOS,2019,2.0,37.0,18.5
GUAINIA,PLATANO,2012,286.0,1944.8,6.8
GUAINIA,PLATANO,2022,91.0,696.5,7.65
GUAINIA,YUCA,2022,1915.0,13432.5,7.01
GUAINIA,AJI,2014,13.8,24.0,1.74
GUAINIA,AJI,2015,14.0,25.0,1.79
GUAINIA,AJI,2021,68.0,500.0,7.35
GUAINIA,ASAI,2022,24.0,147.0,6.13
GUAINIA,BOROJO,2019,0.0,0.0,0.0
GUAINIA,CACAO,2018,200.0,87.0,0.44
GUAINIA,CACAO,2019,785.0,392.5,0.5
GUAINIA,CAÑA PANELERA,2016,3.0,18.0,6.0
GUAINIA,CITRICOS,2018,4.0,30.0,7.5
GUAINIA,LIMON,2016,5.0,12.5,2.5
GUAINIA,MAIZ BLANCO TECNIFICADO,2022,3.5,7.0,2.0
GUAINIA,MAIZ TRADICIONAL,2018,298.0,679.0,2.2800000000000002
GUAINIA,MAIZ TRADICIONAL,2019,38.0,98.0,2.58
GUAINIA,OTROS CÍTRICOS,2020,3.48,57.29,16.46
GUAINIA,PIÑA,2014,87.0,136.0,1.56
GUAINIA,PIÑA,2015,87.0,136.0,1.56
GUAINIA,PIÑA,2021,270.0,4050.0,15.0
GUAINIA,PLATANO,2013,320.0,2176.0,6.8
GUAINIA,PLATANO,2018,497.5,3074.5,6.18
GUAINIA,PLATANO,2019,169.0,1592.0,9.42
GUAINIA,YUCA,2014,1570.1,9939.58,6.33
GUAINIA,YUCA,2015,1070.0,6682.0,6.24
GUAINIA,YUCA INDUSTRIAL,2016,985.0,10232.0,10.39
GUAINIA,AJI,2018,18.0,18.0,1.0
GUAINIA,BOROJO,2022,1.0,3.0,3.0
GUAINIA,CACAO,2020,1591.0,411.38,0.26
GUAINIA,CAÑA MIEL,2019,9.0,63.0,7.0
GUAINIA,CAÑA PANELERA,2015,3.0,18.0,6.0
GUAINIA,CAUCHO,2016,0.0,0.0,0.0
GUAINIA,CAUCHO,2017,30.0,45.0,1.5
GUAINIA,CITRICOS,2017,2.0,2.0,1.0
GUAINIA,LIMON,2015,5.0,12.5,2.5
GUAINIA,MAIZ TRADICIONAL,2020,111.0,216.5,1.95
GUAINIA,NARANJA JAFFA,2021,12.96,204.4,15.77
GUAINIA,PATILLA,2014,2.0,34.0,17.0
GUAINIA,PATILLA,2015,8.0,120.0,15.0
GUAINIA,PIÑA,2018,178.5,3034.5,17.0
GUAINIA,PIÑA,2019,115.0,1675.0,14.57
GUAINIA,YUCA,2020,2237.0,20300.0,9.07
GUAINIA,YUCA INDUSTRIAL,2017,120.0,1200.0,10.0
GUAINIA,AJI,2022,35.0,255.0,7.29
GUAINIA,ARAZA,2021,2.0,18.0,9.0
GUAINIA,CACAO,2007,54.0,16.0,0.3
GUAINIA,CACAO,2010,60.0,15.0,0.25
GUAINIA,CACAO,2011,60.0,15.0,0.25
GUAINIA,CACAO,2016,198.0,79.2,0.4
GUAINIA,CACAO,2017,250.0,108.5,0.43
GUAINIA,CACAO,2023,1640.0,199.6,0.12
GUAINIA,CAÑA MIEL,2020,10.25,146.75,14.32
GUAINIA,CAÑA MIEL,2023,12.75,116.25,9.12
GUAINIA,CAÑA PANELERA,2014,3.0,18.0,6.0
GUAINIA,CHONTADURO,2021,2.0,6.0,3.0
GUAINIA,CITRICOS,2016,2.0,2.0,1.0
GUAINIA,COPOAZU,2022,2.0,4.5,2.25
GUAINIA,LIMON,2014,5.0,12.5,2.5
GUAINIA,MAIZ TRADICIONAL,2007,342.0,594.0,1.74
GUAINIA,MAIZ TRADICIONAL,2010,521.0,937.8,1.8
GUAINIA,MAIZ TRADICIONAL,2011,300.0,515.8,1.72
GUAINIA,MAIZ TRADICIONAL,2016,112.5,218.5,1.94
GUAINIA,MAIZ TRADICIONAL,2017,136.0,221.0,1.63
GUAINIA,MAIZ TRADICIONAL,2023,98.5,140.34,1.42
GUAINIA,PIÑA,2022,36.0,477.0,13.25
GUAINIA,PLATANO,2010,223.0,1935.64,8.68
GUAINIA,PLATANO,2011,220.0,1430.0,6.5
GUAINIA,PLATANO,2016,242.6,1698.2,7.0
GUAINIA,PLATANO,2020,177.0,1477.35,8.35
GUAINIA,PLATANO,2023,225.0,1768.5,7.86
GUAINIA,YUCA,2007,1004.0,6458.0,6.43
GUAINIA,YUCA,2012,1125.0,5112.0,4.54
GUAINIA,YUCA,2013,1192.0,5416.45,4.54
GUAINIA,YUCA,2023,2071.0,18317.0,8.84
GUAINIA,AHUYAMA,2014,2.3,30.36,13.2
GUAINIA,AJI,2020,34.0,180.0,5.29
GUAINIA,AJI,2023,36.0,215.0,5.97
GUAINIA,ASAI,2021,48.0,294.0,6.13
GUAINIA,CACAO,2009,54.0,13.5,0.25
GUAINIA,CHONTADURO,2019,0.0,0.0,0.0
GUAINIA,COPOAZU,2021,4.0,14.0,3.5
GUAINIA,MAIZ BLANCO TECNIFICADO,2021,6.6,13.2,2.0
GUAINIA,MAIZ TRADICIONAL,2006,0.0,0.0,0.0
GUAINIA,MAIZ TRADICIONAL,2009,565.1,1005.23,1.78
GUAINIA,NARANJA JAFFA,2022,6.48,102.2,15.77
GUAINIA,PIÑA,2020,115.0,1725.0,15.0
GUAINIA,PIÑA,2023,137.5,1987.5,14.45
GUAINIA,PLATANO,2007,130.0,975.0,7.5
GUAINIA,PLATANO,2009,180.0,1687.5,9.38
GUAINIA,PLATANO,2017,506.5,3137.5,6.19
GUAINIA,YUCA,2009,1406.15,11249.2,8.0
GUAINIA,YUCA,2018,1527.0,15270.0,10.0
GUAINIA,YUCA,2019,1112.0,7784.0,7.0
GUAINIA,AGUACATE,2016,0.5,0.75,1.5
GUAINIA,AHUYAMA,2015,4.2,54.24,12.91
GUAINIA,AJI,2019,3.0,21.0,7.0
GUAINIA,ARAZA,2020,1.0,12.0,12.0
GUAINIA,ARAZA,2023,1.0,9.0,9.0
GUAINIA,BOROJO,2021,2.0,6.0,3.0
GUAINIA,CACAO,2021,3284.0,976.3,0.3
GUAINIA,CAÑA MIEL,2022,12.75,116.0,9.1
GUAINIA,CAUCHO,2013,0.0,0.0,0.0
GUAINIA,CAUCHO,2018,10.0,15.0,1.5
GUAINIA,CHONTADURO,2020,1.0,3.0,3.0
GUAINIA,CHONTADURO,2023,1.0,3.0,3.0
GUAINIA,MAIZ TRADICIONAL,2021,210.0,309.6,1.47
GUAINIA,NARANJA JAFFA,2019,2.0,10.0,5.0
GUAINIA,PLATANO,2021,404.0,3368.0,8.34
GUAINIA,YUCA,2021,4324.0,33748.0,7.8
GUAINIA,AHUYAMA,2016,11.4,134.48,11.8
GUAINIA,AHUYAMA,2017,8.2,92.24,11.25
GUAINIA,ARAZA,2022,1.0,9.0,9.0
GUAINIA,CACAO,2008,58.33,14.5,0.25
GUAINIA,CACAO,2014,93.0,27.9,0.3
GUAINIA,CACAO,2015,70.0,21.0,0.3
GUAINIA,CAÑA MIEL,2021,22.5,212.8,9.46
GUAINIA,COPOAZU,2020,2.0,12.76,6.38
GUAINIA,COPOAZU,2023,2.0,4.5,2.25
GUAINIA,MAIZ BLANCO TECNIFICADO,2023,4.0,8.0,2.0
GUAINIA,MAIZ TRADICIONAL,2008,546.13,928.33,1.7
GUAINIA,MAIZ TRADICIONAL,2014,164.3,288.59,1.76
GUAINIA,MAIZ TRADICIONAL,2015,233.0,349.5,1.5
GUAINIA,PLATANO,2008,150.0,1125.0,7.5
GUAINIA,PLATANO,2014,450.0,4240.0,9.42
GUAINIA,PLATANO,2015,350.0,3440.0,9.83
GUAINIA,YUCA,2008,1458.38,9615.25,6.59
GUAINIA,YUCA,2010,1491.55,11932.4,8.0
GUAINIA,YUCA,2011,842.0,3589.0,4.26
GUAINIA,YUCA,2016,129.0,1790.0,13.88
GUAINIA,YUCA,2017,1519.0,15190.0,10.0
GUAINIA,AGUACATE,2014,0.0,0.0,0.0
GUAINIA,AGUACATE,2015,0.5,0.75,1.5
GUAINIA,AJI,2016,5.5,6.3,1.15
GUAINIA,AJI,2017,25.5,26.3,1.03
GUAINIA,ARAZA,2019,0.0,0.0,0.0
GUAINIA,ASAI,2020,20.0,151.5,7.58
GUAINIA,ASAI,2023,24.0,147.0,6.13
GUAINIA,BOROJO,2020,1.0,3.0,3.0
GUAINIA,BOROJO,2023,1.0,2.5,2.5
GUAINIA,NARANJA JAFFA,2020,2.0,40.0,20.0
GUAINIA,NARANJA JAFFA,2023,6.48,102.2,15.77
GUAINIA,PATILLA,2016,6.0,42.0,7.0
GUAINIA,PATILLA,2017,4.0,4.0,1.0
GUAINIA,PIÑA,2016,56.0,913.0,16.3
GUAINIA,PIÑA,2017,280.5,4768.5,17.0
GUAINIA,YUCA INDUSTRIAL,2018,100.0,1000.0,10.0
