Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
GUAVIARE,ARROZ SECANO MANUAL,2006,0.0,0.0,0.0
GUAVIARE,ARROZ SECANO MANUAL,2007,35.0,52.0,1.49
GUAVIARE,ARROZ SECANO MANUAL,2009,880.0,2019.0,2.29
GUAVIARE,ARROZ SECANO MANUAL,2017,5442.0,16326.0,3.0
GUAVIARE,BOROJO,2021,20.0,100.0,5.0
GUAVIARE,CACAO,2007,51.0,17.0,0.33
GUAVIARE,CACAO,2009,20.0,25.0,1.25
GUAVIARE,CACAO,2016,721.0,360.5,0.5
GUAVIARE,CACAO,2017,752.0,376.0,0.5
GUAVIARE,CAFE,2012,0.0,0.0,0.0
GUAVIARE,CAÑA PANELERA,2022,1413.0,42820.0,30.3
GUAVIARE,CAUCHO,2018,688.0,1169.6,1.7
GUAVIARE,CHONTADURO,2012,0.0,0.0,0.0
GUAVIARE,CHONTADURO,2018,805.0,6440.0,8.0
GUAVIARE,CHONTADURO,2022,2181.0,8605.5,3.95
GUAVIARE,MAIZ TRADICIONAL,2006,0.0,0.0,0.0
GUAVIARE,MAIZ TRADICIONAL,2007,4446.0,4595.5,1.03
GUAVIARE,MAIZ TRADICIONAL,2009,4236.0,7536.8,1.78
GUAVIARE,MAIZ TRADICIONAL,2016,8626.0,12939.0,1.5
GUAVIARE,MAIZ TRADICIONAL,2017,8610.0,12915.0,1.5
GUAVIARE,PATILLA,2022,120.0,300.0,2.5
GUAVIARE,PLATANO,2007,2594.0,18726.5,7.22
GUAVIARE,PLATANO,2011,3650.0,17800.0,4.88
GUAVIARE,PLATANO,2016,2892.0,34704.0,12.0
GUAVIARE,PLATANO,2017,2691.0,32292.0,12.0
GUAVIARE,SORGO,2009,0.0,0.0,0.0
GUAVIARE,TOMATE,2006,0.0,0.0,0.0
GUAVIARE,TOMATE,2007,4.0,56.0,14.0
GUAVIARE,YUCA,2007,1527.0,15270.0,10.0
GUAVIARE,YUCA,2009,4499.0,21221.0,4.72
GUAVIARE,YUCA,2012,1701.0,11368.3,6.68
GUAVIARE,YUCA,2013,1898.0,12868.8,6.78
GUAVIARE,YUCA,2018,1550.0,20150.0,13.0
GUAVIARE,YUCA,2019,1539.0,17537.0,11.4
GUAVIARE,AHUYAMA,2009,0.0,0.0,0.0
GUAVIARE,ARROZ SECANO MANUAL,2021,2798.0,9453.86,3.38
GUAVIARE,ARROZ SECANO MECANIZADO,2008,180.0,580.0,3.22
GUAVIARE,ARROZ SECANO MECANIZADO,2010,275.0,1375.0,5.0
GUAVIARE,ARROZ SECANO MECANIZADO,2011,260.0,1200.0,4.62
GUAVIARE,ARROZ SECANO MECANIZADO,2016,493.71,2649.35,5.37
GUAVIARE,ARROZ SECANO MECANIZADO,2020,200.0,1666.0,8.33
GUAVIARE,ARROZ SECANO MECANIZADO,2023,460.0,3680.0,8.0
GUAVIARE,BOROJO,2008,80.0,240.0,3.0
GUAVIARE,CACAO,2010,46.0,9.2,0.2
GUAVIARE,CACAO,2011,75.0,21.5,0.29
GUAVIARE,CACAO,2020,1559.0,605.05,0.39
GUAVIARE,CACAO,2023,2298.0,1478.6,0.64
GUAVIARE,CAÑA PANELERA,2013,285.0,2565.0,9.0
GUAVIARE,CAÑA PANELERA,2018,1297.0,7782.0,6.0
GUAVIARE,CAÑA PANELERA,2019,1358.0,52320.0,38.53
GUAVIARE,CHONTADURO,2019,1228.0,5261.0,4.28
GUAVIARE,COCONA,2008,60.0,180.0,3.0
GUAVIARE,MAIZ BLANCO TECNIFICADO,2021,712.0,1411.76,1.98
GUAVIARE,MAIZ TRADICIONAL,2010,4173.0,6308.6,1.51
GUAVIARE,MAIZ TRADICIONAL,2011,3348.0,5026.0,1.5
GUAVIARE,MAIZ TRADICIONAL,2020,1335.0,1961.5,1.47
GUAVIARE,MAIZ TRADICIONAL,2023,899.0,1398.89,1.56
GUAVIARE,PIÑA,2010,10.0,300.0,30.0
GUAVIARE,PIÑA,2011,12.0,180.0,15.0
GUAVIARE,PIÑA,2016,155.0,5425.0,35.0
GUAVIARE,PIÑA,2017,207.0,7245.0,35.0
GUAVIARE,PIÑA,2020,565.0,11097.0,19.64
GUAVIARE,PIÑA,2023,756.5,13607.5,17.99
GUAVIARE,PLATANO,2010,4121.0,28514.0,6.92
GUAVIARE,PLATANO,2020,5182.0,40192.41,7.76
GUAVIARE,PLATANO,2023,5678.0,47936.0,8.44
GUAVIARE,YUCA,2022,1300.0,12830.0,9.87
GUAVIARE,ARAZA,2009,141.0,423.0,3.0
GUAVIARE,ARROZ SECANO MECANIZADO,2012,184.0,879.56,4.78
GUAVIARE,ARROZ SECANO MECANIZADO,2022,349.0,3141.0,9.0
GUAVIARE,CAÑA MIEL,2007,230.0,547.8,2.38
GUAVIARE,CAÑA MIEL,2009,315.0,740.0,2.35
GUAVIARE,CHONTADURO,2015,110.0,770.0,7.0
GUAVIARE,FRIJOL,2006,0.0,0.0,0.0
GUAVIARE,FRIJOL,2009,35.0,70.0,2.0
