Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
HUILA,ACELGA,2022,6.6,44.2,6.7
HUILA,AGUACATE,2021,9570.24,89819.65,9.39
HUILA,AHUYAMA,2010,203.2,3168.4,15.59
HUILA,AHUYAMA,2011,213.8,3183.0,14.89
HUILA,AHUYAMA,2020,496.65,6995.0,14.08
HUILA,AHUYAMA,2023,762.25,7463.75,9.79
HUILA,ARRACACHA,2012,464.0,3338.0,7.19
HUILA,ARRACACHA,2013,472.5,3199.0,6.77
HUILA,ARRACACHA,2018,474.0,3877.5,8.18
HUILA,ARRACACHA,2019,497.0,3185.5,6.41
HUILA,ARVEJA,2022,1043.89,2011.86,1.9300000000000002
HUILA,BADEA,2014,82.8,1254.8,15.15
HUILA,BADEA,2015,84.05,1231.0,14.65
HUILA,BADEA,2021,267.3,3886.0,14.54
HUILA,BANANO,2022,3729.28,27197.17,7.29
HUILA,CACAO,2009,7859.1,3447.73,0.44
HUILA,CACAO,2019,6587.35,4347.99,0.66
HUILA,CAFE,2008,89131.2,131316.47,1.47
HUILA,CAFE,2014,128273.15,135971.2,1.06
HUILA,CAFE,2015,130452.4,145168.1,1.11
HUILA,CAÑA PANELERA,2012,5237.25,42471.97,8.11
HUILA,CAÑA PANELERA,2013,5951.25,44932.15,7.55
HUILA,CAÑA PANELERA,2018,8191.75,58948.36,7.2
HUILA,CAÑA PANELERA,2022,12917.81,1105572.65,85.59
HUILA,CEBOLLA DE BULBO,2010,139.5,1968.5,14.11
HUILA,CEBOLLA DE BULBO,2011,124.5,1625.5,13.06
HUILA,CEBOLLA DE BULBO,2016,119.0,1099.0,9.24
HUILA,CEBOLLA DE BULBO,2017,109.6,1038.4,9.47
HUILA,CEBOLLA DE BULBO,2020,99.0,857.7,8.66
HUILA,CEBOLLA DE BULBO,2023,100.71,719.34,7.14
HUILA,CHOLUPA,2008,165.5,1664.75,10.06
HUILA,CHOLUPA,2015,139.5,1105.0,7.92
HUILA,CIMARRON,2021,2.0,1.0,0.5
HUILA,CITRICOS,2008,1035.75,8611.38,8.31
HUILA,CITRICOS,2014,1083.58,8549.15,7.89
HUILA,CITRICOS,2015,1038.25,8072.0,7.77
HUILA,CURUBA,2014,74.5,373.0,5.01
HUILA,CURUBA,2015,73.5,461.25,6.28
HUILA,DURAZNO,2010,0.0,0.0,0.0
HUILA,DURAZNO,2011,0.0,0.0,0.0
HUILA,DURAZNO,2020,144.1,889.1,6.17
HUILA,DURAZNO,2023,137.5,777.25,5.65
HUILA,FLOR DE JAMAICA,2009,0.5,0.1,0.2
HUILA,FRIJOL,2017,23698.6,26041.56,1.1
HUILA,GUANABANA,2012,145.0,1128.03,7.78
HUILA,GUANABANA,2013,155.5,1424.2,9.16
