Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
LA GUAJIRA,AHUYAMA,2012,970.5,8672.0,8.94
LA GUAJIRA,AHUYAMA,2022,2681.0,25223.5,9.41
LA GUAJIRA,AJI,2021,592.0,3114.0,5.26
LA GUAJIRA,AJONJOLI,2017,0.0,0.0,0.0
LA GUAJIRA,ALGODON,2006,0.0,0.0,0.0
LA GUAJIRA,ALGODON,2009,1254.28,2625.0,2.09
LA GUAJIRA,ARRACACHA,2010,62.0,548.0,8.84
LA GUAJIRA,ARRACACHA,2011,76.0,637.0,8.38
LA GUAJIRA,ARRACACHA,2016,20.0,160.0,8.0
LA GUAJIRA,ARRACACHA,2020,17.0,130.0,7.65
LA GUAJIRA,ARRACACHA,2023,12.0,96.0,8.0
LA GUAJIRA,BANANO EXPORTACION,2009,2214.0,26568.0,12.0
LA GUAJIRA,CACAO,2008,276.0,197.2,0.71
LA GUAJIRA,CAFE,2007,4785.0,2958.7,0.62
LA GUAJIRA,CAFE,2010,4207.0,2393.0,0.57
LA GUAJIRA,CAFE,2011,4100.0,1933.0,0.47
LA GUAJIRA,CAFE,2016,5531.2,4387.19,0.79
LA GUAJIRA,CAFE,2017,5340.8,3516.8,0.66
LA GUAJIRA,CAFE,2023,2705.93,1623.38,0.6
LA GUAJIRA,CAÑA PANELERA,2010,49.0,310.0,6.33
LA GUAJIRA,CAÑA PANELERA,2011,51.0,322.0,6.31
LA GUAJIRA,CAÑA PANELERA,2020,76.0,4920.0,64.74
LA GUAJIRA,CAÑA PANELERA,2023,82.0,5620.0,68.54
LA GUAJIRA,CILANTRO,2022,2.0,2.0,1.0
LA GUAJIRA,COCO,2013,508.0,3048.0,6.0
LA GUAJIRA,COCO,2018,529.0,3174.0,6.0
LA GUAJIRA,COCO,2019,514.0,3084.0,6.0
LA GUAJIRA,FRIJOL,2018,1817.0,1625.25,0.89
LA GUAJIRA,FRIJOL,2019,2380.7,3098.26,1.3
LA GUAJIRA,LIMA,2019,18.0,144.0,8.0
LA GUAJIRA,LIMON,2012,126.5,622.0,4.92
LA GUAJIRA,LIMON,2022,42.5,247.0,5.8100000000000005
LA GUAJIRA,LULO,2007,62.0,424.0,6.84
LA GUAJIRA,LULO,2010,48.0,309.5,6.45
LA GUAJIRA,LULO,2011,43.0,276.5,6.43
LA GUAJIRA,LULO,2016,67.0,353.5,5.28
LA GUAJIRA,LULO,2017,81.0,443.0,5.47
LA GUAJIRA,MAIZ TECNIFICADO,2007,1442.0,3241.0,2.25
LA GUAJIRA,MAIZ TECNIFICADO,2010,932.0,2598.0,2.79
LA GUAJIRA,MAIZ TRADICIONAL,2008,11191.0,19066.42,1.7
LA GUAJIRA,MARACUYA,2021,32.0,212.0,6.63
LA GUAJIRA,MELON,2012,272.0,2101.8,7.73
LA GUAJIRA,MELON,2013,150.5,1203.0,7.99
LA GUAJIRA,MELON,2018,313.77,2690.77,8.58
LA GUAJIRA,MELON,2019,323.5,2280.6,7.05
LA GUAJIRA,ÑAME,2007,189.0,2849.0,15.07
LA GUAJIRA,ÑAME,2010,158.0,886.0,5.61
LA GUAJIRA,ÑAME,2011,312.0,2680.5,8.59
LA GUAJIRA,ÑAME,2016,376.0,4548.0,12.1
LA GUAJIRA,ÑAME,2017,456.0,5420.0,11.89
LA GUAJIRA,ÑAME,2023,732.0,8634.0,11.8
LA GUAJIRA,NARANJA,2008,212.0,1167.0,5.5
LA GUAJIRA,PALMA DE ACEITE,2014,1463.0,3855.0,2.63
LA GUAJIRA,PALMA DE ACEITE,2015,1671.0,6442.96,3.86
LA GUAJIRA,PALMA DE ACEITE,2021,3988.0,12966.13,3.25
LA GUAJIRA,PAPAYA,2021,294.0,2104.0,7.16
LA GUAJIRA,PAPAYA HAWAIANA,2020,6.5,45.0,6.92
LA GUAJIRA,PATILLA,2010,888.5,7737.5,8.71
LA GUAJIRA,PATILLA,2020,703.0,4971.0,7.07
LA GUAJIRA,PATILLA,2023,736.5,6663.0,9.05
LA GUAJIRA,PLATANO,2008,1566.0,7504.18,4.79
LA GUAJIRA,PLATANO,2015,1489.0,7880.0,5.29
LA GUAJIRA,SORGO,2008,1677.0,2689.5,1.6
LA GUAJIRA,SORGO,2016,0.0,0.0,0.0
LA GUAJIRA,SORGO,2017,36.0,72.0,2.0
LA GUAJIRA,TOMATE,2006,0.0,0.0,0.0
LA GUAJIRA,TOMATE,2007,239.0,3854.0,16.13
LA GUAJIRA,TOMATE,2011,162.0,2425.5,14.97
LA GUAJIRA,TOMATE,2016,194.0,2633.55,13.58
LA GUAJIRA,TOMATE,2017,297.0,3452.0,11.62
LA GUAJIRA,TOMATE DE ARBOL,2017,111.0,642.0,5.78
LA GUAJIRA,YUCA,2008,2360.0,38445.0,16.29
LA GUAJIRA,YUCA,2016,2549.0,31969.0,12.54
LA GUAJIRA,YUCA,2017,2644.0,33572.0,12.7
LA GUAJIRA,ACHIOTE (BIJA),2012,150.0,150.0,1.0
LA GUAJIRA,ACHIOTE (BIJA),2022,35.0,35.0,1.0
LA GUAJIRA,AGUACATE,2012,428.0,1940.0,4.53
LA GUAJIRA,AGUACATE,2013,450.0,2067.0,4.59
LA GUAJIRA,AGUACATE,2022,545.0,4343.0,7.97
LA GUAJIRA,AHUYAMA,2008,499.0,4094.0,8.2
LA GUAJIRA,AJI,2008,207.0,1601.0,7.73
LA GUAJIRA,AJI,2014,319.5,2089.5,6.54
LA GUAJIRA,AJI,2015,168.0,1100.0,6.55
LA GUAJIRA,AJONJOLI,2020,7.0,7.0,1.0
LA GUAJIRA,ALGODON,2021,1540.0,1889.8,1.23
LA GUAJIRA,ARRACACHA,2007,190.0,1667.0,8.77
LA GUAJIRA,ARRACACHA,2009,54.0,479.0,8.87
LA GUAJIRA,ARRACACHA,2017,16.0,122.0,7.63
LA GUAJIRA,ARROZ RIEGO,2012,2365.0,13707.5,5.8
LA GUAJIRA,ARROZ RIEGO,2013,2249.0,12889.0,5.73
LA GUAJIRA,ARROZ RIEGO,2022,1291.0,8761.3,6.79
LA GUAJIRA,BANANO EXPORTACION,2021,2944.0,61768.0,20.98
LA GUAJIRA,BATATA,2022,6.0,22.8,3.8
LA GUAJIRA,CACAO,2014,430.0,253.2,0.59
LA GUAJIRA,CACAO,2015,603.0,355.9,0.59
LA GUAJIRA,CACAO,2021,1456.0,1285.4,0.88
LA GUAJIRA,CAFE,2009,4488.0,2340.4,0.52
LA GUAJIRA,CAÑA PANELERA,2007,59.0,352.0,5.97
LA GUAJIRA,CAÑA PANELERA,2009,49.0,310.0,6.33
LA GUAJIRA,CAÑA PANELERA,2016,73.0,476.0,6.52
LA GUAJIRA,CAÑA PANELERA,2017,75.0,450.0,6.0
LA GUAJIRA,COCO,2012,498.0,2964.0,5.95
LA GUAJIRA,COCO,2022,552.0,4316.0,7.82
LA GUAJIRA,FIQUE,2021,1198.0,1493.14,1.25
LA GUAJIRA,FRIJOL,2020,2578.0,3093.9,1.2
LA GUAJIRA,LIMA,2020,18.0,90.0,5.0
LA GUAJIRA,LIMON,2007,60.0,293.0,4.88
LA GUAJIRA,LIMON,2009,143.0,867.0,6.06
LA GUAJIRA,LIMON,2013,134.0,647.0,4.83
LA GUAJIRA,LIMON,2018,84.0,381.33,4.54
LA GUAJIRA,LIMON,2019,42.0,190.0,4.52
LA GUAJIRA,LIMON TAHITI,2016,0.0,0.0,0.0
LA GUAJIRA,LULO,2009,64.0,432.0,6.75
LA GUAJIRA,MAIZ BLANCO TECNIFICADO,2022,3953.4,6930.9,1.75
LA GUAJIRA,MAIZ TECNIFICADO,2006,0.0,0.0,0.0
LA GUAJIRA,MAIZ TECNIFICADO,2009,978.0,2475.0,2.5300000000000002
LA GUAJIRA,MAIZ TRADICIONAL,2014,11786.0,22175.3,1.88
LA GUAJIRA,MAIZ TRADICIONAL,2015,5434.0,8580.85,1.58
LA GUAJIRA,MAIZ TRADICIONAL,2021,9716.0,14160.6,1.46
LA GUAJIRA,MALANGA,2007,690.0,6330.0,9.17
LA GUAJIRA,MALANGA,2010,574.0,5308.0,9.25
LA GUAJIRA,MALANGA,2011,774.0,6699.5,8.66
LA GUAJIRA,MALANGA,2016,665.0,5396.0,8.11
LA GUAJIRA,MALANGA,2017,652.0,5162.0,7.92
LA GUAJIRA,MANGO,2013,336.0,1621.0,4.82
LA GUAJIRA,MANGO,2018,270.0,1376.0,5.1
