Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
MAGDALENA,ACHIOTE (BIJA),2023,2.0,3.0,1.5
MAGDALENA,AGUACATE,2020,48.0,196.8,4.1
MAGDALENA,AGUACATE,2023,65.5,364.8,5.57
MAGDALENA,AHUYAMA,2012,383.0,5221.0,13.63
MAGDALENA,AHUYAMA,2013,962.0,11864.0,12.33
MAGDALENA,AHUYAMA,2018,760.37,5662.16,7.45
MAGDALENA,AHUYAMA,2019,1464.61,14601.71,9.97
MAGDALENA,AJI,2014,1219.0,9604.0,7.88
MAGDALENA,AJI,2015,601.5,4267.9,7.1
MAGDALENA,AJI,2021,3367.7,31912.7,9.48
MAGDALENA,AJONJOLI,2017,399.0,329.7,0.83
MAGDALENA,ARROZ RIEGO,2012,2609.0,14640.4,5.61
MAGDALENA,ARROZ RIEGO,2022,3002.0,17765.84,5.92
MAGDALENA,BANANO,2021,164.0,1279.2,7.8
MAGDALENA,BANANO EXPORTACION,2012,11911.0,382286.0,32.1
MAGDALENA,BANANO EXPORTACION,2022,17757.02,709843.8,39.98
MAGDALENA,BERENJENA,2009,6.0,60.0,10.0
MAGDALENA,CAFE,2007,17506.0,14005.0,0.8
MAGDALENA,CAFE,2009,17036.0,13412.8,0.79
MAGDALENA,CAFE,2017,18129.5,11937.9,0.66
MAGDALENA,CEBOLLA DE BULBO,2019,18.91,132.32,7.0
MAGDALENA,CEBOLLA DE RAMA,2022,1261.7,12564.93,9.96
MAGDALENA,CILANTRO,2006,0.0,0.0,0.0
MAGDALENA,CILANTRO,2009,381.0,1620.0,4.25
MAGDALENA,CITRICOS,2009,2402.0,48294.0,20.11
MAGDALENA,COL,2008,321.0,3470.0,10.81
MAGDALENA,COL,2014,162.0,212.8,1.31
MAGDALENA,COL,2015,88.0,105.6,1.2
MAGDALENA,GUANDUL,2019,56.0,246.5,4.4
MAGDALENA,GUAYABA,2008,101.0,1188.0,11.76
MAGDALENA,GUAYABA,2014,111.0,993.0,8.95
