Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
NORTE DE SANTANDER,ACELGA,2008,7.0,106.0,15.14
NORTE DE SANTANDER,ACELGA,2015,2.5,28.0,11.2
NORTE DE SANTANDER,AGUACATE,2007,144.0,1829.9,12.71
NORTE DE SANTANDER,AGUACATE,2009,151.5,1743.4,11.51
NORTE DE SANTANDER,AGUACATE,2016,507.5,5502.5,10.84
NORTE DE SANTANDER,AGUACATE,2017,561.5,6438.7,11.47
NORTE DE SANTANDER,AGUACATE PAPELILLO,2022,226.0,2302.0,10.19
NORTE DE SANTANDER,AHUYAMA,2018,48.0,966.0,20.13
NORTE DE SANTANDER,AHUYAMA,2019,136.0,2704.0,19.88
NORTE DE SANTANDER,AJI,2015,90.0,450.0,5.0
NORTE DE SANTANDER,AJO,2008,12.0,117.0,9.75
NORTE DE SANTANDER,ARROZ RIEGO,2012,25032.0,117015.66,4.67
NORTE DE SANTANDER,ARROZ RIEGO,2013,27900.3,137026.57,4.91
NORTE DE SANTANDER,ARROZ RIEGO,2018,54905.43,317553.5,5.78
NORTE DE SANTANDER,ARROZ RIEGO,2019,32384.5,196071.7,6.05
NORTE DE SANTANDER,ARVEJA,2015,506.3,1117.08,2.21
NORTE DE SANTANDER,BANANO,2008,1146.0,8142.0,7.1
NORTE DE SANTANDER,BANANO,2015,1469.0,7531.9,5.13
NORTE DE SANTANDER,BREVO,2010,24.5,126.0,5.14
NORTE DE SANTANDER,BREVO,2011,24.5,125.5,5.12
NORTE DE SANTANDER,BREVO,2020,101.5,826.9,8.15
NORTE DE SANTANDER,BREVO,2023,112.0,744.5,6.65
NORTE DE SANTANDER,BROCOLI,2010,60.8,912.0,15.0
NORTE DE SANTANDER,BROCOLI,2011,69.0,1035.0,15.0
NORTE DE SANTANDER,BROCOLI,2020,88.0,1056.0,12.0
NORTE DE SANTANDER,BROCOLI,2023,100.0,1200.0,12.0
NORTE DE SANTANDER,CACAO,2012,16226.4,7874.25,0.49
NORTE DE SANTANDER,CACAO,2013,17220.0,8424.7,0.49
NORTE DE SANTANDER,CACAO,2022,10890.9,5935.97,0.55
NORTE DE SANTANDER,CAÑA AZUCARERA,2012,271.0,13343.41,49.24
NORTE DE SANTANDER,CAÑA AZUCARERA,2013,213.0,16000.0,75.12
NORTE DE SANTANDER,CEBOLLA DE RAMA,2012,124.1,1541.45,12.42
NORTE DE SANTANDER,CEBOLLA DE RAMA,2013,199.0,3073.5,15.44
