Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
PUTUMAYO,AGUACATE,2020,180.0,2119.0,11.77
PUTUMAYO,ARVEJA,2021,249.0,388.51,1.56
PUTUMAYO,ASAI,2022,445.0,5947.5,13.37
PUTUMAYO,BANANO,2021,436.0,2936.48,6.74
PUTUMAYO,CACAO,2008,453.0,177.3,0.39
PUTUMAYO,CAFE,2007,35.0,34.0,0.97
PUTUMAYO,CAFE,2010,24.0,26.7,1.11
PUTUMAYO,CAFE,2011,40.0,45.8,1.15
PUTUMAYO,CAFE,2017,209.29,282.18,1.35
PUTUMAYO,CAÑA PANELERA,2010,1926.0,5568.6,2.89
PUTUMAYO,CAÑA PANELERA,2011,2134.0,6241.0,2.92
PUTUMAYO,CAÑA PANELERA,2016,1028.4,2999.4,2.92
PUTUMAYO,CAUCHO,2009,0.0,0.0,0.0
PUTUMAYO,CHIRO,2008,230.0,805.0,3.5
PUTUMAYO,CHONTADURO,2008,1291.0,5055.0,3.92
PUTUMAYO,CHONTADURO,2015,1801.0,12853.5,7.14
PUTUMAYO,COL,2014,11.4,156.14,13.7
PUTUMAYO,FIQUE,2019,0.0,0.0,0.0
PUTUMAYO,FRESA,2021,4.0,36.0,9.0
PUTUMAYO,FRIJOL,2019,778.0,1442.2,1.85
PUTUMAYO,GUAYABA,2021,10.0,150.0,15.0
PUTUMAYO,LIMA,2019,36.0,144.0,4.0
PUTUMAYO,LIMON TAHITI,2020,64.0,190.0,2.9699999999999998
PUTUMAYO,LIMON TAHITI,2023,128.5,788.5,6.14
PUTUMAYO,LULO,2008,64.0,308.0,4.8100000000000005
PUTUMAYO,LULO,2010,62.0,336.0,5.42
PUTUMAYO,LULO,2011,25.0,235.0,9.4
PUTUMAYO,LULO,2016,136.0,770.1,5.66
PUTUMAYO,LULO,2017,130.7,745.38,5.7
PUTUMAYO,MAIZ TRADICIONAL,2008,9330.0,11565.35,1.24
PUTUMAYO,MANZANA,2009,6.0,48.0,8.0
PUTUMAYO,MORA,2021,432.0,3862.0,8.94
PUTUMAYO,NARANJA JAFFA,2021,46.0,580.1,12.61
PUTUMAYO,PAPA,2021,24.0,193.6,8.07
PUTUMAYO,PAPA CHINA,2019,72.0,353.0,4.9
PUTUMAYO,PAPAYUELA,2007,10.0,150.0,15.0
PUTUMAYO,PEPINO COHOMBRO,2013,1.0,12.0,12.0
PUTUMAYO,PIMIENTA,2020,1108.0,1672.05,1.51
PUTUMAYO,PIMIENTA,2023,1039.5,1786.75,1.72
PUTUMAYO,PIÑA,2022,650.5,7957.0,12.23
PUTUMAYO,PLATANO,2015,5571.0,37427.9,6.72
PUTUMAYO,TOMATE DE ARBOL,2017,184.9,1490.78,8.06
PUTUMAYO,UVA CAIMARONA,2021,130.0,1040.0,8.0
PUTUMAYO,YUCA,2008,3150.0,31660.0,10.05
PUTUMAYO,ACELGA,2014,10.8,127.78,11.83
PUTUMAYO,ACHIRA,2021,18.0,170.6,9.48
PUTUMAYO,AGUACATE,2014,12.0,110.0,9.17
PUTUMAYO,AGUACATE,2015,12.0,150.0,12.5
PUTUMAYO,ALBAHACA,2010,20.0,20.0,1.0
PUTUMAYO,ARAZA,2014,141.0,133.0,0.94
PUTUMAYO,ARAZA,2015,138.0,140.4,1.02
PUTUMAYO,ARAZA,2021,140.0,525.0,3.75
PUTUMAYO,ARROZ SECANO MANUAL,2008,1456.0,1825.0,1.25
PUTUMAYO,ARROZ SECANO MANUAL,2014,513.0,1385.5,2.7
PUTUMAYO,ARROZ SECANO MANUAL,2015,797.5,2102.25,2.64
PUTUMAYO,ARVEJA,2008,19.0,26.1,1.37
PUTUMAYO,ARVEJA,2014,55.0,55.05,1.0
PUTUMAYO,ARVEJA,2015,55.0,58.47,1.06
PUTUMAYO,BANANITO,2007,716.0,3091.0,4.32
PUTUMAYO,BANANITO,2009,1100.0,5125.0,4.66
PUTUMAYO,BANANO,2007,0.0,0.0,0.0
PUTUMAYO,BANANO,2009,14.0,56.0,4.0
PUTUMAYO,CACAO,2022,5480.5,3259.17,0.59
PUTUMAYO,CAFE,2020,203.0,158.6,0.78
PUTUMAYO,CAFE,2023,174.85,136.24,0.78
PUTUMAYO,CAÑA PANELERA,2021,2844.0,76328.4,26.84
PUTUMAYO,CAUCHO,2007,0.0,0.0,0.0
PUTUMAYO,CAUCHO,2010,5.0,4.0,0.8
PUTUMAYO,CAUCHO,2011,52.0,29.75,0.57
PUTUMAYO,CAUCHO,2016,430.0,277.9,0.65
PUTUMAYO,CAUCHO,2017,430.0,277.9,0.65
PUTUMAYO,CHONTADURO,2014,1737.0,12431.0,7.16
PUTUMAYO,CHONTADURO,2021,6778.0,28919.06,4.27
PUTUMAYO,COPOAZU,2012,50.0,65.0,1.3
PUTUMAYO,COPOAZU,2013,138.0,138.0,1.0
PUTUMAYO,COPOAZU,2018,11.0,11.0,1.0
PUTUMAYO,COPOAZU,2022,8.0,40.0,5.0
PUTUMAYO,CURCUMA,2016,25.0,500.0,20.0
PUTUMAYO,CURCUMA,2017,30.0,600.0,20.0
PUTUMAYO,CURCUMA,2020,35.0,700.0,20.0
PUTUMAYO,CURCUMA,2023,10.0,200.0,20.0
PUTUMAYO,FIQUE,2020,3.0,4.5,1.5
PUTUMAYO,FRIJOL,2012,493.5,711.71,1.44
PUTUMAYO,FRIJOL,2013,320.0,394.0,1.23
PUTUMAYO,FRIJOL,2022,695.9,1605.8,2.31
PUTUMAYO,GRANADILLA,2012,37.0,491.0,13.27
PUTUMAYO,GRANADILLA,2013,52.0,740.0,14.23
PUTUMAYO,GRANADILLA,2022,66.46,515.47,7.76
PUTUMAYO,HORTALIZAS VARIAS,2023,2.45,39.2,16.0
PUTUMAYO,IRACA,2023,0.0,0.0,0.0
PUTUMAYO,LULO,2020,101.0,1278.0,12.65
PUTUMAYO,LULO,2023,219.83,5022.55,22.85
PUTUMAYO,MAIZ TRADICIONAL,2022,5285.5,7140.41,1.35
PUTUMAYO,MORA,2009,3.0,22.5,7.5
PUTUMAYO,OTROS CÍTRICOS,2019,0.0,0.0,0.0
PUTUMAYO,PALMITO,2014,214.0,335.2,1.5699999999999998
PUTUMAYO,PALMITO,2015,214.0,297.8,1.3900000000000001
PUTUMAYO,PALMITO,2021,366.0,1761.6,4.8100000000000005
PUTUMAYO,PAPA,2008,32.0,318.0,9.94
PUTUMAYO,PAPA,2015,28.0,280.0,10.0
PUTUMAYO,PAPA CRIOLLA,2011,11.0,110.0,10.0
PUTUMAYO,PIMIENTA,2019,1300.0,1929.4,1.48
PUTUMAYO,PLANTAS AROMATICAS,2022,2.0,4.0,2.0
PUTUMAYO,SACHA INCHI,2010,6.0,46.0,7.67
