Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
QUINDIO,AGUACATE,2021,9802.04,85379.02,8.71
QUINDIO,AHUYAMA,2010,168.6,2720.2,16.13
QUINDIO,AHUYAMA,2011,152.9,2346.0,15.34
QUINDIO,AHUYAMA,2016,41.6,783.7,18.84
QUINDIO,AHUYAMA,2020,68.9,715.8,10.39
QUINDIO,AHUYAMA,2023,55.9,421.6,7.54
QUINDIO,AJI,2012,1.4,10.5,7.5
QUINDIO,ANTURIO,2014,2.0,4.0,2.0
QUINDIO,ANTURIO,2015,2.0,4.0,2.0
QUINDIO,ARRACACHA,2014,0.5,0.25,0.5
QUINDIO,ARVEJA,2012,24.4,44.49,1.8199999999999998
QUINDIO,ARVEJA,2022,1.8,1.8599999999999999,1.04
QUINDIO,BANANITO,2012,49.5,334.75,6.76
QUINDIO,BANANO,2012,1412.61,20669.03,14.63
QUINDIO,BANANO,2022,3921.9,59825.28,15.25
QUINDIO,CAFE,2008,19571.0,23669.0,1.21
QUINDIO,CAFE,2014,21462.81,22518.42,1.05
QUINDIO,CAFE,2015,21491.21,24694.56,1.15
QUINDIO,CAÑA PANELERA,2012,288.86,2220.78,7.6899999999999995
QUINDIO,CAÑA PANELERA,2013,331.5,2553.5,7.7
QUINDIO,CAÑA PANELERA,2018,350.5,2225.2,6.35
QUINDIO,CAÑA PANELERA,2019,337.7,21030.0,62.27
QUINDIO,CARTUCHO-ASTROMELIA,2008,0.5,12.5,25.0
QUINDIO,CEBOLLA DE BULBO,2013,0.2,1.0,5.0
QUINDIO,CHIA,2015,1.0,4.8,4.8
QUINDIO,CILANTRO,2015,2.2,21.5,9.77
QUINDIO,CITRICOS,2008,2675.7,69421.8,25.95
QUINDIO,CITRICOS,2015,3636.5,93284.0,25.65
QUINDIO,COLIFLOR,2010,0.2,2.0,10.0
QUINDIO,EUCALIPTO BABY BLUE,2008,12.6,126.0,10.0
QUINDIO,EUCALIPTO BABY BLUE,2014,2.0,20.0,10.0
QUINDIO,FRIJOL,2006,0.0,0.0,0.0
QUINDIO,FRIJOL,2009,738.8,584.22,0.79
QUINDIO,GUANABANA,2013,5.4,97.98,18.14
QUINDIO,GUANABANA,2018,2.3,32.3,14.04
QUINDIO,GUAYABA,2012,30.66,235.28,7.67
QUINDIO,GUAYABA,2013,32.6,256.8,7.88
QUINDIO,GUAYABA,2018,16.0,320.0,20.0
QUINDIO,GUAYABA,2022,19.3,77.2,4.0
QUINDIO,GUAYABA PERA,2017,74.32,297.28,4.0
QUINDIO,GULUPA,2019,34.2,393.0,11.49
QUINDIO,HELECHO CUERO,2007,11.3,14.29,1.26
QUINDIO,HELECHO CUERO,2009,10.9,13.08,1.2
QUINDIO,HELECHO CUERO,2017,2.0,12.0,6.0
QUINDIO,HELICONIA,2007,32.7,136.7,4.18
QUINDIO,HELICONIA,2009,32.1,124.1,3.87
QUINDIO,HELICONIA,2012,22.7,85.3,3.76
QUINDIO,HELICONIA,2013,21.0,80.49,3.83
QUINDIO,HORTALIZAS VARIAS,2009,11.1,55.5,5.0
QUINDIO,HORTALIZAS VARIAS,2019,23.0,190.0,8.26
QUINDIO,JENGIBRE,2022,0.64,2.56,4.0
QUINDIO,LECHUGA,2013,5.5,27.5,5.0
QUINDIO,LECHUGA,2018,9.0,99.0,11.0
QUINDIO,LECHUGA,2019,18.0,198.0,11.0
QUINDIO,LULO,2014,147.85,1075.85,7.28
QUINDIO,LULO,2015,94.2,430.2,4.57
QUINDIO,MACADAMIA,2008,118.3,269.9,2.2800000000000002
