Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
RISARALDA,AGUACATE,2017,2226.5,24258.54,10.9
RISARALDA,AGUACATE PAPELILLO,2020,547.48,4745.56,8.67
RISARALDA,AGUACATE PAPELILLO,2023,1221.64,12476.02,10.21
RISARALDA,ARVEJA,2019,10.5,25.72,2.45
RISARALDA,BANANO,2019,198.0,2861.0,14.45
RISARALDA,CACAO,2007,946.0,597.22,0.63
RISARALDA,CACAO,2010,1037.75,508.9,0.49
RISARALDA,CACAO,2011,998.75,477.33,0.48
RISARALDA,CACAO,2016,1538.0,1257.4,0.82
RISARALDA,CACAO,2017,1703.6,1375.69,0.81
RISARALDA,CAFE,2012,45588.03,36989.43,0.81
RISARALDA,CAFE,2022,33376.97,33387.59,1.0
RISARALDA,CAÑA AZUCARERA,2007,2399.0,284598.0,118.63
RISARALDA,CAÑA AZUCARERA,2009,2485.0,288657.0,116.16
RISARALDA,CAÑA AZUCARERA,2016,2475.43,321129.81,129.73
RISARALDA,CAÑA AZUCARERA,2017,1949.06,290028.0,148.8
RISARALDA,CEBOLLA DE RAMA,2007,815.5,27887.5,34.2
RISARALDA,CEBOLLA DE RAMA,2009,226.0,5875.0,26.0
RISARALDA,CEBOLLA DE RAMA,2016,143.05,5945.19,41.56
RISARALDA,CEBOLLA DE RAMA,2017,263.75,10399.97,39.43
RISARALDA,CHAMPIÑON,2013,3.1,186.0,60.0
RISARALDA,CHIRIMOYA,2020,1.6,10.4,6.5
RISARALDA,CHONTADURO,2007,388.0,1164.0,3.0
RISARALDA,CHONTADURO,2020,23.0,69.0,3.0
RISARALDA,CHONTADURO,2023,26.0,52.0,2.0
RISARALDA,CILANTRO,2022,8.0,40.0,5.0
RISARALDA,ESPARRAGO,2007,75.0,238.5,3.18
RISARALDA,FIQUE,2008,189.0,226.8,1.2
RISARALDA,FIQUE,2014,70.0,56.0,0.8
RISARALDA,FIQUE,2015,67.6,54.08,0.8
RISARALDA,FLORES Y FOLLAJES,2013,83.52,1680.41,20.12
RISARALDA,FLORES Y FOLLAJES,2018,142.9,6165.35,43.14
RISARALDA,FRESA,2019,1.0,15.0,15.0
RISARALDA,FRIJOL,2008,552.5,641.1,1.16
RISARALDA,FRIJOL,2014,513.5,719.87,1.4
RISARALDA,FRIJOL,2015,453.3,639.49,1.41
RISARALDA,GRANADILLA,2007,158.0,2512.4,15.9
RISARALDA,GRANADILLA,2009,139.0,2129.4,15.32
RISARALDA,GRANADILLA,2017,22.8,215.0,9.43
RISARALDA,GUANABANA,2020,164.3,3514.6,21.39
RISARALDA,GUANABANA,2023,161.3,3448.6,21.38
RISARALDA,GUAYABA,2020,101.0,1355.8,13.42
RISARALDA,GULUPA,2016,18.0,270.0,15.0
RISARALDA,GULUPA,2017,15.0,308.5,20.57
RISARALDA,GULUPA,2020,9.0,142.0,15.78
RISARALDA,HABICHUELA,2018,27.0,278.5,10.31
RISARALDA,HABICHUELA,2019,42.2,404.5,9.59
RISARALDA,HIGUERILLA,2019,4.0,24.0,6.0
RISARALDA,HORTALIZAS VARIAS,2011,65.5,1637.5,25.0
RISARALDA,HORTALIZAS VARIAS,2016,65.95,1687.63,25.59
RISARALDA,HORTALIZAS VARIAS,2017,58.45,1386.35,23.72
RISARALDA,LECHUGA,2020,1.0,10.0,10.0
RISARALDA,LECHUGA,2023,0.0,0.0,0.0
RISARALDA,LIMA TAHITI,2007,65.0,2275.0,35.0
RISARALDA,LIMA TAHITI,2009,35.0,700.0,20.0
RISARALDA,LIMA TAHITI,2017,79.3,1982.5,25.0
RISARALDA,LIMON,2022,4.0,32.0,8.0
RISARALDA,LIMON PAJARITO,2019,5.5,138.0,25.09
RISARALDA,LULO,2012,278.41,4053.87,14.56
RISARALDA,LULO,2022,189.75,2220.8,11.7
RISARALDA,MACADAMIA,2012,8.2,4.1,0.5
RISARALDA,MACADAMIA,2013,3.4,1.7,0.5
RISARALDA,MAIZ TECNIFICADO,2012,1095.03,5912.93,5.4
