Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
SAN ANDRES Y PROVIDENCIA,BANANO,2021,4.32,49.8,11.53
SAN ANDRES Y PROVIDENCIA,BATATA,2019,3.0,18.72,6.24
SAN ANDRES Y PROVIDENCIA,CAÑA MIEL,2021,2.0,16.0,8.0
SAN ANDRES Y PROVIDENCIA,COCO,2019,4.0,40.0,10.0
SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,2022,0.26,1.1400000000000001,4.37
SAN ANDRES Y PROVIDENCIA,MAIZ BLANCO TECNIFICADO,2022,0.31,0.17,0.55
SAN ANDRES Y PROVIDENCIA,MANGO,2021,0.88,4.92,5.59
SAN ANDRES Y PROVIDENCIA,MELON,2018,0.7,5.35,7.64
SAN ANDRES Y PROVIDENCIA,MELON,2019,1.0,8.0,8.0
SAN ANDRES Y PROVIDENCIA,NARANJA JAFFA,2021,0.4,4.3,10.76
SAN ANDRES Y PROVIDENCIA,PAPAYA,2012,0.6,3.0,5.0
SAN ANDRES Y PROVIDENCIA,PAPAYA,2018,0.76,24.42,32.14
SAN ANDRES Y PROVIDENCIA,PAPAYA,2022,1.04,27.22,26.18
SAN ANDRES Y PROVIDENCIA,PATILLA,2016,1.75,42.21,24.12
SAN ANDRES Y PROVIDENCIA,PATILLA,2020,4.0,82.0,20.5
SAN ANDRES Y PROVIDENCIA,PATILLA,2023,7.1,127.0,17.89
SAN ANDRES Y PROVIDENCIA,PIMENTON,2016,0.04,0.23,5.75
SAN ANDRES Y PROVIDENCIA,PIMENTON,2017,0.05,0.12,2.42
SAN ANDRES Y PROVIDENCIA,PIÑA,2018,0.23,0.47,2.0
SAN ANDRES Y PROVIDENCIA,PIÑA,2022,0.09,0.39,4.33
SAN ANDRES Y PROVIDENCIA,AHUYAMA,2018,0.8,8.35,10.44
SAN ANDRES Y PROVIDENCIA,AHUYAMA,2019,1.0,11.06,11.06
SAN ANDRES Y PROVIDENCIA,BATATA,2020,4.0,58.0,14.5
SAN ANDRES Y PROVIDENCIA,BATATA,2023,4.4,52.0,11.82
SAN ANDRES Y PROVIDENCIA,BERENJENA,2016,0.1,0.68,7.07
SAN ANDRES Y PROVIDENCIA,COCO,2020,16.0,160.0,10.0
SAN ANDRES Y PROVIDENCIA,COCO,2023,16.0,160.0,10.0
SAN ANDRES Y PROVIDENCIA,FRUTALES VARIOS,2013,2.7,10.8,4.0
SAN ANDRES Y PROVIDENCIA,GUANABANA,2021,0.22,0.4,1.8
SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,2018,0.26,3.12,12.0
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2012,0.04,0.02,0.5
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2013,1.24,1.12,0.9
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2020,1.0,1.94,1.94
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2023,2.0,2.56,1.28
SAN ANDRES Y PROVIDENCIA,MANDARINA,2021,0.16,1.3,8.1
SAN ANDRES Y PROVIDENCIA,ÑAME,2022,2.0,8.7,4.35
SAN ANDRES Y PROVIDENCIA,PATILLA,2017,1.79,33.82,18.85
SAN ANDRES Y PROVIDENCIA,PEPINO COHOMBRO,2012,0.3,0.9,3.0
SAN ANDRES Y PROVIDENCIA,PEPINO COHOMBRO,2013,0.3,0.9,3.0
SAN ANDRES Y PROVIDENCIA,PEPINO COHOMBRO,2018,0.04,0.1,2.86
SAN ANDRES Y PROVIDENCIA,PLATANO,2016,2.01,21.83,10.88
SAN ANDRES Y PROVIDENCIA,PLATANO,2020,4.0,60.2,15.05
SAN ANDRES Y PROVIDENCIA,PLATANO,2023,8.8,106.8,12.14
SAN ANDRES Y PROVIDENCIA,YUCA,2012,3.51,24.57,7.0
SAN ANDRES Y PROVIDENCIA,YUCA,2013,7.0,49.0,7.0
SAN ANDRES Y PROVIDENCIA,YUCA,2022,12.0,120.96,10.08
SAN ANDRES Y PROVIDENCIA,BANANO,2016,0.18,3.39,18.88
SAN ANDRES Y PROVIDENCIA,BANANO,2017,0.07,0.92,13.08
SAN ANDRES Y PROVIDENCIA,BATATA,2016,2.0,12.47,6.24
SAN ANDRES Y PROVIDENCIA,BATATA,2017,2.08,19.44,9.35
SAN ANDRES Y PROVIDENCIA,BERENJENA,2014,1.8,5.4,3.0
SAN ANDRES Y PROVIDENCIA,CAÑA MIEL,2016,0.73,27.04,37.23
SAN ANDRES Y PROVIDENCIA,CAÑA MIEL,2017,0.47,12.55,26.9
SAN ANDRES Y PROVIDENCIA,GUANABANA,2018,0.11,0.55,5.0
SAN ANDRES Y PROVIDENCIA,GUANABANA,2022,0.11,0.2,1.8
SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,2020,0.0,0.0,0.0
SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,2023,0.16,0.96,6.0
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2018,0.95,1.88,1.98
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2019,1.0,1.94,1.94
SAN ANDRES Y PROVIDENCIA,MARACUYA,2022,0.03,0.09,2.9
SAN ANDRES Y PROVIDENCIA,ÑAME,2013,0.5,3.5,7.0
SAN ANDRES Y PROVIDENCIA,ÑAME,2018,0.6,2.12,3.5300000000000002
SAN ANDRES Y PROVIDENCIA,ÑAME,2019,2.0,9.48,4.74
SAN ANDRES Y PROVIDENCIA,NARANJA,2018,0.13,2.08,16.0
SAN ANDRES Y PROVIDENCIA,NARANJA JAFFA,2022,0.2,2.15,10.76
SAN ANDRES Y PROVIDENCIA,PAPAYA,2015,0.63,3.7800000000000002,6.0
SAN ANDRES Y PROVIDENCIA,PATILLA,2021,10.0,200.0,20.0
SAN ANDRES Y PROVIDENCIA,PEPINO COHOMBRO,2016,0.01,0.05,5.5600000000000005
SAN ANDRES Y PROVIDENCIA,PEPINO COHOMBRO,2017,0.04,0.1,2.85
SAN ANDRES Y PROVIDENCIA,PIÑA,2020,0.0,0.0,0.0
SAN ANDRES Y PROVIDENCIA,PIÑA,2023,0.09,0.54,6.0
SAN ANDRES Y PROVIDENCIA,PLATANO,2017,2.51,36.54,14.55
SAN ANDRES Y PROVIDENCIA,YUCA,2018,3.4,34.33,10.1
SAN ANDRES Y PROVIDENCIA,YUCA,2019,7.0,64.16,9.17
SAN ANDRES Y PROVIDENCIA,AGUACATE,2017,0.03,0.34,9.75
SAN ANDRES Y PROVIDENCIA,BANANO,2020,2.0,16.1,8.05
SAN ANDRES Y PROVIDENCIA,BANANO,2023,2.36,27.6,11.69
SAN ANDRES Y PROVIDENCIA,COCO,2012,8.0,40.0,5.0
SAN ANDRES Y PROVIDENCIA,COCO,2013,8.0,40.0,5.0
SAN ANDRES Y PROVIDENCIA,COCO,2018,4.0,40.0,10.0
SAN ANDRES Y PROVIDENCIA,COCO,2022,16.0,160.0,10.0
SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,2016,0.26,2.36,9.08
SAN ANDRES Y PROVIDENCIA,LIMON PAJARITO,2017,0.26,2.65,10.21
SAN ANDRES Y PROVIDENCIA,MAIZ BLANCO TECNIFICADO,2021,0.62,0.34,0.55
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2021,1.34,0.74,0.55
SAN ANDRES Y PROVIDENCIA,MANDARINA,2022,0.08,0.65,8.1
SAN ANDRES Y PROVIDENCIA,MANGO,2022,0.44,2.46,5.59
SAN ANDRES Y PROVIDENCIA,MELON,2022,1.0,8.0,8.0
SAN ANDRES Y PROVIDENCIA,PAPAYA,2014,0.63,3.7800000000000002,6.0
SAN ANDRES Y PROVIDENCIA,PAPAYA,2021,2.08,54.45,26.18
SAN ANDRES Y PROVIDENCIA,PLATANO,2021,12.0,145.44,12.12
SAN ANDRES Y PROVIDENCIA,BANANO,2019,2.0,24.6,12.3
SAN ANDRES Y PROVIDENCIA,BATATA,2014,0.6,1.8,3.0
SAN ANDRES Y PROVIDENCIA,BATATA,2021,8.0,104.0,13.0
SAN ANDRES Y PROVIDENCIA,BERENJENA,2012,0.15,0.3,2.0
SAN ANDRES Y PROVIDENCIA,BERENJENA,2013,1.95,5.7,2.92
SAN ANDRES Y PROVIDENCIA,CAÑA MIEL,2019,1.0,24.0,24.0
SAN ANDRES Y PROVIDENCIA,COCO,2014,8.0,40.0,5.0
SAN ANDRES Y PROVIDENCIA,COCO,2021,32.0,320.0,10.0
SAN ANDRES Y PROVIDENCIA,FRUTALES VARIOS,2014,3.2,12.8,4.0
SAN ANDRES Y PROVIDENCIA,FRUTALES VARIOS,2015,3.2,12.8,4.0
SAN ANDRES Y PROVIDENCIA,GUANABANA,2020,0.0,0.0,0.0
SAN ANDRES Y PROVIDENCIA,GUANABANA,2023,0.11,0.22,2.0
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2016,0.79,0.86,1.09
SAN ANDRES Y PROVIDENCIA,MAIZ TRADICIONAL,2017,0.66,1.28,1.94
SAN ANDRES Y PROVIDENCIA,MANDARINA,2018,0.06,0.36,6.0
SAN ANDRES Y PROVIDENCIA,MANGO,2018,0.44,2.41,5.53
SAN ANDRES Y PROVIDENCIA,MELON,2021,2.0,16.0,8.0
SAN ANDRES Y PROVIDENCIA,ÑAME,2020,2.0,7.0,3.5
SAN ANDRES Y PROVIDENCIA,ÑAME,2023,2.0,16.0,8.0
SAN ANDRES Y PROVIDENCIA,NARANJA,2016,0.13,2.7199999999999998,20.92
SAN ANDRES Y PROVIDENCIA,NARANJA,2017,0.13,1.92,14.79
SAN ANDRES Y PROVIDENCIA,PLATANO,2014,5.4,27.0,5.0
SAN ANDRES Y PROVIDENCIA,PLATANO,2015,5.4,27.0,5.0
SAN ANDRES Y PROVIDENCIA,YUCA,2016,3.0,25.33,8.44
