Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
SANTANDER,ACELGA,2010,13.0,26.0,2.0
SANTANDER,ACELGA,2011,11.0,22.0,2.0
SANTANDER,ACELGA,2020,2.0,4.0,2.0
SANTANDER,ACELGA,2023,1.9,36.1,19.0
SANTANDER,ACHIOTE (BIJA),2022,3.5,36.75,10.5
SANTANDER,AGUACATE,2012,2832.5,22499.0,7.9399999999999995
SANTANDER,AGUACATE,2022,5845.84,41386.8,7.08
SANTANDER,AHUYAMA,2014,474.2,12178.42,25.68
SANTANDER,AHUYAMA,2015,576.6,13927.91,24.16
SANTANDER,AHUYAMA,2021,1073.04,18222.32,16.98
SANTANDER,AJI,2010,24.0,112.0,4.67
SANTANDER,AJI,2011,8.0,32.0,4.0
SANTANDER,AJI,2020,46.0,98.4,2.14
SANTANDER,AJI,2023,37.5,244.5,6.52
SANTANDER,AJO,2010,102.5,891.9,8.7
SANTANDER,AJO,2011,118.0,929.6,7.88
SANTANDER,AJO,2016,88.0,516.0,5.86
SANTANDER,AJO,2020,272.5,2593.75,9.52
SANTANDER,AJO,2023,295.0,3021.25,10.24
SANTANDER,APIO,2009,10.0,70.0,7.0
SANTANDER,APIO,2016,112.5,1153.5,10.25
SANTANDER,APIO,2017,120.5,1350.0,11.2
SANTANDER,ARRACACHA,2007,216.5,1938.4,8.95
SANTANDER,ARRACACHA,2016,107.3,751.72,7.01
SANTANDER,ARRACACHA,2017,85.4,681.62,7.98
SANTANDER,ARROZ RIEGO,2021,4138.0,28552.2,6.9
SANTANDER,ARROZ SECANO MECANIZADO,2014,668.02,3810.31,5.7
SANTANDER,ARROZ SECANO MECANIZADO,2015,670.44,2924.51,4.36
SANTANDER,ARROZ SECANO MECANIZADO,2021,1186.0,7121.79,6.0
SANTANDER,ARVEJA,2010,464.3,769.78,1.6600000000000001
SANTANDER,ARVEJA,2011,458.7,763.72,1.6600000000000001
SANTANDER,ARVEJA,2020,668.5,936.59,1.4
SANTANDER,ARVEJA,2023,750.5,1095.42,1.46
SANTANDER,BADEA,2012,15.0,300.0,20.0
SANTANDER,BADEA,2013,18.0,360.0,20.0
SANTANDER,BADEA,2018,84.0,1596.0,19.0
SANTANDER,BANANITO,2010,750.0,5130.0,6.84
SANTANDER,BANANITO,2011,91.0,414.0,4.55
SANTANDER,BANANO,2010,740.0,5604.0,7.57
SANTANDER,BANANO,2011,1556.0,11094.0,7.13
SANTANDER,BANANO,2020,2813.0,22796.41,8.1
SANTANDER,BANANO,2023,3149.0,28297.0,8.99
SANTANDER,BERENJENA,2019,8.0,120.0,15.0
SANTANDER,CACAO,2009,34077.5,19098.41,0.56
SANTANDER,CAFE,2018,42269.07,55918.71,1.32
SANTANDER,CAFE,2019,41687.5,49824.13,1.2
SANTANDER,CALABAZA,2023,8.5,157.5,18.53
SANTANDER,CAÑA MIEL,2020,34.0,213.24,6.27
SANTANDER,CAÑA MIEL,2023,30.5,1051.0,34.46
SANTANDER,CAÑA PANELERA,2007,19320.0,244655.5,12.66
SANTANDER,CAÑA PANELERA,2011,17522.12,232111.0,13.25
SANTANDER,CAÑA PANELERA,2016,17584.0,188024.3,10.69
SANTANDER,CAÑA PANELERA,2017,18719.0,177931.5,9.51
SANTANDER,CEBADA,2012,41.0,56.5,1.38
SANTANDER,CEBOLLA DE BULBO,2008,281.0,5006.0,17.81
SANTANDER,CEBOLLA DE BULBO,2014,347.3,4755.8,13.69
SANTANDER,CEBOLLA DE BULBO,2015,391.0,3499.4,8.95
SANTANDER,CHIRIMOYA,2008,24.0,36.0,1.5
SANTANDER,CHIRIMOYA,2010,30.0,120.0,4.0
SANTANDER,CHIRIMOYA,2011,38.0,152.0,4.0
SANTANDER,CHIRIMOYA,2016,30.0,60.0,2.0
SANTANDER,CHIRIMOYA,2017,30.0,60.0,2.0
SANTANDER,CHIRIMOYA,2023,62.0,155.0,2.5
