Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
SUCRE,AGUACATE,2022,492.0,3466.0,7.04
SUCRE,AHUYAMA,2012,64.8,259.2,4.0
SUCRE,AHUYAMA,2013,63.0,252.0,4.0
SUCRE,AHUYAMA,2022,82.0,829.0,10.11
SUCRE,AJI,2021,322.9,1449.5,4.49
SUCRE,AJI DULCE,2014,56.5,130.7,2.31
SUCRE,AJI DULCE,2015,76.0,172.75,2.27
SUCRE,AJONJOLI,2006,0.0,0.0,0.0
SUCRE,AJONJOLI,2007,642.0,346.0,0.54
SUCRE,AJONJOLI,2009,321.5,197.1,0.61
SUCRE,AJONJOLI,2016,592.8,447.94,0.76
SUCRE,AJONJOLI,2017,831.0,590.0,0.71
SUCRE,ARROZ SECANO MECANIZADO,2021,51814.0,246164.76,4.75
SUCRE,BATATA,2019,67.3,908.6,13.5
SUCRE,BERENJENA,2006,0.0,0.0,0.0
SUCRE,BERENJENA,2007,80.0,768.4,9.61
SUCRE,BERENJENA,2009,84.0,860.0,10.24
SUCRE,BERENJENA,2017,80.0,530.0,6.63
SUCRE,CAÑA PANELERA,2007,248.0,1054.0,4.25
SUCRE,CAÑA PANELERA,2010,254.0,1479.0,5.82
SUCRE,CAÑA PANELERA,2011,264.0,1123.5,4.26
SUCRE,CAÑA PANELERA,2016,242.0,1379.2,5.7
SUCRE,CAÑA PANELERA,2017,242.0,1315.7,5.44
SUCRE,CAÑA PANELERA,2020,218.0,9072.0,41.61
SUCRE,CAÑA PANELERA,2023,234.0,9972.0,42.62
SUCRE,COCO,2014,592.0,2936.7,4.96
SUCRE,COCO,2015,640.0,3303.0,5.16
SUCRE,COL,2014,4.0,20.0,5.0
SUCRE,COL,2015,4.0,12.0,3.0
SUCRE,COL,2021,12.0,48.0,4.0
SUCRE,GUANABANA,2016,0.0,0.0,0.0
SUCRE,GUANABANA,2017,6.0,7.2,1.2
SUCRE,GUAYABA,2008,6.0,24.0,4.0
SUCRE,GUAYABA,2014,39.5,146.0,3.7
SUCRE,GUAYABA,2015,43.5,157.2,3.61
SUCRE,GUAYABA PERA,2014,4.0,14.0,3.5
SUCRE,GUAYABA PERA,2015,4.0,14.0,3.5
SUCRE,LIMON,2012,8.5,30.3,3.56
SUCRE,LIMON,2013,9.0,35.8,3.98
SUCRE,LIMON,2022,41.0,366.0,8.93
SUCRE,MAIZ BLANCO TECNIFICADO,2022,11139.65,31435.96,2.82
SUCRE,MAIZ TECNIFICADO,2006,0.0,0.0,0.0
SUCRE,MAIZ TECNIFICADO,2007,16253.25,51116.55,3.15
SUCRE,MAIZ TECNIFICADO,2009,19630.0,42995.3,2.19
SUCRE,MAIZ TECNIFICADO,2016,12351.7,27977.99,2.27
SUCRE,MAIZ TECNIFICADO,2017,12997.2,29814.33,2.29
SUCRE,MANGO,2020,385.0,4601.5,11.95
SUCRE,MARACUYA,2008,45.0,252.0,5.6
SUCRE,MARACUYA,2014,37.0,148.0,4.0
SUCRE,MARACUYA,2015,28.0,112.0,4.0
SUCRE,MELON,2018,52.44,160.31,3.06
SUCRE,MELON,2019,264.0,3780.0,14.32
SUCRE,ÑAME,2007,3633.0,37269.0,10.26
SUCRE,ÑAME,2009,5369.8,47785.1,8.9
