Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
TOLIMA,AHUYAMA,2021,1124.0,14139.0,12.58
TOLIMA,AJONJOLI,2012,100.0,56.0,0.56
TOLIMA,AJONJOLI,2013,250.0,190.0,0.76
TOLIMA,AJONJOLI,2018,105.0,63.0,0.6
TOLIMA,AJONJOLI,2022,615.0,478.5,0.78
TOLIMA,ALGODON,2019,5332.0,5863.0,1.1
TOLIMA,ARRACACHA,2010,3173.0,19857.0,6.26
TOLIMA,ARRACACHA,2011,3627.0,42225.0,11.64
TOLIMA,ARRACACHA,2016,2987.5,31933.0,10.69
TOLIMA,ARRACACHA,2020,10105.0,117393.0,11.62
TOLIMA,ARRACACHA,2023,4594.0,77754.0,16.93
TOLIMA,ARROZ RIEGO,2006,0.0,0.0,0.0
TOLIMA,ARROZ RIEGO,2009,116109.0,836563.3,7.2
TOLIMA,ARROZ SECANO MECANIZADO,2021,24.0,114.24,4.76
TOLIMA,BREVO,2008,15.0,225.0,15.0
TOLIMA,CACAO,2007,7620.2,4505.45,0.59
TOLIMA,CACAO,2009,7105.0,3766.69,0.53
TOLIMA,CACAO,2016,9849.4,5071.75,0.51
TOLIMA,CACAO,2017,11892.0,6059.75,0.51
TOLIMA,CAFE,2012,90904.48,85027.49,0.94
TOLIMA,CAFE,2013,97308.81,77215.36,0.79
TOLIMA,CAFE,2018,97304.04,97451.31,1.0
TOLIMA,CAFE,2022,90110.73,76413.9,0.85
TOLIMA,CAÑA PANELERA,2010,10423.0,55249.4,5.3
TOLIMA,CAÑA PANELERA,2011,10179.0,54243.62,5.33
TOLIMA,CAÑA PANELERA,2016,12444.0,70291.4,5.65
TOLIMA,CAÑA PANELERA,2020,12032.0,718584.22,59.72
TOLIMA,CAÑA PANELERA,2023,13191.8,759202.0,57.55
TOLIMA,CAUCHO,2018,160.0,465.0,2.91
TOLIMA,CEBOLLA DE BULBO,2014,4.0,120.0,30.0
TOLIMA,CEBOLLA DE RAMA,2006,0.0,0.0,0.0
TOLIMA,CEBOLLA DE RAMA,2007,141.0,947.0,6.72
TOLIMA,CEBOLLA DE RAMA,2009,141.0,927.0,6.57
TOLIMA,CILANTRO,2012,597.5,2970.25,4.97
TOLIMA,CILANTRO,2013,91.0,460.0,5.05
TOLIMA,CILANTRO,2018,5.0,9.4,1.88
TOLIMA,CILANTRO,2019,52.0,108.0,2.08
TOLIMA,CIRUELA,2009,270.0,2016.0,7.47
TOLIMA,CITRICOS,2018,38.0,356.0,9.37
TOLIMA,CURUBA,2012,249.0,3227.0,12.96
TOLIMA,CURUBA,2013,249.0,3227.0,12.96
TOLIMA,CURUBA,2022,7.0,49.0,7.0
TOLIMA,FLOR DE JAMAICA,2008,28.0,8.0,0.29
TOLIMA,FLORES Y FOLLAJES,2018,10.0,8.0,0.8
TOLIMA,FRIJOL,2015,16677.5,25721.56,1.54
TOLIMA,FRIJOL VOLUBLE,2018,208.0,213.64,1.03
TOLIMA,GRANADILLA,2009,142.5,1163.95,8.17
TOLIMA,GUANABANA,2007,631.0,6137.0,9.73
