Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
VALLE DEL CAUCA,ACELGA,2019,8.7,41.6,4.78
VALLE DEL CAUCA,AGUACATE,2008,1181.0,12658.1,10.72
VALLE DEL CAUCA,AGUACATE PAPELILLO,2020,246.28,3018.29,12.26
VALLE DEL CAUCA,AGUACATE PAPELILLO,2023,318.48,4251.16,13.35
VALLE DEL CAUCA,AHUYAMA,2006,0.0,0.0,0.0
VALLE DEL CAUCA,AHUYAMA,2009,492.86,7935.35,16.1
VALLE DEL CAUCA,AJI,2019,169.34,3085.14,18.22
VALLE DEL CAUCA,ALGODON,2012,148.6,442.22,2.98
VALLE DEL CAUCA,ALGODON,2013,261.93,706.33,2.7
VALLE DEL CAUCA,ALGODON,2018,132.06,401.5,3.04
VALLE DEL CAUCA,ALGODON,2019,100.49,446.65,4.44
VALLE DEL CAUCA,ARAZA,2018,3.0,2.4,0.8
VALLE DEL CAUCA,ARAZA,2019,3.0,2.1,0.7
VALLE DEL CAUCA,ARRACACHA,2020,367.2,4607.6,12.55
VALLE DEL CAUCA,ARRACACHA,2023,455.5,5793.5,12.72
VALLE DEL CAUCA,ARROZ RIEGO,2006,0.0,0.0,0.0
VALLE DEL CAUCA,ARROZ RIEGO,2007,5510.0,35797.3,6.5
VALLE DEL CAUCA,ARROZ RIEGO,2009,5134.0,34811.0,6.78
VALLE DEL CAUCA,ARROZ RIEGO,2016,4183.37,24513.21,5.86
VALLE DEL CAUCA,ARROZ RIEGO,2017,3561.9,18163.39,5.1
VALLE DEL CAUCA,ARROZ SECANO MECANIZADO,2009,87.09,522.54,6.0
VALLE DEL CAUCA,ARVEJA,2006,0.0,0.0,0.0
VALLE DEL CAUCA,ARVEJA,2009,201.73,415.23,2.06
VALLE DEL CAUCA,ARVEJA,2019,186.5,434.27,2.33
VALLE DEL CAUCA,BANANO,2019,6232.07,79990.83,12.84
VALLE DEL CAUCA,BERENJENA,2012,9.9,295.0,29.8
VALLE DEL CAUCA,BERENJENA,2013,6.8,192.0,28.24
VALLE DEL CAUCA,BERENJENA,2022,63.32,1325.6,20.93
VALLE DEL CAUCA,BOROJO,2022,691.0,1382.0,2.0
VALLE DEL CAUCA,BREVO,2014,2.0,2.0,1.0
VALLE DEL CAUCA,BREVO,2015,2.0,1.0,0.5
VALLE DEL CAUCA,BROCOLI,2021,2.0,20.0,10.0
VALLE DEL CAUCA,CACAO,2008,493.4,275.05,0.56
VALLE DEL CAUCA,CACAO,2010,684.25,353.42,0.52
VALLE DEL CAUCA,CACAO,2011,824.9,596.6,0.72
VALLE DEL CAUCA,CACAO,2016,1196.9,724.27,0.61
VALLE DEL CAUCA,CACAO,2017,1280.2,739.54,0.58
VALLE DEL CAUCA,CACAO,2020,1238.45,630.11,0.51
VALLE DEL CAUCA,CACAO,2023,1480.78,1011.68,0.68
