Departamento,Producto,Año,Area (ha),Produccion (ton),Rendimiento (ha/ton)
VAUPES,AJI,2019,18.0,27.0,1.5
VAUPES,ARROZ SECANO MANUAL,2007,41.0,33.0,0.8
VAUPES,ARROZ SECANO MANUAL,2010,38.0,78.0,2.05
VAUPES,ARROZ SECANO MANUAL,2011,7.0,17.0,2.43
VAUPES,ARROZ SECANO MANUAL,2016,10.0,10.0,1.0
VAUPES,ARROZ SECANO MANUAL,2017,10.0,10.0,1.0
VAUPES,ARROZ SECANO MANUAL,2020,17.0,40.46,2.38
VAUPES,ARROZ SECANO MANUAL,2023,13.0,35.1,2.7
VAUPES,CACAO,2016,0.0,0.0,0.0
VAUPES,CACAO,2020,65.0,42.0,0.65
VAUPES,CACAO,2023,139.2,41.17,0.3
VAUPES,CAÑA MIEL,2008,5.0,12.0,2.4
VAUPES,CAÑA MIEL,2014,3.0,1.5,0.5
VAUPES,CAÑA MIEL,2015,22.0,52.8,2.4
VAUPES,CHONTADURO,2022,31.1,56.77,1.83
VAUPES,COCONA,2016,12.0,14.4,1.2
VAUPES,COPOAZU,2016,1.0,15.0,15.0
VAUPES,COPOAZU,2017,1.0,15.0,15.0
VAUPES,CULTIVOS TROPICALES TRADICIONALES,2021,9.34,18.68,2.0
VAUPES,FRUTALES VARIOS,2023,4.2,40.32,9.6
VAUPES,HORTALIZAS VARIAS,2016,0.08,0.24,3.0
VAUPES,LIMON MANDARINO,2015,1.0,1.0,1.0
VAUPES,MAIZ TRADICIONAL,2010,71.0,90.1,1.27
VAUPES,MAIZ TRADICIONAL,2011,61.0,82.5,1.35
VAUPES,MAIZ TRADICIONAL,2016,253.0,455.8,1.8
VAUPES,MAIZ TRADICIONAL,2020,162.0,441.9,2.73
VAUPES,MAIZ TRADICIONAL,2023,87.0,135.26,1.55
VAUPES,ÑAME,2022,35.0,212.08,6.06
VAUPES,NARANJA,2010,1.0,1.0,1.0
VAUPES,NARANJA,2011,1.0,1.0,1.0
VAUPES,PIÑA,2019,73.0,1845.0,25.27
